"campaignid","sample","family","genus","species","length","number","range","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward","ZoneName","longitude","latitude","status"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",95.55711,2,"1438.69581","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",129.94103,2,"1142.91197","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",132.95068,1,"1201.82078","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",122.18671,2,"1917.93477","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",109.29858,1,"1352.29384","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",136.57523,1,"1908.82274","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",102.04298,2,"1197.82708","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",103.7053,2,"1424.90511","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",160.89271,1,"2038.22870","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",101.58619,2,"1288.21997","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",123.37962,1,"1674.37901","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",104.96159,2,"1293.78785","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",112.04616,1,"1933.07241","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",127.6779,1,"1911.45773","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",155.66889,1,"1499.99828","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",158.30297,1,"1439.55558","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",154.04865,1,"1121.11996","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",115.83083,1,"1732.36107","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",86.85088,1,"1314.21946","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",83.52542,1,"1768.75825","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",90.37156,1,"2207.67937","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",145.75361,1,"1299.91601","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",124.70871,1,"1718.10034","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",113.71198,1,"1699.24276","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",132.24485,1,"1717.56615","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",139.41289,1,"2252.66345","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",305.78657,1,"1970.69600","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",138.32862,1,"2292.97199","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",117.08355,1,"1150.96413","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",106.74427,1,"1652.04910","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",130.20514,1,"1806.14799","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",137.03567,1,"1633.42924","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",115.81068,1,"1538.85814","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",139.82489,1,"1685.09016","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",124.45513,1,"1989.62328","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",142.7977,1,"1850.55649","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",88.89776,1,"1223.65222","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",105.06287,1,"2108.14104","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",136.2277,1,"1901.28800","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",104.81966,1,"1179.21866","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",139.66559,1,"1672.49634","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",110.54667,1,"1806.88386","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",86.17517,1,"1812.42256","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",106.57231,1,"1507.53146","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",115.4659,1,"1902.05692","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",128.86491,1,"2117.17315","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",141.82933,1,"1994.14721","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",91.85246,1,"1345.92948","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",112.1837,1,"1632.09249","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",72.89416,1,"1941.93514","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",102.42246,1,"1895.34396","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",92.81319,1,"2569.76061","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",103.06309,1,"1451.46968","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",84.56748,1,"2229.13454","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",121.47633,1,"1926.97638","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",88.62928,1,"2740.80441","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",80.95491,1,"1723.96059","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",141.04232,1,"1623.08977","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Eupetrichthys","angustipes",NA,0,NA,"18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Notolabrus","parilus",NA,0,NA,"18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",NA,1,"1829.60976","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",163.91458,1,"1674.23696","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",260.49564,1,"2011.40334","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",204.48715,1,"1367.71914","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",149.40828,2,"1371.25757","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",192.29395,1,"1239.24986","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",143.15257,2,"911.23807","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolatus",NA,0,NA,"18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",102.1063,1,"1371.14055","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",115.19194,1,"1673.97552","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",98.39907,1,"1288.04170","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",135.28199,1,"1976.06450","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",134.73312,1,"2045.11246","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",120.02666,1,"967.72698","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",112.7638,1,"1722.80051","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
