,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Acanthaluteres spilomelanurus,37465043,Actinopterygii,Tetraodontiformes,Monacanthidae,,Acanthaluteres,spilomelanurus,Australia,Bridled leatherjacket,SW/TE,TL,0.02188,2.91,0,1,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/NSW,algae/invertebrate consumer,,,22.77,Australia,native,140,TL,2.9,3.933333,Browsing herbivore,Demersal,Soft sediment,Medium,Day,2,14.84542,24,N,,,,,,250,,Y,,,,,,,,,,,,,,,
Acanthaluteres vittiger,37465002,Actinopterygii,Tetraodontiformes,Monacanthidae,,Acanthaluteres,vittiger,Australia,Toothbrush leatherjacket,SE/SW/TE,TL,0.02188,2.91,,,FishBase,LWR estimates for this (Sub)family-body shape,South-East/West/Southwest/NSW/PSGLMP,benthic omnivore/herbivore/invertebrate carnivore,,,36.45,Australia,native,350,TL,2,3.933333,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,15.38922,39,Y,B/C/R,,,,,250,,Y,,,,,,,,,Y,,,,200,,Y
Acanthistius cinctus,37311131,Actinopterygii,Perciformes,Serranidae,Anthiinae,Acanthistius,cinctus,Australia,Yellowbanded wirrah,Lord.Howe.Island/TE,TL,0.00933,2.97,0,1,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,49.19,Australia/New.Zealand/Norfolk.Island,native,600,TL,4.1,2,higher carnivore,Demersal,Hard bottom,Medium,Day,1,21.41048,49,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthistius ocellatus,37311090,Actinopterygii,Perciformes,Serranidae,Anthiinae,Acanthistius,ocellatus,Australia,Eastern wirrah,SE/TE,TL,0.00933,2.97,0,1,FishBase,LWR estimates for this (Sub)family-body shape,South-East/NSW/PSGLMP,generalist carnivore,,Least Concern,46.57,Australia,native,450,TL,4.1,2,higher carnivore,Demersal,Hard bottom,Medium,Day,1,19.64441,45,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Acanthistius pardalotus,37311132,Actinopterygii,Perciformes,Serranidae,Anthiinae,Acanthistius,pardalotus,Australia,Leopard wirrah,NW/SW,TL,0.01,3.04,,,FishBase,LWR estimates for this body shape,West/Southwest/Pilbara/West/Southwest/Pilbara,,,,49.32,Australia,endemic,370,SL,4.1,2,higher carnivore,Demersal,Hard bottom,Medium,Day,1,20.9765,49,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Acanthistius serratus,37311035,Actinopterygii,Perciformes,Serranidae,Anthiinae,Acanthistius,serratus,Australia,Western wirrah,SW/NW,TL,0.00933,2.97,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,49.19,Australia,endemic,500,TL,4.1,2,higher carnivore,Demersal,Hard bottom,Medium,Day,1,20.29913,49,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Acanthochromis polyacanthus,37372015,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Acanthochromis,polyacanthus,Australia,Spiny puller,CS/N/NW,TL,0.0135,3.312,0,1.187502,FishBase,Species specific,Ningaloo/Pilbara,algae/invertebrate consumer,,Least Concern,25.07,Australia/Solomon.Islands/Fiji/Indonesia/Malaysia/New.Caledonia/Vanuatu/Papua.New.Guinea/Philippines/Viet.Nam,native,140,TL,2.7,4.055556,planktivore,Demersal,Hard bottom,Medium,Day,3,26.66083,25,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthocybium solandri,37441024,Actinopterygii,Perciformes,Scombridae,Scombrinae,Acanthocybium,solandri,Australia,Wahoo,SW,TL,0.00327,3.181,2.452,1.016,FishBase,Species specific,West/Southwest,,,Least Concern,46.16,"Albania/Algeria/Antigua.and.Barbuda/Australia/Bahamas/Barbados/Bermuda/Bosnia.and.Herzegovina/Brazil/Belize/Solomon.Islands/Virgin.Islands.(British)/Cameroon/Cabo.Verde/Cayman.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Comoros/Cook.Islands/Costa.Rica/Croatia/Cuba/Cyprus/Dominica/Dominican.Republic/Ecuador/El.Salvador/Equatorial.Guinea/Fiji/France/French.Guiana/French.Polynesia/Kiribati/Grenada/Guadeloupe/Guam/Guatemala/Guyana/Haiti/Honduras/Hong.Kong/India/Indonesia/Israel/Italy/Jamaica/Japan/Kenya/Korea.(Republic.of)/Lebanon/Libya/Madagascar/Malaysia/Maldives/Malta/Martinique/Mauritania/Mauritius/Mexico/Monaco/Montenegro/Montserrat/Morocco/Mozambique/Oman/Cura̤ao/Aruba/New.Caledonia/Vanuatu/New.Zealand/Nicaragua/Nigeria/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Panama/Papua.New.Guinea/Peru/Philippines/Timor-Leste/Puerto.Rico/R̩union/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Saudi.Arabia/Seychelles/Viet.Nam/Slovenia/Somalia/South.Africa/Spain/Suriname/Syrian.Arab.Republic/Thailand/Tokelau/Tonga/Trinidad.and.Tobago/Tunisia/Turkey/Turks.and.Caicos.Islands/Tuvalu/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Venezuela.(Bolivarian.Republic.of)/Wallis.and.Futuna/Samoa/Yemen",native,2500,TL,,,,,,,,,,,Y,R,,,,,900,,Y,750,,Y,,,Y,,,,,,,,,
Acanthopagrus australis,37353004,Actinopterygii,Perciformes,Sparidae,,Acanthopagrus,australis,Australia,Yellowfin bream,SW/TE,TL,0.01318,3.03,0,1.07317,FishBase,LWR estimates for this (Sub)family-body shape,NSW/PSGLMP,invertebrate carnivore,,Least Concern,55.12,Australia,endemic,660,SL,3.1,2,benthic invertivore,Demersal,Hard bottom,Low,Day,2,20.01384,,Y,R,,,,,,,Y,,,,250,,Y,280,,Y,300,,Y,250,,Y
Acanthopagrus butcheri,37353003,Actinopterygii,Perciformes,Sparidae,,Acanthopagrus,butcheri,Australia,Black bream,SW/TE,TL,0.0107,3.13,0,1.04729,FishBase,Species specific,NSW,algae/invertebrate consumer,,Least Concern,38.57,Australia,endemic,600,TL,3.5,2,benthic invertivore,Demersal,Hard bottom,Low,Day,2,16.2,39,Y,R,,,,,,,Y,,,,250,,Y,280,,Y,300,,Y,250,,Y
Acanthopagrus morrisoni,37353012,Actinopterygii,Perciformes,Sparidae,,Acanthopagrus,morrisoni,Australia,Western yellowfin bream,NW/N,TL,0.02239,2.95,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/Pilbara/West/Southwest/Pilbara,generalist carnivore,,Least Concern,49.63,,,450,TL,3.2,2,benthic invertivore,Demersal,Hard bottom,Low,Day,2,27.10467,41,Y,R,,,,Y,300,,Y,,,,,,,,,,,,,,,
Acanthopagrus palmaris,37353014,Actinopterygii,Perciformes,Sparidae,,Acanthopagrus,palmaris,Australia,Northwest black bream,NW,TL,0.02239,2.95,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,40.59,Australia,endemic,400,TL,3.3,2,benthic invertivore,Demersal,Hard bottom,Low,Day,2,29.509,41,Y,C/R,,,,,,,,,,,,,,,,,,,,,,
Acanthurus albipectoralis,37437004,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,albipectoralis,Australia,Whitefin surgeonfish,CS/N/SW,TL,0.01698,2.99,0,1.12276,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Least Concern,28.92,Australia/New.Caledonia/Viet.Nam/Tonga/Samoa,native,330,TL,3.4,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,3,25.03305,30,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus auranticavus,37437005,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,auranticavus,Philippines/Australia,Ringtail surgeonfish,CS/N,TL,0.02344,2.96,0,1.105765,FishBase,LWR estimates for this Genus-body shape,Negros,herbivore,,Least Concern,25.66,American.Samoa/Australia/Solomon.Islands/Fiji/Indonesia/Malaysia/Maldives/Mozambique/New.Caledonia/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/Samoa,native,450,SL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,26.16933,26,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus bariene,37437006,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,bariene,Australia,Eyespot surgeonfish,CS/N/NW,TL,0.02344,2.96,0,1.227518,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor,herbivore,,Least Concern,36.05,Australia/Solomon.Islands/Sri.Lanka/Fiji/Hong.Kong/Indonesia/Japan/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Seychelles,native,500,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,,37,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus blochii,37437007,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,blochii,Australia,Dark surgeonfish,CS/N/NW,FL,0.02506,3.03193,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor,herbivore,,Least Concern,38.32,Australia/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Guam/Indonesia/Iran.(Islamic.Republic.of)/Japan/Madagascar/Mozambique/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Samoa/Yemen,native,450,SL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,26.70817,38,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus dussumieri,37437008,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,dussumieri,Australia,Pencil surgeonfish,CS/N/NW/TE,FL,0.04256,2.86826,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,herbivore,,Least Concern,36.1,"Australia/Sri.Lanka/China/Christmas.Island/Comoros/Cook.Islands/Djibouti/Kiribati/Guam/Hong.Kong/Indonesia/Japan/Kenya/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/New.Zealand/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Tanzania,.United.Republic.of/Yemen",native,540,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,24.91716,36,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus fowleri,37437044,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,fowleri,Australia/Indonesia,Horseshoe surgeonfish,NW,TL,0.01698,2.99,0,1.15119,FishBase,LWR estimates for this (Sub)family-body shape,Timor/Ningaloo,herbivore,,Least Concern,45.32,Australia/Solomon.Islands/Indonesia/Papua.New.Guinea/Philippines/Thailand,native,450,SL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,,47,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus grammoptilus,37437002,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,grammoptilus,Australia,Inshore surgeonfish,CS/N/NW/SW/TE,TL,0.02344,2.96,0,1.11369,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor/Negros/SEQ,herbivore,,Least Concern,29.77,Australia/Indonesia/New.Caledonia/Philippines/Viet.Nam,native,350,TL,2.1,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.64212,31,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus guttatus,37437009,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,guttatus,Australia,Whitespotted surgeonfish,CS/Cocos.Keeling/Christmas.Island,FL,0.047,2.9,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,24.71,American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Indonesia/Japan/Maldives/Mauritius/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Tonga/United.States.of.America/Wallis.and.Futuna/Samoa,native,260,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,3,,26,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus leucocheilus,37437053,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,leucocheilus,Australia,Palelipped surgeonfish,NW,TL,0.02344,2.96,0,1.20434,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor,herbivore,,Least Concern,45.32,,,450,SL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.907,47,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus leucosternon,37437054,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,leucosternon,Australia,Powderblue surgeonfish,Cocos.Keeling/Christmas.Island,TL,0.0286,2.921,0,1.036273,FishBase,Species specific,,,,Least Concern,37.16,,,230,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,,38,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus lineatus,37437010,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,lineatus,Australia,Bluelined surgeonfish,CS/Cocos.Keeling/Christmas.Island/NW/TE,FL,0.0251,3.03,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,22.89,"American.Samoa/Australia/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,380,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.46301,23,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus maculiceps,37437041,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,maculiceps,Australia,Spotted-face surgeonfish,CS/Cocos.Keeling/Christmas.Island,TL,0.02344,2.96,0,1.165755,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,Least Concern,42.68,American.Samoa/Australia/Solomon.Islands/Christmas.Island/Cocos.(Keeling).Islands/Kiribati/Guam/Indonesia/Japan/Maldives/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Samoa,native,400,SL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.703,44,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus mata,37437011,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,mata,Australia,Pale surgeonfish,CS/N/NW/TE,FL,0.027,2.945,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,algae/invertebrate consumer,,Least Concern,39.45,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Guam/India/Indonesia/Japan/Madagascar/Malaysia/Maldives/Mozambique/Oman/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Tanzania,.United.Republic.of/Samoa/Yemen",native,500,TL,2.5,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,25.752,39,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus nigricans,37437012,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,nigricans,Australia,Velvet surgeonfish,NW,,0.067,2.669,,,FishBase,Species specific,Ningaloo/Pilbara/Timor,herbivore,,Least Concern,,,,213,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.4123,34,N,,,,,,,,,,,,,,,,,,,,,,,
