opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
DM-BV-03,-20.3566100002682,116.95347666634,2023-09-21T10:28:38+08:00,,Dampier,Fished,36,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,1,01/03/2024,Alex McLennan,13/05/2024,Point in wrong spot
DM-BV-09,-20.3454583333995,116.961633333187,2023-09-21T10:33:28+08:00,,Dampier,Fished,37,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,1,11/03/2024,Alex McLennan,14/05/2024,C.albimarginatus needs checking. Tiger shark in period. Wedgefish with massive schools of Carangidae (98min) Great hammerhead (103min) outside of period
DM-BV-08,-20.3607749088287,116.983153116317,2023-09-21T10:44:28+08:00,,Dampier,Fished,35.5,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,1,22/03/2024,Alex McLennan,01/05/2024,Sea snake needs ID
DM-BV-05,-20.3687865585464,116.993779856447,2023-09-21T10:52:43+08:00,,Dampier,Fished,34.5,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,1,03/04/2024,Alex McLennan,14/05/2024,"Sea snake, green turtle, juvenile wedgefish, zebra shark, 2 naucrates get stuck together (all in cool clips)"
DM-BV-14,-20.3474213109509,117.016619956432,2023-09-21T11:05:57+08:00,,Dampier,Fished,35.2,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,1,25/03/2024,Alex McLennan,14/05/2024,"Sea snake. weird soft, bouncy slug/sea cucumber thingy rolling across the FOV at ~1 min"
DM-BV-16,-20.3376146685782,117.03064333355,2023-09-21T11:16:33+08:00,,Dampier,Fished,34.9,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,1,25/03/2024,Alex McLennan,14/05/2024,Sea snake. Hammerhead after period ~82mins
DM-BV-51,-20.3375516667592,117.034846666647,2023-09-21T13:22:27+08:00,,Dampier,No-take,35.5,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,1,12/04/2024,Bri Beaulieu,14/05/2024,2 species of sea snakes. Cameras in wrong housing all day. Left footage is R028 right footage is L027. Use postcal
DM-BV-22,-20.3313316664917,117.017481666266,2023-09-21T13:30:54+08:00,,Dampier,Fished,36,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,1,18/04/2024,Bri Beaulieu,10/05/2023,Sea snake
DM-BV-15,-20.3296300001271,116.997080000001,2023-09-21T13:40:28+08:00,,Dampier,Fished,36.9,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,1,29/04/2024,Bri Beaulieu,14/05/2024,Possibly pregnant tiger shark ~48mins
DM-BV-12,-20.3242433333858,116.994851666955,2023-09-21T13:45:08+08:00,,Dampier,Fished,36.7,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,1,19/04/2024,Bri Beaulieu,30/04/2024,
DM-BV-11,-20.3172050003294,116.980318333318,2023-09-21T13:52:40+08:00,,Dampier,Fished,37.1,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,1,22/04/2024,Bri Beaulieu,30/04/2024,"Sea snake, R.austaliae"
DM-BV-21,-20.3078783335555,116.976335000329,2023-09-21T13:58:41+08:00,,Dampier,Fished,37.8,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-19,-20.3010966664521,116.994069999707,2023-09-21T14:05:40+08:00,,Dampier,Fished,39.2,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,1,23/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-25,-20.314861666732,116.994874999796,2023-09-21T14:13:12+08:00,,Dampier,Fished,37.1,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-46,-20.3191883330144,117.037208333037,2023-09-23T07:32:05+08:00,,Dampier,No-take,33.9,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-49,-20.3127466668059,117.034549999821,2023-09-23T07:35:37+08:00,,Dampier,No-take,35.7,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-56,-20.3082766663271,117.046666666816,2023-09-23T07:42:22+08:00,,Dampier,No-take,36,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,1,30/04/2024,Bri Beaulieu,02/04/2024,
DM-BV-50,-20.305873333748,117.052330000303,2023-09-23T07:46:58+08:00,,Dampier,No-take,35.7,Yes,Yes,Bri Beaulieu,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,1,29/04/2024,Alex McLennan,02/04/2024,
DM-BV-47,-20.3118099995839,117.051543333033,2023-09-23T07:51:37+08:00,,Dampier,No-take,35.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,1,29/04/2024,Daniel Agnello,14/05/2024,Sea snakes mating (i think)
DM-BV-39,-20.3057200000113,117.068565000007,2023-09-23T08:00:44+08:00,,Dampier,No-take,35.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,No,Yes,No,Nidhi Menon,Nidhi Menon,37,38,9,1,26/04/2024,Daniel Agnello,14/05/2024,Backwards cam didn’t take photos
DM-BV-41,-20.3133983329933,117.078988333708,2023-09-23T08:07:10+08:00,,Dampier,No-take,34.9,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,1,26/04/2024,Daniel Agnello,10/05/2024,
DM-BV-40,-20.3170816665366,117.059180000196,2023-09-23T08:15:08+08:00,,Dampier,No-take,34.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,1,26/04/2024,Daniel Agnello,10/05/2024,
DM-BV-53,-20.3366216667615,117.051636667092,2023-09-23T09:34:35+08:00,,Dampier,No-take,31.5,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,1,26/04/2024,Alex McLennan,10/05/2024,
DM-BV-48,-20.3370483335602,117.055328333278,2023-09-23T09:37:53+08:00,,Dampier,No-take,31.6,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,1,25/04/2024,Alex McLennan,10/05/2024,
DM-BV-45,-20.3387200003021,117.066371666223,2023-09-23T09:43:31+08:00,,Dampier,No-take,32.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,1,24/04/2024,Alex McLennan,10/05/2024,
DM-BV-44,-20.3429866668666,117.062821667052,2023-09-23T09:47:29+08:00,,Dampier,No-take,31,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,1,24/04/2024,Alex McLennan,10/05/2024,No clap to sync
DM-BV-42,-20.3343750003216,117.095266666344,2023-09-23T09:58:53+08:00,,Dampier,No-take,32.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,1,24/04/2024,Alex McLennan,10/05/2024,
DM-BV-55,-20.3310299998144,117.080365000084,2023-09-23T10:07:46+08:00,,Dampier,No-take,32.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,1,23/04/2024,Alex McLennan,10/05/2024,
DM-BV-52,-20.3227566663881,117.087161666999,2023-09-23T10:12:26+08:00,,Dampier,No-take,34.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,1,23/04/2024,Alex McLennan,09/05/2024,
DM-BV-26,-20.3028183333978,117.106611667035,2023-09-23T10:22:24+08:00,,Dampier,No-take,36.5,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,1,22/04/2024,Alex McLennan,03/05/2024,Snakes - laevis
DM-BV-29,-20.3743533334731,117.10636166679,2023-09-23T12:00:54+08:00,,Dampier,No-take,30.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,1,12/04/2024,Alex McLennan,09/05/2024,
DM-BV-28,-20.3711189260451,117.088398485448,2023-09-23T12:11:56+08:00,,Dampier,No-take,34.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,1,11/04/2024,Alex McLennan,09/05/2024,Not exact spot as GPS went down
DM-BV-35,-20.3589949996855,117.078850000341,2023-09-23T12:19:12+08:00,,Dampier,No-take,31,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,1,08/04/2024,Alex McLennan,09/05/2024,
DM-BV-43,-20.3517316667229,117.08075833372,2023-09-23T12:23:39+08:00,,Dampier,No-take,30.8,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,1,08/04/2024,Alex McLennan,08/05/2024,
DM-BV-38,-20.3498899999444,117.091045000429,2023-09-23T12:29:20+08:00,,Dampier,No-take,31.7,Yes,Yes,Bri Beaulieu,Daniel Agnello,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,1,08/04/2024,Alex McLennan,08/05/2024,Hammerhead and great barracuda
DM-BV-34,-20.3509366667475,117.099471666714,2023-09-23T12:33:43+08:00,,Dampier,No-take,31.8,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,1,26/04/2024,Bri Beaulieu,08/05/2024,
DM-BV-31,-20.3543783330443,117.096761666894,2023-09-23T12:37:35+08:00,,Dampier,No-take,31.2,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,1,20/03/2024,Bri Beaulieu,08/05/2024,Snakes - laevis and tenuis
DM-BV-32,-20.3648466666978,117.097559999687,2023-09-23T12:43:01+08:00,,Dampier,No-take,29.7,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,1,19/03/2024,Bri Beaulieu,29/04/2024,"Snake, reckon mosaic"
DM-BV-37,-20.372943332933,117.077291666766,2023-09-24T07:12:02+08:00,,Dampier,No-take,30.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,05/04/2024,Alex McLennan,08/05/2024,
DM-BV-27,-20.3717666668736,117.068848333139,2023-09-24T07:16:55+08:00,,Dampier,No-take,30.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,04/04/2024,Alex McLennan,18/04/2024,
DM-BV-54,-20.3675816663929,117.054919999574,2023-09-24T07:23:06+08:00,,Dampier,No-take,31.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,02/04/2024,Alex McLennan,08/05/2024,
DM-BV-33,-20.3611850003825,117.040033333383,2023-09-24T07:31:07+08:00,,Dampier,No-take,33.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,28/03/2024,Alex McLennan,07/05/2024,
DM-BV-57,-20.3577050003583,117.050489999972,2023-09-24T07:37:19+08:00,,Dampier,No-take,32.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,22/03/2024,Alex McLennan,07/05/2024,
DM-BV-36,-20.3569350001284,117.062259999912,2023-09-24T07:43:58+08:00,,Dampier,No-take,31.4,Yes,Yes,Bri Beaulieu,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,20/03/2024,Alex McLennan,17/05/2024,
DM-BV-30,-20.3647883331685,117.069796666618,2023-09-24T07:50:18+08:00,,Dampier,No-take,31.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,2,15/03/2024,Alex McLennan,22/03/2024,
DM-BV-C1,-20.364480000358,117.088311666869,2023-09-24T07:58:45+08:00,,Dampier,No-take,30.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,15/03/2024,Alex McLennan,08/05/2024,
DM-BV-90,-20.3429750003641,117.186013333689,2023-09-24T09:38:55+08:00,,Dampier,Fished,31.5,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,05/04/2024,Bri Beaulieu,02/05/2024,
DM-BV-78,-20.3187733332887,117.178935000017,2023-09-24T09:48:33+08:00,,Dampier,Fished,33.6,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,05/04/2024,Bri Beaulieu,07/05/2024,
DM-BV-82,-20.3266633334952,117.207343333342,2023-09-24T09:59:14+08:00,,Dampier,Fished,32.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,02/04/2024,Alex McLennan,07/05/2024,
DM-BV-81,-20.3315699998083,117.214041667072,2023-09-24T10:03:56+08:00,,Dampier,Fished,32.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,28/03/2024,Alex McLennan,07/05/2024,
DM-BV-89,-20.3305583330453,117.237628333533,2023-09-24T10:13:08+08:00,,Dampier,Fished,31.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,27/03/2024,Alex McLennan,06/05/2024,Shark on surface at retrieval 
DM-BV-85,-20.3352716669174,117.225721666601,2023-09-24T10:19:07+08:00,,Dampier,Fished,31.8,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,21/02/2024,Alex McLennan,06/05/2024,
DM-BV-97,-20.3408533331466,117.221091666981,2023-09-24T10:22:56+08:00,,Dampier,Fished,32,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,2,20/03/2024,Alex McLennan,06/05/2024,Seasnake
DM-BV-86,-20.3651727827734,117.210155988141,2023-09-24T10:33:55+08:00,,Dampier,Fished,28.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,14/03/2024,Alex McLennan,02/05/2024,GPS down point in wrong spot
DM-BV-92,-20.4209799996958,117.205725000391,2023-09-24T12:04:09+08:00,,Dampier,Fished,24.7,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,04/04/2024,Bri Beaulieu,07/05/2024,
DM-BV-95,-20.430319999939,117.231074999568,2023-09-24T12:12:54+08:00,,Dampier,Fished,19.8,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,04/04/2024,Bri Beaulieu,07/05/2024,
DM-BV-87,-20.4323183335743,117.246198333209,2023-09-24T12:18:38+08:00,,Dampier,Fished,20.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,03/04/2024,Alex McLennan,02/05/2024,
DM-BV-91,-20.4501766668256,117.240161667076,2023-09-24T12:26:27+08:00,,Dampier,Fished,18.6,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,25/03/2024,Alex McLennan,19/04/2024,
DM-BV-88,-20.4541883334865,117.220025000226,2023-09-24T12:34:39+08:00,,Dampier,Fished,17.6,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,27/03/2024,Alex McLennan,02/05/2024,
DM-BV-84,-20.4398800003882,117.206774999804,2023-09-24T12:43:13+08:00,,Dampier,Fished,21.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,21/03/2024,Alex McLennan,01/05/2024,
DM-BV-96,-20.4379933336852,117.191576666719,2023-09-24T12:50:31+08:00,,Dampier,Fished,21.8,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,2,19/03/2024,Alex McLennan,01/05/2024,
DM-BV-77,-20.4242866665823,117.19526333378,2023-09-24T12:57:54+08:00,,Dampier,Fished,24.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,10/03/2024,Alex McLennan,19/04/2024,
DM-BV-69,-20.3815483335914,117.1413999999,2023-09-24T14:30:09+08:00,,Dampier,Fished,29.5,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,03/04/2024,Alex McLennan,07/05/2024,
DM-BV-65,-20.3807683330518,117.135803333084,2023-09-24T14:34:14+08:00,,Dampier,Fished,29.9,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,03/04/2024,Alex McLennan,08/05/2024,
DM-BV-73,-20.3750266667983,117.1280316671,2023-09-24T14:39:23+08:00,,Dampier,Fished,21,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,02/04/2024,Alex McLennan,08/05/2024,
DM-BV-63,-20.3652016665008,117.12375666641,2023-09-24T14:45:02+08:00,,Dampier,Fished,29.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,21/03/2024,Alex McLennan,17/05/2024,Little tiger shark and grey reef shark 
DM-BV-59,-20.3666550002247,117.135078333361,2023-09-24T14:50:01+08:00,,Dampier,Fished,30.9,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,27/03/2024,Alex McLennan,08/05/2024,little tiger shark
DM-BV-70,-20.3533700000517,117.139713333004,2023-09-24T14:55:45+08:00,,Dampier,Fished,32.7,Yes,Yes,Ryan Simms,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,28/03/2024,Bri Beaulieu,01/05/2024,Showed 63
DM-BV-74,-20.3575850003235,117.146631666842,2023-09-24T14:59:19+08:00,,Dampier,Fished,31.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,2,18/03/2024,Alex McLennan,21/03/2024,
DM-BV-72,-20.3882949995849,117.160548333087,2023-09-24T15:10:17+08:00,,Dampier,Fished,29.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,13/03/2024,Alex McLennan,21/03/2024,
DM-BV-61,-20.4112733329653,117.154483333192,2023-09-27T07:33:20+08:00,,Dampier,Fished,26.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,07/02/2024,Alex McLennan,19/03/2024,
DM-BV-68,-20.3992816668986,117.170656666246,2023-09-27T07:41:42+08:00,,Dampier,Fished,28.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,19/02/2023,Alex McLennan,19/03/2024,
DM-BV-64,-20.3944166668539,117.168381666619,2023-09-27T07:45:32+08:00,,Dampier,Fished,29.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,21/02/2024,Alex McLennan,19/03/2024,
DM-BV-76,-20.3892299998769,117.189958333768,2023-09-27T07:56:21+08:00,,Dampier,Fished,29,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,26/02/2024,Alex McLennan,19/03/2024,
DM-BV-93,-20.3725116670673,117.220281666869,2023-09-27T08:11:23+08:00,,Dampier,Fished,30.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,07/03/2024,Alex McLennan,19/03/2024,2 sea snakes (ocellatus and tenuis)
DM-BV-83,-20.392455000225,117.229045000164,2023-09-27T08:22:31+08:00,,Dampier,Fished,28.6,Yes,Yes,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,12/02/2024,Bri Beaulieu,19/03/2024,snake
DM-BV-80,-20.3996000001785,117.204186666908,2023-09-27T08:34:36+08:00,,Dampier,Fished,28.2,Yes,No,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,40,39,7,2,30/01/2024,Claude Spencer,,39 off on retrieve. 39 and 40 in wrong housings for this drop only- left camera was off the majority of the video
DM-BV-79,-20.4127033334227,117.170666666292,2023-09-27T08:47:02+08:00,,Dampier,Fished,25.5,Yes,Yes,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,25/01/2024,Claude Spencer,19/03/2024,snake
