Family_correct,Genus_correct,Species_correct,Family,Genus,Species,Region,Reason,Comment
Apogonidae,Ostorhinchus,taeniophorus,Apogonidae,Apogon,taeniophorus,SW/NW/Christmas.Island/Cocos.Keeling/N/CS,Synonym,
Apogonidae,Ostorhinchus,victoriae,Apogonidae,Apogon,victoriae,SW/NW,Synonym,
Apogonidae,Ostorhinchus,wassinki,Apogonidae,Apogon,wassinki,NW,Synonym,
Apogonidae,Pristiapogon,fraenatus,Apogonidae,Apogon,fraenatus,SW/NW/Christmas.Island/N/CS/TE,Synonym,
Apogonidae,Unknown,spp,,Apogonidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Aracanidae,Anoplocapros,amygdaloides,Aracanidae,Anoplocapros,robustus,SW,Synonym,
Ariidae,Nemapteryx,spp,,Arius,spp,NW/N/CS,Synonym,
Ariidae,Netuma,thalassina,Ariidae,Arius,thalassinus,NW/N/CS/TE,Synonym,
Ariidae,Netuma,thalassina,,Arius,thalassinus,NW/N/CS/TE,Synonym,
Arripidae,Arripis,spp,Arripis,Unknown,spp,SW/SE/TE/Lord.Howe.Island/Norfolk.Island,Spelling,
Arripidae,Arripis,truttaceus,Arripidae,Arripis,truttacea,SW/SE,Spelling,
Aulopidae,Latropiscis,purpurissatus,,Aulopus,purourissatus,SW/SE/TE/CS,Spelling,
Aulopidae,Latropiscis,purpurissatus,Aulopidae,Latropiscis,purpurissata,SW/SE/TE/CS,Spelling,
Aulopidae,Latropiscis,purpurissatus,Aulopidae,Hime,purpurissatus,SW/SE/TE/CS,Synonym,
Aulopidae,Latropiscis,purpurissatus,,Hime,purpurissatus,SW/SE/TE/CS,Synonym,
Aulopidae,Latropiscis,purpurissatus,Aulopidae,Aulopus,purpurissatus,SW/SE/TE/CS,Synonym,
Aulopidae,Latropiscis,purpurissatus,Aulopodidae,Aulopus,purpurissatus,SW/SE/TE/CS,Synonym,
Aulopidae,Latropiscis,purpurissatus,,Aulopus,purpurissatus,SW/SE/TE/CS,Synonym,
Balistidae,Abalistes,stellatus,Balistidae,Abalistes,stellaris,NW/N/CS/TE/SE,Spelling,
Balistidae,Balistoides,viridescens,Balistidae,Balistes,viridescens,SW/NW/N/CS/TE/Christmas.Island/Cocos.Keeling,Synonym,
Balistidae,Balistoides,viridescens,,Balistes,viridescens,SW/NW/N/CS/TE/Christmas.Island/Cocos.Keeling,Synonym,
Balistidae,Rhinecanthus,aculeatus,Balistidae,Abalistes,aculeatus,NW/CS/Lord.Howe.Island/Cocos.Keeling,Synonym,
Balistidae,Sufflamen,chrysopterum,Balistidae,Sufflamen,chrysopterus,NW/Christmas.Island/N/CS/TE/Lord.Howe.Island,Spelling,
Balistidae,Sufflamen,fraenatum,Balistidae,Sufflamen,fraenatus,NW/Christmas.Island/N/CS/TE/Lord.Howe.Island/Norfollk.Island,Spelling,
Balistidae,Sufflamen,fraenatum,Balistidae,Sufflamen,frenatum,NW/Christmas.Island/N/CS/TE/Lord.Howe.Island/Norfollk.Island,Spelling,
Balistidae,Sufflamen,fraenatum,Balistidae,Sufflamen,frenatus,NW/Christmas.Island/N/CS/TE/Lord.Howe.Island/Norfollk.Island,Spelling,
Blenniidae,Plagiotremus,tapeinosoma,Blennidae,Plagiotremus,tapeinosoma,SW/NW/Christmas.Island/Cocos.Keeling/CS/TE/Lord.Howe.Island,Spelling,
Blenniidae,Salarias,fasciatus,Blenniidae,Salarius,fasciatus,NW/CS,Spelling,
Blenniidae,Salarias,fasciatus,Blennidae,Salarias,fasciatus,NW/CS,Spelling,
Blenniidae,Unknown,spp,,Blennidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Blenniidae,Unknown,spp,,Blenniidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Blenniidae,Unknown,spp,Blenniidae,Blennidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Bothidae,Unknown,spp,,Bothidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Caesionidae,Caesio,cuning,Lutjanidae,Caesio,cuning,NW/N/CS/TE,Synonym,
Caesionidae,Caesio,teres,Lutjanidae,Caesio,teres,NW/CS/Christmas.Island/Cocos.Keeling,Synonym,
Caesionidae,Pterocaesio,chrysozona,Lutjanidae,Pterocaesio,chrysozona,NW/N/CS/TE,Synonym,
Caesionidae,Pterocaesio,digramma,Lutjanidae,Pterocaesio,digramma,NW/CS/TE/Lord.Howe.Island,Synonym,
Callionymidae,Neosynchiropus,morrisoni,Callionymidae,Synchiropus,morrisoni,SW/NW/CS,Synonym,
Carangidae,Atule,mate,Carangidae,Caranx,mate,NW/N/CS/TE,Synonym,
Carangidae,Carangoides,caeruleopinnatus,Carangidae,Carangoides,coeruleopinnatus,NW/N/CS/TE,Synonym,
Carangidae,Carangoides,caeruleopinnatus,Carangidae,Carangoides,uii,NW/N/CS/TE,Synonym,
Carangidae,Carangoides,chrysophrys,Carangidae,Caranx,chrysophrys,NW/N/CS/TE/SE,Synonym,
Carangidae,Carangoides,fulvoguttatus,Carangidae,Caranx,fulvoguttatus,NW/N/CS/TE,Synonym,
Carangidae,Gnathanodon,speciosus,Carangidae,Gnathonodon,speciosus,NW/N/Christmas.Island/CS/TE,Spelling,
Carangidae,Gnathanodon,speciosus,,Gnathonodon,speciosus,NW/N/Christmas.Island/CS/TE,Spelling,
Carangidae,Pseudocaranx,georgianus,Carangidae,Pseudocaranx,dentex,SW/SE/TE,Synonym,"Pseudocaranx georgianus is known from temperate southern Australia and New Zealand (see Smith-Vaniz & Jelks, 2006). Between Sep 2008 and Nov 2013, this species was coded as 37 337004. Historical data relating to 37 337062 comprises this species and Pseudocaranx sp ""dentex"" (37 337082) but the vast majority would be the former species that retains the name Silver Trevally."
Carangidae,Trachinotus,baillonii,Carangidae,Trachinotus,bailloni,SW/NW/N/Christmas.Island/Cocos.Keeling/CS/TE/Lord.Howe.Island/Norfolk.Island,Spelling,
Carangidae,Trachurus,novaezelandiae,Carangidae,Trachurus,mccullochi,NW/SW/SE/TE/CS/Lord.Howe.Island,Synonym,
Carangidae,Trachurus,novaezelandiae,Carangidae,Trachurus,novazelandiae,NW/SW/SE/TE/CS/Lord.Howe.Island,Spelling,
Carangidae,Unknown,spp,,Carangidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Carcharhinidae,Carcharhinus,coatesi,Carcharhinidae,Carcharhinus,dussumieri,NW/N/CS/TE,Misidentification,C. dussumieri is currently known from the Western Indian Ocean (Persian Gulf eastwards to at least India)
Carcharhinidae,Unknown,spp,,Carcharhinidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Chaetodontidae,Chaetodon,melannotus,Chaetodontidae,Chaetodon,melanotus,CS/N/TE/NW/Christmas.Island/Cocos.Keeling/Lord.Howe.Island/Norfolk.Island,Spelling,
Chanidae,Chanos,chanos,Carangidae,Chanos,chanos,NW/SW/N/CS/TE/Christmas.Island/Cocos.Keeling/Lord.Howe.Island/Norfolk.Island,Spelling,
Cheilodactylidae,Cheilodactylus,spectabilis,Cheilodactylidae,Cheilodactylus,spp.ectabilis,SE/SW/TE,Spelling,
Cheilodactylidae,Cheilodactylus,vestitus,Cheilodactylidae,Cheiliodactylus,vestitus,CS/TE/SE,Spelling,
Cheilodactylidae,Cheilodactylus,vestitus,,Cheiliodactylus,vestitus,CS/TE/SE,Spelling,
Chironemidae,Chironemus,maculosus,Chironemidae,Threpterius,maculosus,SW/SE/TE,Synonym,
Chironemidae,Chironemus,maculosus,,Threpterius,maculosus,SW/SE/TE,Synonym,
Chlorophthalmidae,Chlorophthalmus,spp,,Chlorophthalmus,spp,NW/N/CS/TE,Spelling,
Clupeidae,Sardinops,sagax,Clupeidae,Sardinops,neopilchardus,SW/SE/TE/CS,Synonym,"The scientific name of the Australian taxon has been under debate for many years. The name used here (Sardinops sagax) is also being used by most recent authorities (e.g. Australian Faunal Directory online, Eschmeyer's Catalog of Fishes online: both accessed Feb. 2010, Gomon et al 2008, Neira et al 1998)."
Congridae,Castleichthys,spp,,Castleichthys,spp,NW,Spelling,
Congridae,Gnathophis,longicauda,Congridae,Gnathophis,longicaudus,SW/SE/TE/CS,Spelling,
Congridae,Heteroconger,spp,,Heteroconger,spp,NW/CS/Christmas.Island/Cocos.Keeling,Spelling,
Dasyatidae,Bathytoshia,brevicaudata,Dasyatidae,Dasyatis,brevicaudata,NW/SW/SE/TE/CS,Synonym,
Dasyatidae,Bathytoshia,brevicaudata,Dasyatidae,Dasyatis,brevicaudatus,NW/SW/SE/TE/CS,Synonym,
Dasyatidae,Bathytoshia,brevicaudata,Dasyatidae,Bathytoshia,spp,NW/SW/SE/TE/CS,Synonym,
Dasyatidae,Himantura,leoparda,Dasyatidae,Himantura,undulata,NW/N,Misidentification,"Himantura leoparda has been confused with a number of similar species, including H. undulata (Bleeker, 1852) [H. fava (Annandale 1909) is a synonym of H. undulata] and Himantura uarnak (Forsskål, 1775). The true H. undulata has not been recorded from Australian waters."
Dasyatidae,Maculabatis,astra,Dasyatidae,Himantura,astra,SW/NW/N/CS,Synonym,
Dasyatidae,Maculabatis,toshi,Dasyatidae,Himantura,toshi,NW/N/CS/TE,Synonym,Himantura toshi is a synonym for both Maculabatis toshi and Maculabatis astra on CAAB
Dasyatidae,Neotrygon,australiae,Dasyatidae,Dasyatis,kuhlii,NW/N,Synonym,"Prior to Last et al 2016, Neotrygon kuhlii was considered as a single species in Australia, but is now regarded as two species, N. australiae (Port Hedland, WA to northeastern Gulf of Carpentaria, Qld in shallows to at least 91m depth) and N. trigonoides (confirmed from Qld and northern NSW, but not Gulf of Carpentaria). The true Neotrygon kuhlii is currently only confirmed from the Solomon Islands (Last et al 2016, Zootaxa 4083)"
Dasyatidae,Neotrygon,trigonoides,Dasyatidae,Dasyatis,kuhlii,CS/TE,Misidentification,"Prior to Last et al 2016, Neotrygon kuhlii was considered as a single species in Australia, but is now regarded as two species, N. australiae (Port Hedland, WA to northeastern Gulf of Carpentaria, Qld in shallows to at least 91m depth) and N. trigonoides (confirmed from Qld and northern NSW, but not Gulf of Carpentaria). The true Neotrygon kuhlii is currently only confirmed from the Solomon Islands (Last et al 2016, Zootaxa 4083)"
Dasyatidae,Neotrygon,australiae,Dasyatidae,Neotrygon,kuhlii,NW/N,Synonym,"Prior to Last et al 2016, Neotrygon kuhlii was considered as a single species in Australia, but is now regarded as two species, N. australiae (Port Hedland, WA to northeastern Gulf of Carpentaria, Qld in shallows to at least 91m depth) and N. trigonoides (confirmed from Qld and northern NSW, but not Gulf of Carpentaria). The true Neotrygon kuhlii is currently only confirmed from the Solomon Islands (Last et al 2016, Zootaxa 4083)"
Dasyatidae,Neotrygon,trigonoides,Dasyatidae,Neotrygon,kuhlii,CS/TE,Misidentification,"Prior to Last et al 2016, Neotrygon kuhlii was considered as a single species in Australia, but is now regarded as two species, N. australiae (Port Hedland, WA to northeastern Gulf of Carpentaria, Qld in shallows to at least 91m depth) and N. trigonoides (confirmed from Qld and northern NSW, but not Gulf of Carpentaria). The true Neotrygon kuhlii is currently only confirmed from the Solomon Islands (Last et al 2016, Zootaxa 4083)"
Dasyatidae,Neotrygon,leylandi,Dasyatidae,Dasyatis,leylandi,NW/SW,Synonym,"Last & White (2008) resurrected the genus Neotrygon for this and two other maskray species [N. kuhlii and N. annotata] and also described a new species Neotrygon picta. Prior to the description of N. picta, all records of Dasyatis leylandi from the Arafura Sea (off NT) should be considered dubious (as they could also refer to N. picta). All Qld records of Dasyatis leylandi probably refer to N. picta"
Dasyatidae,Neotrygon,picta,Dasyatidae,Dasyatis,leylandi,CS,Misidentification,"Last & White (2008) resurrected the genus Neotrygon for this and two other maskray species [N. kuhlii and N. annotata] and also described a new species Neotrygon picta. Prior to the description of N. picta, all records of Dasyatis leylandi from the Arafura Sea (off NT) should be considered dubious (as they could also refer to N. picta). All Qld records of Dasyatis leylandi probably refer to N. picta"
Dasyatidae,Pastinachus,ater,Dasyatidae,Pastinachus,atrus,SW/NW/TE/N/CS,Synonym,Pastinachus sephen was described by Forsskål from the Red Sea (as Raja sephen). Pastinachus sephen is most likely a different species to P. ater (described as Taeniura atra by Macleay from Papua New Guinea). The latter name is used for the Australian species until the taxonomy is resolved.
Dasyatidae,Pastinachus,ater,Dasyatidae,Pastinachus,sephen,SW/NW/TE/N/CS,Synonym,Pastinachus sephen was described by Forsskål from the Red Sea (as Raja sephen). Pastinachus sephen is most likely a different species to P. ater (described as Taeniura atra by Macleay from Papua New Guinea). The latter name is used for the Australian species until the taxonomy is resolved.
Dasyatidae,Pateobatis,fai,Dasyatidae,Himantura,fai,NW/TE/N/CS,Synonym,
Dasyatidae,Pateobatis,jenkinsii,Dasyatidae,Himantura,jenkinsii,NW/N/CS,Synonym,
Dasyatidae,Taeniurops,meyeni,Dasyatidae,Taeniura,meyeni,CS/N/NW/TE/Christmas.Island/Lord.Howe.Island/Norfolk.Island,Synonym,
Dasyatidae,Unknown,spp,,Dasyatidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Dasyatidae,Urogymnus,granulatus,Dasyatidae,Himantura,granulata,NW/N/CS,Synonym,
Dinolestidae,Dinolestes,lewini,Dinolestidae,Dinolestidae,lewini,SE/SW/TE,Spelling,
Dinolestidae,Dinolestes,lewini,Dinolestidae,Unknown,lewini,SE/SW/TE,Spelling,
Diodontidae,Diodon,hystrix,Diodontidae,Arothron,hystrix,NW/TE/CS/N/Christmas.Island/Cocos.Keeling/Lord.Howe.Island/Norfolk.Island,Synonym,
Diodontidae,Diodon,nicthemerus,Diodontidae,Diodon,nichthemerus,SE/SW/TE,Spelling,
Elopidae,Elops,hawaiensis,Elopidae,Elops,hawaiiensis,NW/SW/N/CS/TE,Spelling,
Engraulidae,Stolephorus,commersonnii,Engraulidae,Stolephorus,commersonii,NW/N/CS,Spelling,
Epinephelidae,Hyporthodus,octofasciatus,Serranidae,Epinephelus,octofasciatus,Christmas.Island/CS/TE/Lord.Howe.Island,Synonym,
Epinephelidae,Hyporthodus,ergastularius,Serranidae,Epinephelus,septemfasciatus,SW/NW,Synonym,This species is very confusing. Synonym based of FOA
Exocoetidae,Cypselurus,angusticeps,,Cypselurus,angusticeps,NW,Spelling,
Fistulariidae,Unknown,spp,,Fistularidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Fistulariidae,Unknown,spp,Fistulariidae,Fistularidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Glaucosomatidae,Glaucosoma,buergeri,Glaucosomatidae,Glaucosoma,burgeri,NW/SW/N,Spelling,
Glaucosomatidae,Glaucosoma,hebraicum,Glaucosomatidae,Glaucosoma,hebracium,NW/SW,Spelling,
Glaucostegidae,Glaucostegus,typus,Glaucostegidae,Rhinobatos,typus,NW/N/CS/TE,Synonym,
Glaucostegidae,Glaucostegus,typus,Rhinobatidae,Rhinobatos,typus,NW/N/CS/TE,Synonym,
Glaucostegidae,Glaucostegus,typus,Rhinobatidae,Glaucostegus,typus,NW/N/CS/TE,Synonym,
Gobiesocidae,Discotrema,spp,,Discotrema,spp,NW/N/CS/Christmas.Island,Spelling,
Gobiesocidae,Parvicrepis,spp,,Parvicrepis,spp,SW/SE/TE/CS,Spelling,
Gobiesocidae,Unknown,spp,,Gobiesocidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Gobiidae,Amblygobius,rainfordi,Gobiidae,Koumansetta,rainfordi,NW/CS/Lord.Howe.Island/SW,Synonym,"Although Kovačić et al 2018 placed this species in the genus Koumansetta, there is some doubt about the validity of this genus and its separation from the genus Amblygobius. Amblygobius is retained here to align with the AFD."
Gobiidae,Eviota,spp,,Eviota,spp,SW/NW/N/CS/TE/SE/Christmas.Island/Cocos.Keeling/Lord.Howe.Island/Norfolk.Island,Spelling,
Gobiidae,Hazeus,spp,,Opua,spp,NW/N/CS,Spelling,"The genera Hazeus, Opua and Oplopomops have been separated on the basis of extent of coverage of the head by scales. With head scalation varying within other genera and absence of other distinctive features, we do not regard these genera as separate. For example Hazeus maculipinna appears to be a sister species of the species generally referred to as Opua nephotes."
Gobiidae,Parioglossus,spp,,Parioglossus,spp,NW/N/CS/TE/SE,Spelling,
Gobiidae,Parioglossus,spp,Microdesmidae,Parioglossus,spp,NW/N/CS/TE/SE,Spelling,
Gobiidae,Taenioides,purpurascens,Gobiidae,Gobiidae,purpurascens,CS/TE,Spelling,
Gobiidae,Taenioides,purpurascens,Gobiidae,Unknown,purpurascens,CS/TE,Spelling,
Gobiidae,Tomiyamichthys,spp,,Tomiyamichthys,spp,NW/N/CS,Spelling,
Gobiidae,Tomiyamichthys,spp,Tetraodontidae,Tomiyamichthys,spp,NW/N/CS,Spelling,
Gobiidae,Trimma,emeryi,,Trimma,emeryi,NW/CS/Christmas.Island/Cocos.Keeling,Spelling,
Gobiidae,Unknown,spp,,Gobiidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Gobiidae,Yongeichthys,nebulosus,Gobiidae,Acentrogobius,nebulosus,NW/N/CS,Synonym,
Haemulidae,Diagramma,pictum labiosum,Haemulidae,Diagramma,labiosum,CS/N/NW/TE/SW/Lord.Howe.Island,Synonym,
Haemulidae,Diagramma,pictum labiosum,Haemulidae,Diagramma,labosium,CS/N/NW/TE/SW/Lord.Howe.Island,Synonym,
Haemulidae,Diagramma,pictum labiosum,Haemulidae,Diagramma,pictum,CS/N/NW/TE/SW/Lord.Howe.Island,Synonym,
Haemulidae,Plectorhinchus,flavomaculatus,Haemulidae,Plectorhincus,flavomaculatus,CS/N/NW/SW/TE,Spelling,
Haemulidae,Plectorhinchus,flavomaculatus,,Plectorhincus,flavomaculatus,CS/N/NW/SW/TE,Spelling,
Haemulidae,Plectorhinchus,multivittatus,Haemulidae,Plectorhinchus,multivittatum,NW/N/CS,Spelling,
Haemulidae,Plectorhinchus,unicolor,Haemulidae,Plectorhinchus,schotaf,NW/SW/TE/N/CS/Christmas.Island/Cocos.Keeling/Lord.Howe.Island,Misidentification,"Plectorhinchus schotaf appears to be restricted to the region from southeast Africa to the Arabian Sea, including the Red Sea and Persian Gulf; Plectorhinchus chubbi has only been confirmed from the Western Indian Ocean (Johnson & Wilmer 2015)"
Haemulidae,Plectorhinchus,spp,Haemulidae,Plectorhincus,spp,SW/NW/N/CS/TE/SE/Christmas.Island/Cocos.Keeling/Lord.Howe.Island/Norfolk.Island,Spelling,
Haemulidae,Plectorhinchus,spp,,Plectorhincus,spp,SW/NW/N/CS/TE/SE/Christmas.Island/Cocos.Keeling/Lord.Howe.Island/Norfolk.Island,Spelling,
Hemigaleidae,Hemigaleus,australiensis,Hemigaleidae,Hemigaleus,microstoma,SW/NW/N/CS/TE,Misidentification,Indo-West Pacific: southern India and Sri Lanka; China to Indonesia
Hemiramphidae,Unknown,spp,,Hemiramphidae,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Heterodontidae,Heterodontus,portusjacksoni,Heterodontidae,Heterodontis,portusjacksoni,NW/SE/SW/TE,Spelling,
Heterodontidae,Heterodontus,portusjacksoni,,Heterodontis,portusjacksoni,NW/SE/SW/TE,Spelling,
Hypnidae,Hypnos,monopterygius,Hypnidae,Hypnos,monopterygium,SW/TE/NW/CS/SE,Spelling,
Kyphosidae,Kyphosus,bigibbus,Kyphosidae,Kyphosus,biggibus,NW/TE/SW/Christmas.Island/CS/Lord.Howe.Island/Norfolk.Island,Spelling,
Kyphosidae,Kyphosus,cornelii,Kyphosidae,Kyphosus,cornelli,NW/SW,Spelling,
Kyphosidae,Kyphosus,vaigiensis,Kyphosidae,Kyphosus,gibsoni,CS/N/NW/TE/Christmas.Island/Cocos.Keeling/Norfolk.Island,Synonym,
Kyphosidae,Kyphosus,vaigiensis,Kyphosidae,Cantharus,lineolatus,CS/N/NW/TE/Christmas.Island/Cocos.Keeling/Norfolk.Island,Synonym,
Kyphosidae,Tilodon,sexfasciatus,Kyphosidae,Tilodon,sexfasciatum,SE/SW,Spelling,
Labridae,Choerodon,schoenleinii,Labridae,Choerodon,schloenleinii,CS/N/NW/TE/SW,Spelling,
Labridae,Choerodon,zamboangae,Labridae,Choerodon,robustus,NW/SW,Synonym,
Labridae,Cirrhilabrus,spp,Labridae,Cirrhilabrus,walindi,NW/SW/N/CS/TE/Christmas.Island/Cocos.Keeling/Lord.Howe.Island,Misidentification,Can't find any records in Australia
Labridae,Coris,sandeyeri,Labridae,Coris,sandageri,TE/Lord.Howe.Island/Norfolk.Island,Spelling,
Labridae,Eupetrichthys,angustipes,Labridae,Eupetrichthys,angustipies,SE/SW/TE/CS/NW,Spelling,
Labridae,Halichoeres,chrysus,Pseudochromidae,Halichoeres,chrysus,NW/CS/TE/SE/Christmas.Island,Spelling,
Labridae,Iniistius,jacksonensis,Labridae,Xyrichtys,jacksonensis,TE/Lord.Howe.Island,Synonym,
Labridae,Iniistius,jacksonensis,,Xyrichtys,jacksonensis,TE/Lord.Howe.Island,Synonym,
Labridae,Iniistius,twistii,Labridae,Xyrichtys,twistii,CS,Synonym,
Labridae,Iniistius,twistii,,Xyrichtys,twistii,CS,Synonym,
Labridae,Notolabrus,fucicola,Labridae,Pseudolabrus,fucicola,SE/TE/Lord.Howe.Island,Synonym,
Labridae,Notolabrus,fucicola,Labridae,Notolabrus,fuciola,SE/TE/Lord.Howe.Island,Spelling,
Labridae,Notolabrus,parilus,Labridae,Pseudolabrus,parilus,NW/SE/SW,Synonym,
Labridae,Notolabrus,tetricus,Labridae,Labridae,tetricus,SE/TE/SW,Spelling,
Labridae,Notolabrus,tetricus,Labridae,Unknown,tetricus,SE/TE/SW,Spelling,
Labridae,Novaculichthys,taeniourus,Labridae,Novaculichthys,taeniurus,NW/TE/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling/Norfolk.Island,Spelling,
Labridae,Novaculops,spp,,Novaculops,spp,CS/Lord.Howe.Island,Spelling,To add in family as no other Novaculops in life-history
Labridae,Ophthalmolepis,lineolatus,Labridae,Ophthalmolepis,lineolata,SE/SW/TE,Spelling,
Labridae,Ophthalmolepis,lineolatus,,Ophthalmolepsis,lineolatus,SE/SW/TE,Spelling,
Labridae,Ophthalmolepis,lineolatus,Labridae,Ophthalmolepsis,lineolatus,SE/SW/TE,Spelling,
Labridae,Oxycheilinus,bimaculatus,Labridae,Cheilinus,bimaculatus,CS/N/NW/TE/Cocos.Keeling/Lord.Howe.Island,Synonym,
Labridae,Oxycheilinus,digrammus,Labridae,Cheilinus,digrammus,CS/N/NW/Lord.Howe.Island,Synonym,
Labridae,Oxycheilinus,digrammus,Labridae,Cheilinus,digramma,CS/N/NW/Lord.Howe.Island,Synonym,
Labridae,Oxycheilinus,digrammus,Labridae,Oxycheilinus,digramma,CS/N/NW/Lord.Howe.Island,Synonym,
Labridae,Oxycheilinus,orientalis,Labridae,Oxycheilinus,rhodochrous,NW/CS,Synonym,
Labridae,Oxycheilinus,orientalis,Labridae,Cheilinus,orientalis,NW/CS,Synonym,
Labridae,Oxycheilinus,unifasciatus,Labridae,Cheilinus,unifasciatus,NW/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,Synonym,
Labridae,Pictilabrus,laticlavius,Labridae,Labrus,laticlavis,SE/SW/TE/Lord.Howe.Island,Spelling,
Labridae,Pictilabrus,laticlavius,Labridae,Pictilabrus,laticlavis,SE/SW/TE/Lord.Howe.Island,Spelling,
Labridae,Pictilabrus,laticlavius,,Labrus,laticlavis,SE/SW/TE/Lord.Howe.Island,Spelling,
Labridae,Pseudodax,moluccanus,Labridae,Pseudodax,mollucanus,NW/Cocos.Keeling/Christmas.Island/CS/Lord.Howe.Island,Spelling,
