campaignid,opcode,family,genus,species,count,caab_code
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Lethrinidae,Lethrinus,genivittatus,3,37351002
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Mullidae,Upeneus,spp,1,37355903
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Nemipteridae,Pentapodus,porosus,22,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Scombridae,Scomberomorus,spp,3,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Bothidae,Unknown,spp,1,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Carangidae,Selaroides,leptolepis,89,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Carangidae,Turrum,fulvoguttatum,2,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Echeneidae,Echeneis,naucrates,2,37336001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Leiognathidae,Unknown,spp,8,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Nemipteridae,Pentapodus,porosus,23,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Pinguipedidae,Parapercis,nebulosa,1,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Scombridae,Scomberomorus,spp,2,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Scombridae,Unknown,spp,6,37441000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Sphyraenidae,Sphyraena,barracuda,1,37382008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Tetraodontidae,Lagocephalus,lunaris,1,37467012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Carangidae,Selaroides,leptolepis,4,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Chaetodontidae,Coradion,altivelis,1,37365018
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Labridae,Choerodon,cauteroma,1,37384005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Labridae,Choerodon,cephalotes,1,37384004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Labridae,Choerodon,spp,1,37384902
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Lethrinidae,Lethrinus,genivittatus,16,37351002
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Lethrinidae,Lethrinus,punctulatus,1,37351001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Mullidae,Parupeneus,heptacanthus,1,37355004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Mullidae,Parupeneus,spilurus,1,37355015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Mullidae,Upeneus,tragula,1,37355014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Nemipteridae,Pentapodus,porosus,23,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Nemipteridae,Scolopsis,meridiana,1,37347008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Pinguipedidae,Parapercis,nebulosa,1,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Scombridae,Cybiosarda,elegans,38,37441008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Scombridae,Scomberomorus,spp,1,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Siganidae,Siganus,fuscescens,2,37438001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Sphyraenidae,Sphyraena,obtusata,6,37382007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Balistidae,Abalistes,stellatus,1,37465011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Bothidae,Unknown,spp,1,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Carangidae,Atule,mate,2,37337024
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Carangidae,Selaroides,leptolepis,32,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Leiognathidae,Unknown,spp,3,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Nemipteridae,Nemipterus,furcosus,2,37347005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Nemipteridae,Pentapodus,porosus,20,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Pinguipedidae,Parapercis,nebulosa,1,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Sillaginidae,Sillago,spp,3,37330904
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Synodontidae,Saurida,undosquamis,1,37118001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Terapontidae,Pelates,spp,1,37321908
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Tetraodontidae,Lagocephalus,lunaris,2,37467012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Tetraodontidae,Lagocephalus,sceleratus,1,37467007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Tetraodontidae,Unknown,spp,1,37467000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Balistidae,Abalistes,stellatus,1,37465011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Carangidae,Atropus,hedlandensis,2,37337042
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Carangidae,Selaroides,leptolepis,30,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Hemiscylliidae,Chiloscyllium,punctatum,1,37013008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Leiognathidae,Unknown,spp,9,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Mullidae,Upeneus,tragula,1,37355014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Nemipteridae,Pentapodus,porosus,20,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Nemipteridae,Pentapodus,vitta,2,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Scombridae,Scomberomorus,spp,2,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Sphyrnidae,Sphyrna,lewini,1,37019001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Tetraodontidae,Lagocephalus,lunaris,1,37467012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Carangidae,Gnathanodon,speciosus,7,37337012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Carcharhinidae,Carcharhinus,melanopterus,1,37018036
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Hemiscylliidae,Chiloscyllium,punctatum,1,37013008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Cheilio,inermis,2,37384070
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Choerodon,cyanodus,3,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Coris,caudimacula,1,37384092
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Suezichthys,cyanolaemus,1,37384161
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Lethrinidae,Lethrinus,atkinsoni,1,37351013
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Lethrinidae,Lethrinus,punctulatus,7,37351001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Mullidae,Parupeneus,indicus,6,37355005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Mullidae,Parupeneus,spilurus,10,37355015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Muraenidae,Gymnothorax,spp,1,37060900
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Nemipteridae,Pentapodus,vitta,8,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Pomacentridae,Pomacentrus,spp,2,37372918
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Serranidae,Epinephelus,quoyanus,1,37311040
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Serranidae,Epinephelus,rivulatus,1,37311022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Acanthuridae,Acanthurus,grammoptilus,4,37437002
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Apogonidae,Ostorhinchus,cookii,4,37327050
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Apogonidae,Unknown,spp,1,37327926
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Blenniidae,Aspidontus,dussumieri,2,37408007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Blenniidae,Meiacanthus,grammistes,1,37408005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Blenniidae,Plagiotremus,rhinorhynchos,1,37408004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Blenniidae,Unknown,spp,1,37408000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Labridae,Cheilio,inermis,1,37384070
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Labridae,Choerodon,cauteroma,1,37384005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Labridae,Choerodon,cyanodus,3,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Labridae,Halichoeres,nebulosus,3,37384118
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Labridae,Halichoeres,spp,1,37384920
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Labridae,Unknown,spp,3,37384900
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Lethrinidae,Lethrinus,laticaudis,1,37351006
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Lethrinidae,Unknown,spp,1,37351000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Mullidae,Parupeneus,barberinoides,2,37355021
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Mullidae,Parupeneus,indicus,1,37355005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Nemipteridae,Pentapodus,nagasakiensis,1,37347012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Pomacentridae,Abudefduf,bengalensis,1,37372003
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Pomacentridae,Abudefduf,sexfasciatus,22,37372011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Pomacentridae,Neopomacentrus,aktites,5,37372090
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Pomacentridae,Pomacentrus,coelestis,50,37372111
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Pomacentridae,Pomacentrus,milleri,19,37372117
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Pseudochromidae,Unknown,spp,2,37313000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,Serranidae,Epinephelus,rivulatus,2,37311022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Carcharhinidae,Carcharhinus,spp,1,37018904
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Labridae,Choerodon,cyanodus,1,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Labridae,Halichoeres,melanochir,1,37384115
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Labridae,Unknown,spp,1,37384900
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Lethrinidae,Lethrinus,atkinsoni,1,37351013
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Lutjanidae,Lutjanus,carponotatus,2,37346011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Lutjanidae,Lutjanus,lemniscatus,2,37346010
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Pomacentridae,Pomacentrus,milleri,3,37372117
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Pomacentridae,Unknown,spp,2,37372000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,Siganidae,Siganus,virgatus,3,37438016
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Balistidae,Abalistes,stellatus,1,37465011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Carangidae,Atropus,hedlandensis,2,37337042
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Carangidae,Selaroides,leptolepis,22,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Carcharhinidae,Carcharhinus,coatesi,1,37018009
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Clupeidae,Herklotsichthys,blackburni,2,37085022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Clupeidae,Unknown,spp,20,37085922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Leiognathidae,Unknown,spp,11,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Lethrinidae,Lethrinus,laticaudis,3,37351006
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Muraenidae,Gymnothorax,spp,1,37060900
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Nemipteridae,Pentapodus,porosus,13,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Scombridae,Scomberomorus,spp,1,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,Serranidae,Unknown,spp,1,37311910
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Carangidae,Atropus,hedlandensis,1,37337042
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Carangidae,Selaroides,leptolepis,8,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Carangidae,Unknown,spp,2,37337000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Labridae,Choerodon,cyanodus,1,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Labridae,Choerodon,spp,1,37384902
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Labridae,Unknown,spp,1,37384900
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Lethrinidae,Lethrinus,laticaudis,2,37351006
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Lethrinidae,Unknown,spp,1,37351000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Mullidae,Parupeneus,indicus,1,37355005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Nemipteridae,Pentapodus,emeryii,1,37347027
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Nemipteridae,Pentapodus,porosus,1,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Nemipteridae,Scolopsis,regina,2,37347006
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Pomacentridae,Pomacentrus,nagasakiensis,2,37372119
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Scombridae,Scomberomorus,spp,1,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,Siganidae,Siganus,fuscescens,1,37438001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Carangidae,Gnathanodon,speciosus,1,37337012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Carangidae,Pantolabus,radiatus,1,37337047
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Carangidae,Selaroides,leptolepis,7,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Carcharhinidae,Carcharhinus,tilstoni,1,37018014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Dasyatidae,Unknown,spp,1,37035000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Labridae,Choerodon,cephalotes,2,37384004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Leiognathidae,Unknown,spp,2,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Monacanthidae,Paramonacanthus,choirocephalus,2,37465064
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Mullidae,Upeneus,spp,1,37355903
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Nemipteridae,Pentapodus,porosus,11,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Nemipteridae,Pentapodus,vitta,4,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Nemipteridae,Scolopsis,meridiana,2,37347008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Pinguipedidae,Parapercis,nebulosa,4,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,Terapontidae,Pelates,octolineatus,5,37321020
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Carangidae,Selaroides,leptolepis,3,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Carangidae,Seriolina,nigrofasciata,1,37337014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Carangidae,Turrum,fulvoguttatum,4,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Leiognathidae,Unknown,spp,2,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Monacanthidae,Paramonacanthus,choirocephalus,1,37465064
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Nemipteridae,Nemipterus,furcosus,1,37347005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Nemipteridae,Pentapodus,porosus,11,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Nemipteridae,Pentapodus,vitta,3,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Nemipteridae,Scolopsis,meridiana,2,37347008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Nemipteridae,Unknown,spp,1,37347000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Pinguipedidae,Parapercis,nebulosa,4,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Synodontidae,Saurida,undosquamis,1,37118001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Terapontidae,Pelates,octolineatus,6,37321020
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,Terapontidae,Terapon,theraps,1,37321003
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Carangidae,Gnathanodon,speciosus,1,37337012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Carcharhinidae,Carcharhinus,melanopterus,1,37018036
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Carcharhinidae,Carcharhinus,spp,2,37018904
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Labridae,Choerodon,cyanodus,4,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Lethrinidae,Lethrinus,punctulatus,5,37351001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Lutjanidae,Lutjanus,carponotatus,1,37346011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Nemipteridae,Pentapodus,vitta,23,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-004,Nemipteridae,Scaevius,milii,1,37347020
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Bothidae,Unknown,spp,1,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Carangidae,Selaroides,leptolepis,20,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Leiognathidae,Unknown,spp,39,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Nemipteridae,Nemipterus,furcosus,3,37347005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Nemipteridae,Pentapodus,porosus,12,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Nemipteridae,Scolopsis,meridiana,2,37347008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Pinguipedidae,Parapercis,nebulosa,2,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Terapontidae,Pelates,quadrilineatus,40,37321001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-058,Tetraodontidae,Torquigener,hicksi,2,37467026
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Carangidae,Scomberoides,commersonnianus,1,37337032
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Fistulariidae,Fistularia,spp,1,37278900
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Labridae,Choerodon,cauteroma,3,37384005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Labridae,Choerodon,cyanodus,2,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Labridae,Choerodon,schoenleinii,1,37384010
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Labridae,Choerodon,spp,1,37384902
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Lethrinidae,Lethrinus,laticaudis,1,37351006
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Lutjanidae,Lutjanus,carponotatus,1,37346011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Mullidae,Parupeneus,indicus,2,37355005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Mullidae,Upeneus,tragula,1,37355014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Nemipteridae,Pentapodus,vitta,6,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Pomacanthidae,Pomacanthus,sexstriatus,2,37365010
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Scombridae,Scomberomorus,spp,1,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-059,Sphyraenidae,Sphyraena,jello,1,37382004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Balistidae,Abalistes,stellatus,1,37465011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Carangidae,Selaroides,leptolepis,52,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Carangidae,Turrum,fulvoguttatum,1,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Carcharhinidae,Carcharhinus,coatesi,1,37018009
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Elopidae,Elops,spp,2,37053901
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Labridae,Choerodon,cauteroma,1,37384005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Labridae,Choerodon,cyanodus,1,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Leiognathidae,Unknown,spp,19,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Lethrinidae,Lethrinus,genivittatus,1,37351002
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Lethrinidae,Lethrinus,punctulatus,5,37351001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Monacanthidae,Monacanthus,chinensis,2,37465009
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Muraenidae,Gymnothorax,berndti,1,37060089
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Nemipteridae,Nemipterus,furcosus,1,37347005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Nemipteridae,Pentapodus,porosus,12,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Scombridae,Rastrelliger,kanagurta,9,37441012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C04-060,Scombridae,Scomberomorus,spp,1,37441792
