campaignid,opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer_count,observer_length,juvenile_lethrinids,successful_count,successful_length,drop_lengths_due_to_vis,visibility_m,raw_hdd_number,left_camera,right_camera,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,maxn_complete_date,maxn_checker,length_complete_date,comment,strata,inclusion_probability,priority,sampling_design
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C24-160,-21.76,114.45,2024-05-01T13:51:16+08:00,C24,Exmouth Gulf,Fished,13.8,Ryan Simms,Alex McLennan,,Yes,Yes,,1,1,L006,R005,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C24-024,-21.74,114.43,2024-05-01T14:02:18+08:00,C24,Exmouth Gulf,Fished,13.2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L024,R023,Yes,Yes,Nidhi Menon,17/06/2024,Alex McLennan,7/08/2024,,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C24-162,-21.74,114.41,2024-05-01T14:10:57+08:00,C24,Exmouth Gulf,Fished,13.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L022,R021,Yes,Yes,Nidhi Menon,18/06/2024,Alex McLennan,7/08/2024,,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C24-159,-21.76,114.42,2024-05-01T14:19:41+08:00,C24,Exmouth Gulf,Fished,13.2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L032,R031,Yes,Yes,Nidhi Menon,4/06/2024,Alex McLennan,5/08/2024,,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C24-158,-21.78,114.43,2024-05-01T14:28:44+08:00,C24,Exmouth Gulf,Fished,13.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L026,R025,Yes,Yes,Nidhi Menon,1/07/2024,Alex McLennan,9/08/2024,,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C24-161C,-21.78,114.41,2024-05-01T14:37:54+08:00,C24,Exmouth Gulf,Fished,8.7,,,,,No,,3,1,L028,R1201,,,,,,,"Footage was not saved for the right cam. Captains call, previous 151 waypoint duplicated in c25",,NA,,spatially balanced - moved
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-009,-21.61,114.5,2024-05-01T15:25:35+08:00,CPO,Exmouth Gulf,Fished,9,,,,,,,4.5,1,L002,R001,,,,,,,"GPS off, Peak island ",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-010,-21.6,114.5,2024-05-01T15:28:17+08:00,CPO,Exmouth Gulf,Fished,7.2,,,,,,,6,1,L004,R003,,,,,,,"GPS off, peak island ",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-011,-21.6,114.5,2024-05-01T15:30:51+08:00,CPO,Exmouth Gulf,Fished,5.7,,,,,,,8,1,L008,R007,,,,,,,"GPS off, peak island",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-012,-21.6,114.5,2024-05-01T15:33:38+08:00,CPO,Exmouth Gulf,Fished,6.2,,,,,No,,7,1,L010,R009,,,,,,,"Gps off, right camera off on deployment, peak island- shown op code-CPO-011",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-013,-21.6,114.5,2024-05-01T15:38:13+08:00,CPO,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,7,1,L016,R015,Yes,Yes,Nidhi Menon,18/07/2024,Ryan Simms,1/08/2024,"GPS off, peak island- shown CPO-012",,NA,,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-014,-21.59,114.51,2024-05-01T15:44:40+08:00,CPO,Exmouth Gulf,Fished,7,Daniel Agnello,,,Yes,No,,9,1,L018,R017,Yes,Yes,Nidhi Menon,24/07/2024,,,"Pre and Post-Cals are bad. Assumed the camera was not placed in the housing correctly. Octopus and tawny shark. GPS off, peak island north side",,NA,SG,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C41-247,-21.81,114.35,2024-05-02T08:11:18+08:00,C41,Exmouth Gulf,Fished,NA,,,,No,No,,0,1,L028,R1201,,,,,,,,vegetated,1.853181681e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C41-246,-21.82,114.35,2024-05-02T08:16:30+08:00,C41,Exmouth Gulf,Fished,14.7,Bri Beaulieu,Ryan Simms,,Yes,Yes,Maybe,1.5,1,L026,R025,Yes,Yes,Nidhi Menon,1/07/2024,Alex McLennan,9/08/2024,,vegetated,1.853181681e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C41-244,-21.84,114.36,2024-05-02T08:26:25+08:00,C41,Exmouth Gulf,Fished,16.1,,,,,,,1,1,L032,R031,,,,,,,,vegetated,1.853181681e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C41-243,-21.84,114.35,2024-05-02T08:31:42+08:00,C41,Exmouth Gulf,Fished,17.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L024,R023,Yes,Yes,Nidhi Menon,18/06/2024,Alex McLennan,8/08/2024,,vegetated,1.853181681e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C06-006,-21.89,114.44,2024-05-02T08:36:13+08:00,C06,Exmouth Gulf,Fished,11.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L002,R001,Yes,Yes,Nidhi Menon,19/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C41-041,-21.83,114.35,2024-05-02T08:36:36+08:00,C41,Exmouth Gulf,Fished,19.2,,,,No,No,,0,1,L022,R021,,,,,,,,vegetated,1.853181681e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C41-245,-21.82,114.34,2024-05-02T08:41:35+08:00,C41,Exmouth Gulf,Fished,18,,,,,,,1,1,L006,R005,,,,,,,,vegetated,1.853181681e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C06-071,-21.89,114.44,2024-05-02T08:42:07+08:00,C06,Exmouth Gulf,Fished,11.1,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1,1,L004,R003,Yes,Yes,Nidhi Menon,22/07/2024,Daniel Agnello,12/08/2024,bad vis- revisit,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C06-072,-21.89,114.45,2024-05-02T08:50:11+08:00,C06,Exmouth Gulf,Fished,11,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,19/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C06-070,-21.9,114.45,2024-05-02T08:56:36+08:00,C06,Exmouth Gulf,Fished,11.3,Ryan Simms,Alex McLennan,,Yes,Yes,,1,1,L010,R009,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C06-069,-21.9,114.44,2024-05-02T09:00:49+08:00,C06,Exmouth Gulf,Fished,12.1,Ryan Simms,Alex McLennan,,Yes,Yes,,1,1,L014,R013,Yes,Yes,Ryan Simms,20/08/2024,Alex McLennan,21/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C06-068,-21.9,114.44,2024-05-02T09:05:21+08:00,C06,Exmouth Gulf,Fished,12.2,,,,,,,1,1,L016,R015,,,,,,,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-015,-21.9,114.43,2024-05-02T09:19:24+08:00,CPO,Exmouth Gulf,Fished,12.1,,,,No,No,,0,1,L018,R017,,,,,,,"Captains pick, Pearl reef, couldn’t find pinnacle of reef. Changed vis from 1.5m to 1.0m",,NA,TH,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-057,-21.88,114.38,2024-05-02T10:32:34+08:00,C03,Exmouth Gulf,Fished,14.7,,,,No,No,,0,1,L006,R005,,,,,,,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-003,-21.89,114.38,2024-05-02T10:35:32+08:00,C03,Exmouth Gulf,Fished,14.7,,,,,,,1,1,L022,R021,,,,,,,White board initially says C03-054,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C07-075,-21.92,114.42,2024-05-02T10:36:47+08:00,C07,Exmouth Gulf,Fished,2.4,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L002,R001,Yes,Yes,Nidhi Menon,4/06/2024,Alex McLennan,5/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-056,-21.89,114.39,2024-05-02T10:39:06+08:00,C03,Exmouth Gulf,Fished,14.7,,,,,,,1,1,L024,R023,,,,,,,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C07-076,-21.92,114.43,2024-05-02T10:41:39+08:00,C07,Exmouth Gulf,Fished,0.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L004,R003,Yes,Yes,Nidhi Menon,20/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-055,-21.89,114.38,2024-05-02T10:43:06+08:00,C03,Exmouth Gulf,Fished,14.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L032,R031,Yes,Yes,Nidhi Menon,4/07/2024,Alex McLennan,9/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C07-077,-21.92,114.43,2024-05-02T10:46:39+08:00,C07,Exmouth Gulf,Fished,6.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,21/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-054,-21.89,114.38,2024-05-02T10:46:42+08:00,C03,Exmouth Gulf,Fished,14.7,,,,,,,1,1,L026,R025,,,,,,,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C03-053,-21.89,114.38,2024-05-02T10:50:09+08:00,C03,Exmouth Gulf,Fished,14.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L028,R1201,Yes,Yes,Nidhi Menon,8/07/2024,Alex McLennan,9/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C07-007,-21.92,114.43,2024-05-02T10:51:26+08:00,C07,Exmouth Gulf,Fished,4,Bri Beaulieu,Ryan Simms,,Yes,Yes,Maybe,2,1,L010,R009,Yes,Yes,Nidhi Menon,21/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C07-074,-21.92,114.42,2024-05-02T10:55:25+08:00,C07,Exmouth Gulf,Fished,1.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L014,R013,Yes,Yes,Nidhi Menon,4/06/2024,Alex McLennan,5/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C07-073,-21.92,114.42,2024-05-02T10:58:25+08:00,C07,Exmouth Gulf,Fished,4.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L016,R015,Yes,Yes,Nidhi Menon,21/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-016,-21.91,114.42,2024-05-02T11:07:46+08:00,CPO,Exmouth Gulf,Fished,1.6,Alex McLennan,Ryan Simms,,Yes,Yes,,3,1,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,Ryan Simms,5/08/2024,"Captains pick, nuggets off Eva island ",,NA,TH,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C08-081,-21.95,114.41,2024-05-02T12:24:21+08:00,C08,Exmouth Gulf,Fished,2.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,4,1,L002,R001,Yes,Yes,Nidhi Menon,5/06/2024,Alex McLennan,2/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C08-008,-21.95,114.41,2024-05-02T12:28:42+08:00,C08,Exmouth Gulf,Fished,1.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,5,1,L004,R003,Yes,Yes,Nidhi Menon,6/06/2024,Alex McLennan,2/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C08-078,-21.95,114.41,2024-05-02T12:31:34+08:00,C08,Exmouth Gulf,Fished,4.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L008,R007,Yes,Yes,Nidhi Menon,6/06/2024,Alex McLennan,5/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C21-147,-21.91,114.35,2024-05-02T12:34:36+08:00,C21,Exmouth Gulf,Fished,18.1,,,,No,No,,0,1,L028,R1201,,,,,,,,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C08-079,-21.95,114.41,2024-05-02T12:35:58+08:00,C08,Exmouth Gulf,Fished,1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,6,1,L010,R009,Yes,Yes,Nidhi Menon,6/06/2024,Alex McLennan,1/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C21-146,-21.92,114.34,2024-05-02T12:39:31+08:00,C21,Exmouth Gulf,Fished,18.5,,,,No,No,,0,1,L026,R025,,,,,,,Bait gone on retreival,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C08-080,-21.95,114.41,2024-05-02T12:41:42+08:00,C08,Exmouth Gulf,Fished,0.5,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L014,R013,Yes,Yes,Nidhi Menon,24/06/2024,Alex McLennan,8/08/2024,,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C21-145,-21.94,114.34,2024-05-02T12:45:53+08:00,C21,Exmouth Gulf,Fished,18.2,,,,No,No,,0,1,L032,R031,,,,,,,Bait gone on retrieval,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C08-082,-21.95,114.41,2024-05-02T12:48:01+08:00,C08,Exmouth Gulf,Fished,0.9,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L016,R015,Yes,Yes,Nidhi Menon,7/06/2024,Alex McLennan,6/08/2024,,coral,3.244777936e-07,,spatially balanced
