Bshape,Class,Order,Family,Genus,Species,SpecCode,LengthMin,LengthMax,Number,a,b,CoeffDetermination,Type,Score,PopLWRef,DataRef
eel-like,Actinopterygii,Anguilliformes,Ophichthidae,Ophisurus,serpens,1745,141.6000061,211.5,6,0.00024,3.015000105,0.960400045,TL,0.960400045,50427,
eel-like,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,pancalus,10147,6.199999809,16.20000076,312,0.0045,3.026000023,0.982080996,TL,0.982080996,59095,59095
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,,,,0.00158,3.035000086,,TL,0.5,7130,7130
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,,,,0.00194,3.035000086,,TL,0.5,3672,3989
eel-like,Actinopterygii,Anguilliformes,Synaphobranchidae,Histiobranchus,bathybius,6958,112,135,20,0.000878,3.038000107,0.917764008,TL,0.917764008,31334,31334
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,16.39999962,27,48,0.0009,3.039999962,0.855625033,TL,0.855625033,50932,50932
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,typhle,1360,,,93,0.0001,3.049999952,0.902499974,TL,0.902499974,72413,
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,,,,0.000546,3.049999952,,TL,0.5,27803,27803
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,13.39999962,27.5,52,0.0009,3.049999952,0.879999995,TL,0.879999995,59118,59118
eel-like,Actinopterygii,Perciformes,Trichiuridae,Lepidopus,caudatus,645,,,444,0.000409,3.065000057,0.996004045,TL,0.996004045,37205,37205
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,26,68.69999695,,0.00166,3.069999933,,TL,0.7,7234,7234
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri,8718,30.10000038,55.29999924,100,0.000829,3.071000099,,TL,0.7,12275,35124
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,,,564,0.001,3.079999924,,TL,0.6,52110,52110
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,unicuspis,2519,,,31,0.00124,3.079999924,0.935088992,TL,0.935088992,35872,35872
eel-like,Actinopterygii,Beloniformes,Belonidae,Tylosurus,crocodilus crocodilus,977,23,52,92,0.0013,3.079999924,,FL,0.7,11824,11824
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri,8718,33,45,141,0.00078,3.09100008,,TL,0.7,12275,35122
eel-like,Actinopterygii,Perciformes,Trichiuridae,Lepidopus,caudatus,645,,,455,0.00033,3.096999884,0.994008958,TL,0.994008958,37205,37205
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,12.80000019,25.5,44,0.0008,3.099999905,0.920000017,TL,0.920000017,59118,59118
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,,,,0.000982,3.099999905,,TL,0.5,7130,7130
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Enchelycore,pardalis,7451,75,88.40000153,5,0.001757742,3.10067296,0.978769243,TL,0.978769243,83530,
eel-like,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys,calabaricus,4830,21.60000038,41.40000153,180,0.001,3.102999926,0.938960969,TL,0.938960969,11363,11363
eel-like,Actinopterygii,Perciformes,Trichiuridae,Lepidopus,caudatus,645,21.89999962,81.5,40,0.0004,3.109999895,0.99000001,TL,0.99000001,57058,57058
eel-like,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,albus,4663,18.5,56,25,0.0006,3.112200022,0.952300012,TL,0.952300012,85454,85454
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,polygonius,9035,55.20000076,80.80000305,22,0.0011,3.112999916,0.949000001,TL,0.949000001,55642,55642
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,1770,21.29999924,28.39999962,17,0.0003,3.11500001,0.925999999,TL,0.925999999,88088,88088
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri,8718,31.70000076,43.20000076,50,0.000679,3.117000103,,TL,0.7,12275,35125
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,65,0.001450373,3.119999886,0.850000024,TL,0.850000024,45507,45507
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,25.29999924,91.59999847,43,0.00069,3.121999979,0.960400045,TL,0.960400045,50427,
eel-like,Actinopterygii,Anguilliformes,Congridae,Conger,cinereus,6654,10.89999962,110,14,0.0008,3.126810074,0.998001039,FL,0.998001039,55787,55787
eel-like,Actinopterygii,Beloniformes,Belonidae,Ablennes,hians,972,,,,0.00074,3.130000114,,FL,0.5,3678,3670
eel-like,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,cuchia,5337,19,79.69999695,146,0.000741,3.130000114,,TL,0.7,54005,54005
eel-like,Actinopterygii,Beloniformes,Belonidae,Strongylura,leiura,1315,,,,0.000972,3.130000114,,TL,0.5,3678,3670
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,6.800000191,121.5,17586,0.0011,3.130000114,0.980000019,TL,0.980000019,88166,88166
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Doryrhamphus,excisus excisus,5969,3.099999905,6.71999979,45,0.00122,3.138999939,0.942841053,TL,0.942841053,59088,59088
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,fluviatilis,4480,31,45,7,0.001106,3.141000032,0.970225036,TL,0.970225036,52095,
eel-like,Actinopterygii,Anguilliformes,Congridae,Paraconger,notialis,5069,48.5,72,12,0.0012,3.144000053,0.899999976,TL,0.899999976,89108,
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,1585,0.00115,3.150000095,0.790000021,TL,0.790000021,80019,80019
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,418,0.00119,3.150000095,0.949999988,TL,0.949999988,80019,80019
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,abaster,1769,7.800000191,13.19999981,12,0.0003,3.155999899,0.962361038,TL,0.962361038,50932,50932
eel-like,Actinopterygii,Syngnathiformes,Fistulariidae,Fistularia,petimba,3276,,,,0.000301,3.157999992,,TL,0.5,55926,
eel-like,Actinopterygii,Syngnathiformes,Fistulariidae,Fistularia,petimba,3276,19,44,43,0.000307,3.157999992,0.986048937,FL,0.986048937,26587,26587
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,moringa,7547,40.29999924,88.59999847,22,0.001004,3.157999992,0.899999976,TL,0.899999976,6937,6937
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,33.5,44.79999924,36,0.0006,3.160000086,0.677987576,TL,0.677987576,53846,53846
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,17,68.59999847,,0.001,3.160000086,0.985000014,TL,0.985000014,85826,85826
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,22,0.0013191,3.170000076,0.969998419,TL,0.969998419,45507,45507
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,22,0.001372933,3.170000076,0.949999928,TL,0.949999928,45507,45507
eel-like,Actinopterygii,Beloniformes,Belonidae,Strongylura,marina,974,37.59999847,78.30000305,12,0.0007,3.174999952,0.992999971,TL,0.992999971,55642,55642
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,31,52,,0.00055,3.177999973,0.940900028,TL,0.940900028,50978,50978
eel-like,Actinopterygii,Perciformes,Trichiuridae,Lepidopus,caudatus,645,20.10000038,66.69999695,75,0.00029,3.180000067,0.960400045,TL,0.960400045,50427,
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,579,0.0008502,3.180000067,0.919681013,TL,0.919681013,34036,34036
eel-like,Actinopterygii,Perciformes,Trichiuridae,Lepidopus,caudatus,645,43.70000076,106,40,0.0003,3.190000057,0.986048937,TL,0.986048937,26178,26178
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,6.900000095,124,485,0.000209,3.191999912,0.944999993,TL,0.944999993,40728,40728
eel-like,Actinopterygii,Ophidiiformes,Ophidiidae,Ophidion,rochei,25961,9.199999809,27.5,14,0.0023,3.200000048,0.994008958,TL,0.994008958,26178,26178
eel-like,Actinopterygii,Beloniformes,Belonidae,Tylosurus,crocodilus crocodilus,977,29.5,88,31,0.000776,3.204999924,0.976143956,FL,0.976143956,26587,26587
eel-like,Actinopterygii,Syngnathiformes,Fistulariidae,Fistularia,petimba,3276,19,44,43,0.00026,3.205339909,0.986048937,FL,0.986048937,55787,55787
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,panamensis,13786,4.190000057,30.39999962,82,0.00065,3.217999935,0.984063983,TL,0.984063983,59088,59088
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,typhle,1360,,,14,0.0002,3.220000029,0.940900028,TL,0.940900028,72413,
eel-like,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,cuchia,5337,26.89999962,89.5,115,0.000549,3.220000029,,TL,0.7,54005,54005
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,940,0.000871,3.220000029,0.959999979,TL,0.959999979,80019,80019
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,typhle,1360,8.199999809,12.69999981,31,0.0001,3.221999884,0.964999974,TL,0.964999974,59118,59118
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,5,155,,0.000169,3.230000019,,TL,0.7,55002,55002
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,21.60000038,66.19999695,199,0.0007,3.243000031,0.967999995,TL,0.967999995,81705,81705
eel-like,Actinopterygii,Beloniformes,Belonidae,Strongylura,timucu,975,5.5,49.20000076,15,0.0005,3.25,0.996999979,TL,0.996999979,71685,71685
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,53,0.000942854,3.25,0.989999175,TL,0.989999175,45507,45507
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,33,0.00101121,3.25,0.989999175,TL,0.989999175,45507,45507
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,,,,0.000442,3.253000021,,TL,0.5,7130,7130
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,conspersus,27786,61,108,18,0.000351,3.253999949,0.964323997,TL,0.964323997,39376,39376
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,,,1307,0.0002,3.25999999,,TL,0.6,52110,52110
eel-like,Actinopterygii,Perciformes,Trichiuridae,Aphanopus,carbo,646,66,132,1042,0.000376,3.269999981,0.492804021,TL,0.492804021,7028,
eel-like,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,blacodes,482,,,,0.00139,3.278000116,,TL,0.5,9072,12172
eel-like,Actinopterygii,Beloniformes,Belonidae,Tylosurus,crocodilus crocodilus,977,29.5,88,29,0.00057,3.284810066,0.970225036,FL,0.970225036,55787,55787
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,,,,0.000216,3.289999962,,TL,0.5,3678,3670
eel-like,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,blacodes,482,,,,0.00126,3.296000004,,TL,0.5,9072,12172
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,mossambica,1276,10,100,,0.000714,3.299799919,,TL,0.7,40588,40588
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,16.5,62,,0.0003,3.299999952,0.989000022,TL,0.989000022,85826,85826
eel-like,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,albus,4663,,,525,0.000248,3.309999943,,TL,0.6,40632,40632
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,10,60,957,0.000561,3.312999964,0.990024984,TL,0.990024984,4344,4344
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,412,0.00049,3.319000006,,TL,0.6,40589,40589
eel-like,Actinopterygii,Beloniformes,Belonidae,Ablennes,hians,972,,,,0.000363,3.322000027,0.974168956,FL,0.974168956,50710,50710
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,,,,0.000278,3.322999954,,TL,0.5,7130,7130
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,fimbriatus,6495,11,44,20,0.00044,3.323570013,0.986048937,FL,0.986048937,55787,55787
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,18,110.5,105,0.00021,3.323699951,0.948675931,FL,0.948675931,55787,55787
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,1770,7.099999905,34.59999847,,0.0002,3.329999924,0.989000022,TL,0.989000022,85826,85826
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,23.89999962,73.5,109,0.0002,3.329999924,0.95648396,TL,0.95648396,52841,52841
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,54.5,95.69999695,27,0.0002,3.335000038,0.953999996,TL,0.953999996,83865,83865
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,,0.000541,3.345000029,0.82719028,TL,0.82719028,44724,44724
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,flavimarginatus,5392,22.5,88.5,3,0.000403,3.349999905,0.998001039,TL,0.998001039,30840,
eel-like,Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus,kaupii,9104,31.5,72,54,0.0003,3.355000019,0.930999994,TL,0.930999994,89108,
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,15311,0.000525,3.369999886,0.959999979,TL,0.959999979,80019,80019
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,obscura,7511,,,145,0.000211,3.382999897,0.990024984,TL,0.990024984,12581,12581
eel-like,Actinopterygii,Perciformes,Trichiuridae,Aphanopus,carbo,646,,,,0.000201,3.391000032,0.950625062,TL,0.950625062,26942,26942
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,27,81,115,0.0001,3.400000095,0.96420002,TL,0.96420002,83791,83791
eel-like,Actinopterygii,Anguilliformes,Congridae,Conger,orbignianus,299,40.5,120,366,0.000216,3.410000086,0.976143956,TL,0.976143956,39376,39376
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,polygonius,9035,49.5,98,56,0.0003,3.421000004,0.935000002,TL,0.935000002,89108,
eel-like,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,flavidus,3270,5.5,18.79999924,31,0.000436,3.430000067,0.940900028,TL,0.940900028,51446,51446
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,moringa,7547,51,103,212,0.0003,3.430999994,0.957000017,TL,0.957000017,55642,55642
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,30.5,76.5,20,0.0002,3.441999912,,TL,0.7,268,
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,ocellatus,1099,6.199999809,56,22,0.000273,3.446000099,0.972195983,TL,0.972195983,80009,80009
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,,,,0.000111,3.447000027,0.980100036,TL,0.980100036,7142,7142
eel-like,Actinopterygii,Perciformes,Trichiuridae,Aphanopus,carbo,646,,,,0.000154,3.451999903,0.950625062,TL,0.950625062,26942,26942
eel-like,Actinopterygii,Anguilliformes,Congridae,Conger,conger,301,,,,0.000224,3.460000038,,TL,0.5,85848,85848
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,5.699999809,49.5,7,0.0003,3.470000029,0.998001039,TL,0.998001039,50932,50932
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,25.89999962,61.5,8,0.0003,3.470000029,0.987999976,TL,0.987999976,50932,50932
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,12.60000038,61,144,0.000339,3.470000029,0.912,TL,0.912,3672,
eel-like,Actinopterygii,Beloniformes,Belonidae,Xenentodon,cancila,10124,16.79999924,23,20,0.0004,3.489599943,0.970399976,TL,0.970399976,85454,85454
eel-like,Actinopterygii,Anguilliformes,Congridae,Conger,conger,301,30,180,128,0.00022,3.509000063,,TL,0.7,6014,6014
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,,0.000207,3.539000034,0.968256056,TL,0.968256056,44724,44724
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,1770,3.299999952,25.60000038,570,0.00021,3.539999962,0.950625062,TL,0.950625062,72413,
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,,0.000129,3.65199995,0.968256056,TL,0.968256056,44724,44724
eel-like,Actinopterygii,Anguilliformes,Colocongridae,Coloconger,cadenati,9067,45,71,44,0.0003,3.673000097,0.874000013,TL,0.874000013,89108,
eel-like,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,brasiliensis,26204,29.70000076,109,133,0.000267,3.70600009,0.980100036,TL,0.980100036,39376,39376
elongated,Actinopterygii,Siluriformes,Clariidae,Heterobranchus,longifilis,2319,12.30000019,93.59999847,,0.0241,2.153000116,0.946729004,TL,0.946729004,39375,39375
elongated,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,11,65,103,0.0128,2.16899991,0.980100036,TL,0.980100036,13720,13720
elongated,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,66,9.800000191,14.69999981,303,0.036800001,2.300199986,0.769999981,TL,0.769999981,86715,86715
elongated,Actinopterygii,Atheriniformes,Atherinidae,Atherina,boyeri,1696,2.400000095,9.699999809,269,0.035999998,2.302999973,0.864899993,TL,0.864899993,36159,36159
elongated,Actinopterygii,Gadiformes,Macrouridae,Coryphaenoides,cinereus,8473,,,,0.02888,2.334899902,0.600624979,TL,0.600624979,75007,
elongated,Actinopterygii,Clupeiformes,Chirocentridae,Chirocentrus,dorab,6358,32.5,63,31,0.052000001,2.391000032,0.846400023,FL,0.846400023,26587,26587
elongated,Actinopterygii,Cypriniformes,Cyprinidae,Parachondrostoma,miegii,62725,12.60000038,21.39999962,90,0.042300001,2.459000111,0.885481,TL,0.885481,71904,71904
elongated,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,66,10.30000019,15.69999981,4027,0.024,2.506999969,0.99000001,TL,0.99000001,91128,
elongated,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,spathula,174,,,,0.045699999,2.50999999,0.820836008,FL,0.820836008,5734,5734
