OpCode	PointIndex	Filename	Frame	Time	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Period	Attribute9	Attribute10
NCB680	27	NCB680_L75.avi	15013	4.17444	0.73546	669.56962	603.77953	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	28	NCB680_L75.avi	15013	4.17444	0.73546	1596.75949	711.90101	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	29	NCB680_L75.avi	15013	4.17444	0.73546	1492.25316	708.25647	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	30	NCB680_L75.avi	15013	4.17444	0.73546	1252.86076	798.15523	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	31	NCB680_L75.avi	15013	4.17444	0.73546	1237.06329	770.21372	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	32	NCB680_L75.avi	15909	4.42358	0.98459	1303.89873	839.46007	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	33	NCB680_L75.avi	16129	4.48475	1.04576	876.1519	750.77615	Mullidae	Parupeneus	barberinoides	37355021	1	J	Passing	NA	Analysis	NA	NA
NCB680	34	NCB680_L75.avi	16131	4.48531	1.04632	444.75949	726.47919	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	35	NCB680_L75.avi	16131	4.48531	1.04632	551.6962	705.82677	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	36	NCB680_L75.avi	16131	4.48531	1.04632	511.59494	666.95163	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	37	NCB680_L75.avi	17417	4.84288	1.4039	381.56962	456.7829	Nemipteridae	Pentapodus	emeryii	37347027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	38	NCB680_L75.avi	17604	4.89488	1.4559	65.62025	889.26884	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	39	NCB680_L75.avi	17604	4.89488	1.4559	130.02532	832.17098	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	40	NCB680_L75.avi	17604	4.89488	1.4559	204.1519	779.93251	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	41	NCB680_L75.avi	17604	4.89488	1.4559	235.74684	869.83127	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	42	NCB680_L75.avi	17604	4.89488	1.4559	341.46835	790.86614	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	43	NCB680_L75.avi	17604	4.89488	1.4559	475.13924	794.51069	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	44	NCB680_L75.avi	17604	4.89488	1.4559	351.18987	963.37458	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	45	NCB680_L75.avi	17604	4.89488	1.4559	725.46835	744.70191	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	46	NCB680_L75.avi	17604	4.89488	1.4559	899.24051	782.3622	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	47	NCB680_L75.avi	17604	4.89488	1.4559	1361.01266	823.66704	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	48	NCB680_L75.avi	17604	4.89488	1.4559	1249.21519	759.28009	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	49	NCB680_L75.avi	17604	4.89488	1.4559	1301.46835	604.99438	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	50	NCB680_L75.avi	17604	4.89488	1.4559	1325.77215	606.20922	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	51	NCB680_L75.avi	17604	4.89488	1.4559	1357.36709	645.08436	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	52	NCB680_L75.avi	17604	4.89488	1.4559	1392.60759	662.09224	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	53	NCB680_L75.avi	17857	4.96523	1.52624	385.21519	546.68166	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	54	NCB680_L75.avi	19084	5.3064	1.86742	1000.10127	781.14736	Lethrinidae	Lethrinus	spp	NA	1	J	Passing	NA	Analysis	NA	NA
NCB680	55	NCB680_L75.avi	19084	5.3064	1.86742	1261.36709	773.85827	Lethrinidae	Lethrinus	spp	NA	1	J	Passing	NA	Analysis	NA	NA
NCB680	56	NCB680_L75.avi	19085	5.30668	1.8677	1002.53165	767.78403	Lethrinidae	Lethrinus	spp	NA	1	J	Feeding	NA	Analysis	NA	NA
NCB680	57	NCB680_L75.avi	19104	5.31196	1.87298	659.8481	936.64792	Serranidae	Epinephelus	rivulatus	37311022	1	J	Passing	NA	Analysis	NA	NA
NCB680	58	NCB680_L75.avi	21274	5.91534	2.47636	294.07595	556.40045	Nemipteridae	Scolopsis	monogramma	37347006	1	AD	Passing	NA	Analysis	NA	NA
NCB680	59	NCB680_L75.avi	21693	6.03185	2.59286	1313.62025	760.49494	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Feeding	NA	Analysis	NA	NA
NCB680	60	NCB680_L75.avi	21813	6.06521	2.62623	1419.34177	838.24522	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	61	NCB680_L75.avi	21813	6.06521	2.62623	520.10127	855.25309	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	62	NCB680_L75.avi	21813	6.06521	2.62623	426.53165	781.14736	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	63	NCB680_L75.avi	21813	6.06521	2.62623	552.91139	750.77615	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	64	NCB680_L75.avi	21813	6.06521	2.62623	402.22785	901.41732	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	65	NCB680_L75.avi	22186	6.16893	2.72994	266.12658	584.34196	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	66	NCB680_L75.avi	22274	6.1934	2.75441	133.67089000000001	602.56468	Labridae	Labroides	dimidiatus	37384028	1	AD	Passing	NA	Analysis	NA	NA
NCB680	67	NCB680_L75.avi	22284	6.19618	2.75719	459.34177	419.12261	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	68	NCB680_L75.avi	22284	6.19618	2.75719	867.64557	587.9865	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	69	NCB680_L75.avi	22326	6.20786	2.76887	571.13924	414.26322	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	70	NCB680_L75.avi	22326	6.20786	2.76887	642.83544	812.73341	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	71	NCB680_L75.avi	22326	6.20786	2.76887	872.50633	717.97525	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	72	NCB680_L75.avi	22662	6.30128	2.8623	602.73418	727.69404	Labridae	Coris	pictoides	37384096	1	AD	Passing	NA	Analysis	NA	NA
NCB680	73	NCB680_L75.avi	22662	6.30128	2.8623	371.8481	866.18673	Labridae	Coris	pictoides	37384096	1	AD	Passing	NA	Analysis	NA	NA
NCB680	74	NCB680_L75.avi	22762	6.32909	2.8901	131.24051	475.00562	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	75	NCB680_L75.avi	22762	6.32909	2.8901	346.32911	526.02925	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	76	NCB680_L75.avi	22762	6.32909	2.8901	1132.55696	602.56468	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	77	NCB680_L75.avi	22926	6.37469	2.9357	368.20253	478.65017	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	78	NCB680_L75.avi	22926	6.37469	2.9357	693.87342	426.4117	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	79	NCB680_L75.avi	22926	6.37469	2.9357	774.07595	426.4117	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	80	NCB680_L75.avi	22926	6.37469	2.9357	802.02532	501.73228	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	81	NCB680_L75.avi	23830	6.62605	3.18707	250.32910999999999	982.81215	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	82	NCB680_L75.avi	23830	6.62605	3.18707	466.63291	937.86277	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	83	NCB680_L75.avi	23830	6.62605	3.18707	420.4557	736.19798	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	84	NCB680_L75.avi	23830	6.62605	3.18707	341.46835	652.37345	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	85	NCB680_L75.avi	23830	6.62605	3.18707	166.48101	670.59618	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	86	NCB680_L75.avi	23830	6.62605	3.18707	544.40506	844.31946	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	87	NCB680_L75.avi	23830	6.62605	3.18707	709.67089	880.7649	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	88	NCB680_L75.avi	23830	6.62605	3.18707	798.37975	739.84252	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	89	NCB680_L75.avi	23830	6.62605	3.18707	820.25316	753.20585	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	90	NCB680_L75.avi	23830	6.62605	3.18707	930.83544	710.68616	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	91	NCB680_L75.avi	23830	6.62605	3.18707	1196.96203	841.88976	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	92	NCB680_L75.avi	23830	6.62605	3.18707	1267.44304	768.99888	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	93	NCB680_L75.avi	25724	7.15269	3.7137	933.26582	602.56468	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	94	NCB680_L75.avi	25724	7.15269	3.7137	984.3038	686.3892	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	95	NCB680_L75.avi	25724	7.15269	3.7137	1237.06329	743.48706	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	96	NCB680_L75.avi	25724	7.15269	3.7137	1375.59494	809.08886	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	97	NCB680_L75.avi	31263	8.69283	5.25385	511.59494	824.88189	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	98	NCB680_L75.avi	31263	8.69283	5.25385	404.65823	749.5613	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	99	NCB680_L75.avi	31263	8.69283	5.25385	443.5443	669.38133	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	100	NCB680_L75.avi	31263	8.69283	5.25385	514.02532	649.94376	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	101	NCB680_L75.avi	31263	8.69283	5.25385	202.93671	185.87177	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	102	NCB680_L75.avi	31263	8.69283	5.25385	470.27848	617.14286	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	103	NCB680_L75.avi	35236	9.79755	6.35856	945.41772	417.90776	Carangidae	Carangoides	fulvoguttatus	37337037	1	AD	Passing	NA	Analysis	NA	NA
NCB680	104	NCB680_L75.avi	40873	11.36494	7.92596	1483.74684	455.56805	Pomacanthidae	Pomacanthus	semicirculatus	37365080	1	AD	Passing	NA	Analysis	NA	NA
NCB680	105	NCB680_L75.avi	45860	12.7516	9.31262	89.92405	714.33071	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	106	NCB680_L75.avi	45860	12.7516	9.31262	97.21519	793.29584	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	107	NCB680_L75.avi	45860	12.7516	9.31262	366.98734	734.98313	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	108	NCB680_L75.avi	45860	12.7516	9.31262	517.67089	818.80765	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	109	NCB680_L75.avi	45860	12.7516	9.31262	686.58228	692.46344	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	110	NCB680_L75.avi	45860	12.7516	9.31262	726.68354	707.04162	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	111	NCB680_L75.avi	45860	12.7516	9.31262	746.12658	602.56468	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	112	NCB680_L75.avi	45860	12.7516	9.31262	833.62025	600.13498	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	113	NCB680_L75.avi	45860	12.7516	9.31262	997.67089	688.8189	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	114	NCB680_L75.avi	45860	12.7516	9.31262	1035.34177	700.96738	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	115	NCB680_L75.avi	45860	12.7516	9.31262	950.27848	764.13948	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	116	NCB680_L75.avi	45860	12.7516	9.31262	885.87342	833.38583	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	117	NCB680_L75.avi	45860	12.7516	9.31262	809.31646	793.29584	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	118	NCB680_L75.avi	45860	12.7516	9.31262	764.35443	786.00675	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	119	NCB680_L75.avi	45860	12.7516	9.31262	855.49367	957.30034	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	120	NCB680_L75.avi	45860	12.7516	9.31262	1234.63291	812.73341	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	121	NCB680_L75.avi	45860	12.7516	9.31262	1263.79747	789.65129	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	122	NCB680_L75.avi	45860	12.7516	9.31262	1210.32911	783.57705	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	123	NCB680_L75.avi	45860	12.7516	9.31262	478.78481	632.93588	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	124	NCB680_L75.avi	45860	12.7516	9.31262	574.78481	693.67829	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	125	NCB680_L75.avi	45860	12.7516	9.31262	200.50633	550.32621	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	126	NCB680_L75.avi	45860	12.7516	9.31262	777.72152	522.3847	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	127	NCB680_L75.avi	45860	12.7516	9.31262	623.39241	751.991	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	128	NCB680_L75.avi	45860	12.7516	9.31262	1198.17722	760.49494	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	129	NCB680_L75.avi	45860	12.7516	9.31262	1241.92405	796.94038	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	130	NCB680_L75.avi	53102	14.76528	11.32629	125.16456	786.00675	Labridae	Coris	caudimacula	37384092	1	AD	Passing	NA	Analysis	NA	NA
NCB680	131	NCB680_L75.avi	53102	14.76528	11.32629	297.72152	645.08436	Labridae	Coris	pictoides	37384096	1	AD	Passing	NA	Analysis	NA	NA
NCB680	132	NCB680_L75.avi	53102	14.76528	11.32629	704.81013	833.38583	Labridae	Coris	pictoides	37384096	1	AD	Passing	NA	Analysis	NA	NA
NCB680	133	NCB680_L75.avi	55049	15.30665	11.86767	757.06329	511.45107	Lethrinidae	Lethrinus	microdon	37351011	1	AD	Passing	NA	Analysis	NA	NA
NCB680	134	NCB680_L75.avi	75827	21.08408	17.64509	590.58228	556.40045	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	135	NCB680_L75.avi	75827	21.08408	17.64509	1200.60759	649.94376	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	136	NCB680_L75.avi	75827	21.08408	17.64509	1166.58228	625.64679	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	137	NCB680_L75.avi	75827	21.08408	17.64509	1443.64557	379.03262	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	138	NCB680_L75.avi	75827	21.08408	17.64509	1632	570.97863	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	139	NCB680_L75.avi	76677	21.32042	17.88144	1252.86076	393.6108	Balistidae	Pseudobalistes	fuscus	37465027	1	AD	Passing	NA	Analysis	NA	NA
NCB680	140	NCB680_L75.avi	78335	21.78144	18.34245	921.11392	778.71766	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	141	NCB680_L75.avi	78335	21.78144	18.34245	979.44304	702.18223	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	142	NCB680_L75.avi	78335	21.78144	18.34245	966.07595	608.63892	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	143	NCB680_L75.avi	78335	21.78144	18.34245	1198.17722	691.24859	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	144	NCB680_L75.avi	78335	21.78144	18.34245	1274.73418	507.80652	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	145	NCB680_L75.avi	78335	21.78144	18.34245	1313.62025	758.06524	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	146	NCB680_L75.avi	78593	21.85318	18.41419	966.07595	639.01012	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	147	NCB680_L75.avi	78593	21.85318	18.41419	896.81013	617.14286	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	148	NCB680_L75.avi	78593	21.85318	18.41419	735.18987	574.62317	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	149	NCB680_L75.avi	78593	21.85318	18.41419	1063.29114	538.17773	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	150	NCB680_L75.avi	78593	21.85318	18.41419	1210.32911	552.75591	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	151	NCB680_L75.avi	78593	21.85318	18.41419	1239.49367	632.93588	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	152	NCB680_L75.avi	78593	21.85318	18.41419	1762.02532	450.70866	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing	NA	Analysis	NA	NA
NCB680	153	NCB680_L75.avi	96022	26.6994	23.26041	614.88608	300.06749	Carangidae	Carangoides	fulvoguttatus	37337037	1	AD	Passing	NA	Analysis	NA	NA
NCB680	154	NCB680_L75.avi	96022	26.6994	23.26041	650.12658	399.68504	Carangidae	Carangoides	fulvoguttatus	37337037	1	AD	Passing	NA	Analysis	NA	NA
NCB680	155	NCB680_L75.avi	117984	32.80604	29.36706	269.77215	185.87177	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing	NA	Analysis	NA	NA
NCB680	156	NCB680_L75.avi	117984	32.80604	29.36706	290.43038	522.3847	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing	NA	Analysis	NA	NA
NCB680	157	NCB680_L75.avi	117984	32.80604	29.36706	551.6962	516.31046	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing	NA	Analysis	NA	NA
NCB680	158	NCB680_L75.avi	117984	32.80604	29.36706	774.07595	547.89651	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing	NA	Analysis	NA	NA
