Sample,Family,Genus,Species,Count,Others,Comment,Cams,Filename,Time_MaxN(mins),sp_Code,TapeReader,Has_Fed,CampaignID
WP_012,Carangidae,Seriola,lalandi,2,NA,NA,12,20210521_WP_012_Rig3_3L (3).MP4,32.8161,37337006,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Cheilodactylidae,Cheilodactylus,spectabilis,1,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,8.5719,37377006,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Cheilodactylidae,Nemadactylus,macropterus,6,NA,NA,12,20210521_WP_012_Rig3_3L (3).MP4,44.589,37377003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Dasyatidae,Bathytoshia,brevicaudata,1,NA,NA,12,20210521_WP_012_Rig3_3L (2).MP4,29.3621,37035001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Dinolestidae,Dinolestes,lewini,2,NA,NA,12,20210521_WP_012_Rig3_3L (3).MP4,42.5837,37327002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Gerreidae,Parequula,melbournensis,1,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,5.3921,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Labridae,Notolabrus,tetricus,5,NA,NA,12,20210521_WP_012_Rig3_3L (2).MP4,19.495,37384003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Labridae,Ophthalmolepis,lineolatus,4,NA,NA,12,20210521_WP_012_Rig3_3L (3).MP4,43.5029,37384040,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Labridae,Pictilabrus,laticlavius,1,NA,NA,12,20210521_WP_012_Rig3_3L (2).MP4,27.9201,37384020,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Labridae,Pseudolabrus,rubicundus,3,NA,NA,12,20210521_WP_012_Rig3_3L (2).MP4,18.4662,37384023,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Monacanthidae,Eubalichthys,gunnii,2,NA,NA,12,20210521_WP_012_Rig3_3L (3).MP4,45.1434,37465034,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Monacanthidae,Meuschenia,freycineti,3,NA,NA,12,20210521_WP_012_Rig3_3L (2).MP4,20.5833,37465036,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Monacanthidae,Meuschenia,scaber,4,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,7.3557,37465005,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Moridae,Pseudophycis,spp.,1,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,3.5953,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Mullidae,Upeneichthys,vlamingii,1,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,10.491,37355029,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_012,Scyliorhinidae,Cephaloscyllium,laticeps,1,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,7.6426,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Serranidae,Caesioperca,spp.,72,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,6.7523,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_012,Triakidae,Mustelus,antarcticus,1,NA,NA,12,20210521_WP_012_Rig3_3L (1).MP4,1.3881,37017001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_017,Carangidae,Trachurus,novaezelandiae,25,NA,NA,17,20210521_WP_017_Rig7_7L (3).MP4,43.0947,37337003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_017,Gempylidae,Thyrsites,atun,1,NA,NA,17,20210521_WP_017_Rig7_7L (3).MP4,32.5236,37439001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_017,Gerreidae,Parequula,melbournensis,16,NA,NA,17,20210521_WP_017_Rig7_7L (1).MP4,6.3714,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_017,Monacanthidae,Thamnaconus,degeni,31,NA,NA,17,20210521_WP_017_Rig7_7L (4).MP4,53.1375,37465037,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_017,Neosebastidae,Neosebastes,scorpaenoides,1,NA,NA,17,20210521_WP_017_Rig7_7L (1).MP4,9.073,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_017,Platycephalidae,Platycephalus,bassensis,5,NA,NA,17,20210521_WP_017_Rig7_7L (2).MP4,24.1714,37296003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_017,Triakidae,Mustelus,antarcticus,1,NA,NA,17,20210521_WP_017_Rig7_7L (4).MP4,56.7339,37017001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_020,Cheilodactylidae,Nemadactylus,macropterus,1,NA,NA,20,20210523_WP_020_Rig8_8L (3).MP4,41.462,37377003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_020,Cyttidae,Cyttus,australis,1,NA,NA,20,20210523_WP_020_Rig8_8L (3).MP4,39.3471,37264002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_020,Gerreidae,Parequula,melbournensis,3,NA,NA,20,20210523_WP_020_Rig8_8L (3).MP4,40.5844,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_020,Heterodontidae,Heterodontus,portusjacksoni,1,NA,NA,20,20210523_WP_020_Rig8_8L (3).MP4,37.3067,37007001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_020,Monacanthidae,Meuschenia,scaber,3,NA,NA,20,20210523_WP_020_Rig8_8L (2).MP4,23.9706,37465005,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_020,Monacanthidae,Thamnaconus,degeni,3,NA,NA,20,20210523_WP_020_Rig8_8L (4).MP4,52.1343,37465037,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_020,Neosebastidae,Neosebastes,scorpaenoides,2,NA,NA,20,20210523_WP_020_Rig8_8L (3).MP4,36.4058,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_020,Parascylliidae,Parascyllium,ferrugineum,1,NA,NA,20,20210523_WP_020_Rig8_8L (2).MP4,23.5224,37013005,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_020,Pinguipedidae,Parapercis,ramsayi,2,NA,NA,20,20210523_WP_020_Rig8_8L (2).MP4,27.4352,37390002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_020,Scyliorhinidae,Cephaloscyllium,laticeps,1,NA,NA,20,20210523_WP_020_Rig8_8L (3).MP4,39.4527,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_020,Serranidae,Caesioperca,spp.,10,NA,NA,20,20210523_WP_020_Rig8_8L (4).MP4,58.0257,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Carangidae,Pseudocaranx,spp.,13,NA,NA,25,20210521_WP_025_Rig7_7L (3).MP4,35.2836,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Carangidae,Seriola,lalandi,2,NA,NA,25,20210521_WP_025_Rig7_7L (3).MP4,44.2486,37337006,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Cheilodactylidae,Nemadactylus,macropterus,1,NA,NA,25,20210521_WP_025_Rig7_7L (3).MP4,45.8191,37377003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Gerreidae,Parequula,melbournensis,3,NA,NA,25,20210521_WP_025_Rig7_7L (1).MP4,5.1891,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Hexanchidae,Notorynchus,cepedianus,1,NA,NA,25,20210521_WP_025_Rig7_7L (3).MP4,33.0769,37005002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Labridae,Notolabrus,tetricus,2,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,22.8473,37384003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Labridae,Pseudolabrus,rubicundus,3,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,16.1317,37384023,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Monacanthidae,Meuschenia,freycineti,1,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,22.2695,37465036,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Monacanthidae,Thamnaconus,degeni,3,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,31.5209,37465037,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Mullidae,Upeneichthys,vlamingii,1,NA,NA,25,20210521_WP_025_Rig7_7L (1).MP4,0.5105,37355029,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Neosebastidae,Neosebastes,scorpaenoides,2,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,23.7181,37287005,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Scyliorhinidae,Cephaloscyllium,laticeps,3,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,29.8654,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Serranidae,Caesioperca,spp.,2,NA,NA,25,20210521_WP_025_Rig7_7L (1).MP4,7.7483,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_025,Sparidae,Chrysophrys,auratus,34,NA,NA,25,20210521_WP_025_Rig7_7L (3).MP4,38.9767,37353001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_025,Triakidae,Mustelus,antarcticus,1,NA,NA,25,20210521_WP_025_Rig7_7L (2).MP4,19.7942,37017001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_026,Cheilodactylidae,Cheilodactylus,nigripes,1,NA,NA,26,20210522_WP_026_Rig6_6L (1).MP4,11.2323,37377001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Cheilodactylidae,Nemadactylus,macropterus,6,NA,NA,26,20210522_WP_026_Rig6_6L (3).MP4,39.6051,37377003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Cheilodactylidae,Nemadactylus,valenciennesi,1,NA,NA,26,20210522_WP_026_Rig6_6L (1).MP4,5.8091,37377004,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Dinolestidae,Dinolestes,lewini,1,NA,NA,26,20210522_WP_026_Rig6_6L (1).MP4,4.123,37327002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Labridae,Notolabrus,tetricus,5,NA,NA,26,20210522_WP_026_Rig6_6L (2).MP4,20.5455,37384003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_026,Labridae,Pseudolabrus,rubicundus,5,NA,NA,26,20210522_WP_026_Rig6_6L (1).MP4,12.81,37384023,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_026,Monacanthidae,Meuschenia,freycineti,5,NA,NA,26,20210522_WP_026_Rig6_6L (3).MP4,49.4472,37465036,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Monacanthidae,Meuschenia,scaber,1,NA,NA,26,20210522_WP_026_Rig6_6L (1).MP4,6.2251,37465005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Monacanthidae,Meuschenia,venusta,1,NA,NA,26,20210522_WP_026_Rig6_6L (4).MP4,57.493,37465060,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Moridae,Pseudophycis,spp.,2,NA,NA,26,20210522_WP_026_Rig6_6L (2).MP4,16.4025,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Scorpididae,Scorpis,lineolata,1,NA,NA,26,20210522_WP_026_Rig6_6L (2).MP4,20.4827,37361009,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_026,Serranidae,Caesioperca,spp.,110,NA,NA,26,20210522_WP_026_Rig6_6L (1).MP4,0.0545,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_027,Cheilodactylidae,Cheilodactylus,nigripes,1,NA,NA,27,20210521_WP_027_Rig4_4L (3).MP4,31.7957,37377001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Cheilodactylidae,Nemadactylus,macropterus,1,NA,NA,27,20210521_WP_027_Rig4_4L (1).MP4,6.4553,37377003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Dasyatidae,Bathytoshia,brevicaudata,1,NA,NA,27,20210521_WP_027_Rig4_4L (3).MP4,30.5989,37035001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_027,Gerreidae,Parequula,melbournensis,1,NA,NA,27,20210521_WP_027_Rig4_4L (1).MP4,1.3842,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Labridae,Notolabrus,tetricus,5,NA,NA,27,20210521_WP_027_Rig4_4L (1).MP4,7.9096,37384003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Labridae,Ophthalmolepis,lineolatus,1,NA,NA,27,20210521_WP_027_Rig4_4L (4).MP4,58.2866,37384040,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Labridae,Pseudolabrus,rubicundus,8,NA,NA,27,20210521_WP_027_Rig4_4L (1).MP4,6.0544,37384023,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_027,Monacanthidae,Meuschenia,freycineti,1,NA,NA,27,20210521_WP_027_Rig4_4L (2).MP4,13.533,37465036,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Monacanthidae,Meuschenia,venusta,1,NA,NA,27,20210521_WP_027_Rig4_4L (2).MP4,23.8327,37465060,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Moridae,Pseudophycis,spp.,1,NA,NA,27,20210521_WP_027_Rig4_4L (1).MP4,5.788,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_027,Neosebastidae,Neosebastes,scorpaenoides,2,NA,NA,27,20210521_WP_027_Rig4_4L (1).MP4,11.5471,37287005,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_027,Scyliorhinidae,Cephaloscyllium,laticeps,1,NA,NA,27,20210521_WP_027_Rig4_4L (3).MP4,42.6198,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_027,Serranidae,Caesioperca,spp.,27,NA,NA,27,20210521_WP_027_Rig4_4L (4).MP4,50.2374,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_027,Urolophidae,Urolophidae,spp.,1,NA,NA,27,20210521_WP_027_Rig4_4L (3).MP4,33.7977,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Cheilodactylidae,Nemadactylus,valenciennesi,1,NA,NA,29,20210522_WP_029_Rig2_2L (3).MP4,47.845,37377004,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Gerreidae,Parequula,melbournensis,2,NA,NA,29,20210522_WP_029_Rig2_2L (4).MP4,52.5047,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Labridae,Notolabrus,tetricus,1,NA,NA,29,20210522_WP_029_Rig2_2L (2).MP4,21.3936,37384003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_029,Labridae,Pseudolabrus,rubicundus,4,NA,NA,29,20210522_WP_029_Rig2_2L (1).MP4,8.5802,37384023,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_029,Monacanthidae,Meuschenia,scaber,2,NA,NA,29,20210522_WP_029_Rig2_2L (2).MP4,28.8522,37465005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Mullidae,Upeneichthys,vlamingii,1,NA,NA,29,20210522_WP_029_Rig2_2L (2).MP4,19.5189,37355029,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Neosebastidae,Neosebastes,scorpaenoides,1,NA,NA,29,20210522_WP_029_Rig2_2L (1).MP4,3.8299,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Rajidae,Spiniraja,whitleyi,1,NA,NA,29,20210522_WP_029_Rig2_2L (1).MP4,4.5668,37031006,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_029,Scyliorhinidae,Cephaloscyllium,laticeps,2,NA,NA,29,20210522_WP_029_Rig2_2L (4).MP4,56.1088,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_029,Serranidae,Caesioperca,spp.,3,NA,NA,29,20210522_WP_029_Rig2_2L (2).MP4,20.0339,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_029,Sparidae,Chrysophrys,auratus,14,NA,NA,29,20210522_WP_029_Rig2_2L (4).MP4,58.5101,37353001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_029,Triakidae,Mustelus,antarcticus,1,NA,NA,29,20210522_WP_029_Rig2_2L (1).MP4,8.7649,37017001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
