opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
DM-BV-26,-20.30281833,117.1066117,2023-09-23T10:22:24+08:00,,Dampier,No-take,36.5,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,,,,,,41,42,8,1,22/04/2024,Alex McLennan,3/05/2024,Snakes - laevis
DM-BV-29,-20.37435333,117.1063617,2023-09-23T12:00:54+08:00,,Dampier,No-take,30.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,27,28,1,1,12/04/2024,Alex McLennan,9/05/2024,
DM-BV-28,-20.37111893,117.0883985,2023-09-23T12:11:56+08:00,,Dampier,No-take,34.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,29,30,2,1,11/04/2024,Alex McLennan,9/05/2024,Not exact spot as GPS went down
DM-BV-35,-20.358995,117.07885,2023-09-23T12:19:12+08:00,,Dampier,No-take,31,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,1,8/04/2024,Alex McLennan,9/05/2024,
DM-BV-43,-20.35173167,117.0807583,2023-09-23T12:23:39+08:00,,Dampier,No-take,30.8,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,1,8/04/2024,Alex McLennan,8/05/2024,
DM-BV-38,-20.34989,117.091045,2023-09-23T12:29:20+08:00,,Dampier,No-take,31.7,Yes,Yes,Bri Beaulieu,Daniel Agnello,Yes,,,,,,35,44,5,1,8/04/2024,Alex McLennan,8/05/2024,Hammerhead and great barracuda
DM-BV-34,-20.35093667,117.0994717,2023-09-23T12:33:43+08:00,,Dampier,No-take,31.8,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,,,,,,37,38,9,1,26/04/2024,Bri Beaulieu,8/05/2024,
DM-BV-31,-20.35437833,117.0967617,2023-09-23T12:37:35+08:00,,Dampier,No-take,31.2,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,,,,,,39,40,7,1,20/03/2024,Bri Beaulieu,8/05/2024,Snakes - laevis and tenuis
DM-BV-32,-20.36484667,117.09756,2023-09-23T12:43:01+08:00,,Dampier,No-take,29.7,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,,,,,,41,42,8,1,19/03/2024,Bri Beaulieu,29/04/2024,"Snake, reckon mosaic"
DM-BV-37,-20.37294333,117.0772917,2023-09-24T07:12:02+08:00,,Dampier,No-take,30.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,27,28,1,2,5/04/2024,Alex McLennan,8/05/2024,
DM-BV-27,-20.37176667,117.0688483,2023-09-24T07:16:55+08:00,,Dampier,No-take,30.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,29,30,2,2,4/04/2024,Alex McLennan,18/04/2024,
DM-BV-54,-20.36758167,117.05492,2023-09-24T07:23:06+08:00,,Dampier,No-take,31.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,2,2/04/2024,Alex McLennan,8/05/2024,
DM-BV-33,-20.361185,117.0400333,2023-09-24T07:31:07+08:00,,Dampier,No-take,33.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,28/03/2024,Alex McLennan,7/05/2024,
DM-BV-57,-20.357705,117.05049,2023-09-24T07:37:19+08:00,,Dampier,No-take,32.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,2,22/03/2024,Alex McLennan,7/05/2024,
DM-BV-36,-20.356935,117.06226,2023-09-24T07:43:58+08:00,,Dampier,No-take,31.4,Yes,Yes,Bri Beaulieu,Bri Beaulieu,Yes,,,,,,37,38,9,2,20/03/2024,Alex McLennan,17/05/2024,
DM-BV-30,-20.36478833,117.0697967,2023-09-24T07:50:18+08:00,,Dampier,No-take,31.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,39,40,7,2,15/03/2024,Alex McLennan,22/03/2024,
DM-BV-C1,-20.36448,117.0883117,2023-09-24T07:58:45+08:00,,Dampier,No-take,30.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,41,42,8,2,15/03/2024,Alex McLennan,8/05/2024,
DM-BV-90,-20.342975,117.1860133,2023-09-24T09:38:55+08:00,,Dampier,Fished,31.5,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,27,28,1,2,5/04/2024,Bri Beaulieu,2/05/2024,
DM-BV-78,-20.31877333,117.178935,2023-09-24T09:48:33+08:00,,Dampier,Fished,33.6,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,29,30,2,2,5/04/2024,Bri Beaulieu,7/05/2024,
DM-BV-82,-20.32666333,117.2073433,2023-09-24T09:59:14+08:00,,Dampier,Fished,32.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,2,2/04/2024,Alex McLennan,7/05/2024,
DM-BV-81,-20.33157,117.2140417,2023-09-24T10:03:56+08:00,,Dampier,Fished,32.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,28/03/2024,Alex McLennan,7/05/2024,
DM-BV-89,-20.33055833,117.2376283,2023-09-24T10:13:08+08:00,,Dampier,Fished,31.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,2,27/03/2024,Alex McLennan,6/05/2024,Shark on surface at retrieval 
DM-BV-85,-20.33527167,117.2257217,2023-09-24T10:19:07+08:00,,Dampier,Fished,31.8,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,37,38,9,2,21/02/2024,Alex McLennan,6/05/2024,
DM-BV-97,-20.34085333,117.2210917,2023-09-24T10:22:56+08:00,,Dampier,Fished,32,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,39,40,7,2,20/03/2024,Alex McLennan,6/05/2024,Seasnake
DM-BV-86,-20.36517278,117.210156,2023-09-24T10:33:55+08:00,,Dampier,Fished,28.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,41,42,8,2,14/03/2024,Alex McLennan,2/05/2024,GPS down point in wrong spot
DM-BV-92,-20.42098,117.205725,2023-09-24T12:04:09+08:00,,Dampier,Fished,24.7,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,27,28,1,2,4/04/2024,Bri Beaulieu,7/05/2024,
DM-BV-95,-20.43032,117.231075,2023-09-24T12:12:54+08:00,,Dampier,Fished,19.8,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,29,30,2,2,4/04/2024,Bri Beaulieu,7/05/2024,
DM-BV-87,-20.43231833,117.2461983,2023-09-24T12:18:38+08:00,,Dampier,Fished,20.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,2,3/04/2024,Alex McLennan,2/05/2024,
DM-BV-91,-20.45017667,117.2401617,2023-09-24T12:26:27+08:00,,Dampier,Fished,18.6,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,25/03/2024,Alex McLennan,19/04/2024,
DM-BV-88,-20.45418833,117.220025,2023-09-24T12:34:39+08:00,,Dampier,Fished,17.6,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,2,27/03/2024,Alex McLennan,2/05/2024,
DM-BV-84,-20.43988,117.206775,2023-09-24T12:43:13+08:00,,Dampier,Fished,21.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,37,38,9,2,21/03/2024,Alex McLennan,1/05/2024,
DM-BV-96,-20.43799333,117.1915767,2023-09-24T12:50:31+08:00,,Dampier,Fished,21.8,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,39,40,7,2,19/03/2024,Alex McLennan,1/05/2024,
DM-BV-77,-20.42428667,117.1952633,2023-09-24T12:57:54+08:00,,Dampier,Fished,24.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,41,42,8,2,10/03/2024,Alex McLennan,19/04/2024,
DM-BV-69,-20.38154833,117.1414,2023-09-24T14:30:09+08:00,,Dampier,Fished,29.5,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,27,28,1,2,3/04/2024,Alex McLennan,7/05/2024,
DM-BV-65,-20.38076833,117.1358033,2023-09-24T14:34:14+08:00,,Dampier,Fished,29.9,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,29,30,2,2,3/04/2024,Alex McLennan,8/05/2024,
DM-BV-73,-20.37502667,117.1280317,2023-09-24T14:39:23+08:00,,Dampier,Fished,21,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,31,32,3,2,2/04/2024,Alex McLennan,8/05/2024,
DM-BV-63,-20.36520167,117.1237567,2023-09-24T14:45:02+08:00,,Dampier,Fished,29.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,21/03/2024,Alex McLennan,17/05/2024,Little tiger shark and grey reef shark 
DM-BV-59,-20.366655,117.1350783,2023-09-24T14:50:01+08:00,,Dampier,Fished,30.9,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,35,44,5,2,27/03/2024,Alex McLennan,8/05/2024,little tiger shark
DM-BV-70,-20.35337,117.1397133,2023-09-24T14:55:45+08:00,,Dampier,Fished,32.7,Yes,Yes,Ryan Simms,Ryan Simms,Yes,,,,,,37,38,9,2,28/03/2024,Bri Beaulieu,1/05/2024,Showed 63
DM-BV-74,-20.357585,117.1466317,2023-09-24T14:59:19+08:00,,Dampier,Fished,31.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,39,40,7,2,18/03/2024,Alex McLennan,21/03/2024,
DM-BV-72,-20.388295,117.1605483,2023-09-24T15:10:17+08:00,,Dampier,Fished,29.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,41,42,8,2,13/03/2024,Alex McLennan,21/03/2024,
DM-BV-61,-20.41127333,117.1544833,2023-09-27T07:33:20+08:00,,Dampier,Fished,26.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,27,28,1,2,7/02/2024,Alex McLennan,19/03/2024,
DM-BV-68,-20.39928167,117.1706567,2023-09-27T07:41:42+08:00,,Dampier,Fished,28.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,29,30,2,2,19/02/2023,Alex McLennan,19/03/2024,
DM-BV-64,-20.39441667,117.1683817,2023-09-27T07:45:32+08:00,,Dampier,Fished,29.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,2,21/02/2024,Alex McLennan,19/03/2024,
DM-BV-76,-20.38923,117.1899583,2023-09-27T07:56:21+08:00,,Dampier,Fished,29,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,26/02/2024,Alex McLennan,19/03/2024,
DM-BV-93,-20.37251167,117.2202817,2023-09-27T08:11:23+08:00,,Dampier,Fished,30.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,2,7/03/2024,Alex McLennan,19/03/2024,2 sea snakes (ocellatus and tenuis)
DM-BV-83,-20.392455,117.229045,2023-09-27T08:22:31+08:00,,Dampier,Fished,28.6,Yes,Yes,Alex McLennan,Ryan Simms,Yes,,,,,,37,38,9,2,12/02/2024,Bri Beaulieu,19/03/2024,snake
DM-BV-80,-20.3996,117.2041867,2023-09-27T08:34:36+08:00,,Dampier,Fished,28.2,Yes,No,Alex McLennan,Ryan Simms,Yes,,,,,,40,39,7,2,30/01/2024,Claude Spencer,,39 off on retrieve. 39 and 40 in wrong housings for this drop only- left camera was off the majority of the video
DM-BV-79,-20.41270333,117.1706667,2023-09-27T08:47:02+08:00,,Dampier,Fished,25.5,Yes,Yes,Alex McLennan,Ryan Simms,Yes,,,,,,41,42,8,2,25/01/2024,Claude Spencer,19/03/2024,snake
DM-BV-60,-20.427225,117.17244,2023-09-27T10:11:42+08:00,,Dampier,Fished,24,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,27,28,1,2,12/02/2024,Alex McLennan,19/03/2024,snake
DM-BV-58,-20.43301,117.1800383,2023-09-27T10:17:09+08:00,,Dampier,Fished,19.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,29,30,2,2,13/02/2024,Alex McLennan,19/03/2024,
DM-BV-71,-20.436625,117.1707867,2023-09-27T10:21:24+08:00,,Dampier,Fished,23,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,2,,Alex McLennan,19/03/2024,guitarfish + sharks
DM-BV-62,-20.44728167,117.180985,2023-09-27T10:29:28+08:00,,Dampier,Fished,22.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,26/02/2024,Alex McLennan,19/03/2024,
DM-BV-C2,-20.441385,117.19987,2023-09-27T10:41:18+08:00,,Dampier,Fished,22,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,2,7/03/2024,Alex McLennan,19/03/2024,
DM-BV-C3,-20.43582167,117.213835,2023-09-27T10:48:49+08:00,,Dampier,Fished,21.7,Yes,Yes,Ryan Simms,Ryan Simms,Yes,,,,,,37,38,9,2,29/04/2024,Bri Beaulieu,3/05/2024,
DM-BV-C4,-20.429655,117.213205,2023-09-27T10:59:42+08:00,,Dampier,Fished,25.4,Yes,Yes,Alex McLennan,Ryan Simms,Yes,,,,,,39,40,7,2,31/01/2024,Claude Spencer,20/03/2024,Shipwreck 
DM-BV-C5,-20.43187333,117.198665,2023-09-27T11:06:53+08:00,,Dampier,Fished,20.2,Yes,Yes,Alex McLennan,Ryan Simms,Yes,,,,,,41,42,8,2,29/01/2024,Claude Spencer,20/03/2024,Big male leopard shark Stegostoma tigrinum after period
DM-BV-C6,-20.44128,117.2439583,2023-09-27T12:35:00+08:00,,Dampier,Fished,19.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,27,28,1,2,1/02/2024,Alex McLennan,20/03/2024,
DM-BV-C7,-20.433945,117.239665,2023-09-27T12:40:01+08:00,,Dampier,Fished,21.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,29,30,2,2,13/02/2024,Alex McLennan,20/03/2024,snake curling around bait
DM-BV-C8,-20.42657,117.24755,2023-09-27T12:46:49+08:00,,Dampier,Fished,22.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,2,6/03/2024,Alex McLennan,20/03/2024,
DM-BV-C9,-20.41904833,117.258485,2023-09-27T12:53:46+08:00,,Dampier,Fished,24.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,2,20/02/2024,Alex McLennan,20/03/2024,
DM-BV-P1,-20.41191,117.26737,2023-09-27T12:59:48+08:00,,Dampier,Fished,22.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,2,11/03/2024,Alex McLennan,20/03/2024,
DM-BV-P2,-20.42148667,117.271285,2023-09-27T13:06:04+08:00,,Dampier,Fished,22.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,37,38,9,2,12/03/2024,Alex McLennan,20/03/2024,meyeni ray
DM-BV-P3,-20.43018,117.2735783,2023-09-27T13:12:24+08:00,,Dampier,Fished,23.1,Yes,Yes,Alex McLennan,Ryan Simms,Yes,,,,,,39,40,7,2,24/01/2024,Bri Beaulieu,1/05/2024,"Snake, shovelnose AND wedgefish"
DM-BV-P4,-20.43528667,117.2798217,2023-09-27T13:16:56+08:00,,Dampier,Fished,20.8,Yes,Yes,Alex McLennan,Ryan Simms,Yes,,,,,,41,42,8,2,24/01/2024,Claude Spencer,21/03/2024,"Snake, sicklefin lemon, couple of odd S. ghobban"
