Sample,Genus,Species,Count,Length,Precision,Range,Family
9DAC1-4,Parma,mccullochi,1,98.2364,6.7409,3962.7508,Pomacentridae
9DAC1-4,Parma,mccullochi,1,151.5991,7.2277,2828.5959,Pomacentridae
9DAC1-4,Parma,mccullochi,1,177.3065,2.281,2086.2683,Pomacentridae
9DAC1-4,Parma,mccullochi,1,198.9514,1.6474,2299.1401,Pomacentridae
9DAC1-4,Parma,mccullochi,1,213.617,7.7456,3661.5528,Pomacentridae
9DAC1-5,Coris,auricularis,1,106.4731,6.4451,2577.2319,Labridae
9DAC1-5,Coris,auricularis,2,94.2383,4.0126,2528.1163,Labridae
9DAC1-5,Coris,auricularis,3,92.2156,2.5827,2682.7215,Labridae
9DAC1-5,Parma,mccullochi,1,305.8707,15.0708,3952.003,Pomacentridae
9DAC1-5,Parma,mccullochi,1,358.5697,4.5886,1992.7966,Pomacentridae
9DAC1-5,Parma,mccullochi,1,144.9169,1.7115,2098.0953,Pomacentridae
9DAC1-5,Parma,mccullochi,1,84.4255,27.0374,6921.6285,Pomacentridae
9DAC1-5,Parupeneus,spilurus,1,137.7098,4.0836,3777.6856,Mullidae
9DAC1-5,Pseudocaranx,spp,1,259.7831,7.774,2666.7581,NA
9DAC1-6,Coris,auricularis,1,83.4144,4.0403,2672.4558,Labridae
9DAC1-6,Coris,auricularis,1,88.348,5.0998,2403.0013,Labridae
9DAC1-6,Coris,auricularis,1,141.8205,12.6782,3893.4133,Labridae
9DAC1-6,Coris,auricularis,2,147.2668,14.4049,3767.5396,Labridae
9DAC1-6,Coris,auricularis,3,81.425,7.7839,3294.1792,Labridae
9DAC1-6,Coris,auricularis,4,200.4926,14.0919,3360.2402,Labridae
9DAC1-6,Coris,auricularis,1,75.5671,3.971,2397.5227,Labridae
9DAC1-6,Meuschenia,flavolineata,1,258.7937,5.5741,2739.0219,Monacanthidae
9DAC1-7,Caesioscorpis,theagenes,1,51.3595,5.0923,2107.5748,Serranidae
9DAC1-7,Caesioscorpis,theagenes,2,28.8756,3.7724,2294.0109,Serranidae
9DAC1-7,Caesioscorpis,theagenes,3,37.6513,5.3335,2230.2189,Serranidae
9DAC1-7,Caesioscorpis,theagenes,4,37.4572,3.794,2080.9109,Serranidae
9DAC1-7,Caesioscorpis,theagenes,5,42.1413,4.4976,2517.6468,Serranidae
9DAC1-7,Chromis,westaustralis,1,73.4862,3.1981,2312.1213,Pomacentridae
9DAC1-7,Coris,auricularis,1,197.9676,20.6363,3941.6913,Labridae
9DAC1-7,Coris,auricularis,2,52.9346,7.2909,3101.6414,Labridae
9DAC1-7,Coris,auricularis,3,450.8518,8.3637,2701.9891,Labridae
9DAC1-7,Coris,auricularis,4,131.6579,9.5029,2924.3547,Labridae
9DAC1-7,Coris,auricularis,5,84.581,8.229,2694.8909,Labridae
9DAC1-7,Coris,auricularis,6,73.0954,2.9869,2756.0441,Labridae
9DAC1-7,Coris,auricularis,7,87.535,5.7047,2696.3874,Labridae
9DAC1-7,Coris,auricularis,8,118.6285,18.6387,4147.7142,Labridae
9DAC1-7,Coris,auricularis,9,96.8358,19.759,3926.7979,Labridae
9DAC1-7,Coris,auricularis,10,47.0354,3.9224,2860.3514,Labridae
9DAC1-7,Coris,auricularis,1,93.807,2.2987,2729.4419,Labridae
9DAC1-7,Coris,auricularis,2,74.4558,2.7147,3021.1181,Labridae
9DAC1-7,Coris,auricularis,3,98.5101,4.1294,1799.5798,Labridae
9DAC1-7,Coris,auricularis,4,147.0014,4.0708,1718.0147,Labridae
9DAC1-7,Coris,auricularis,1,72.4014,1.438,1890.2087,Labridae
9DAC1-7,Coris,auricularis,2,59.7633,2.2565,1995.6642,Labridae
9DAC1-7,Coris,auricularis,1,120.142,1.9038,2058.034,Labridae
9DAC1-7,Coris,auricularis,1,123.4094,4.3923,2966.8155,Labridae
9DAC1-7,Coris,auricularis,2,83.9106,5.3361,2972.9415,Labridae
9DAC1-7,Coris,auricularis,3,76.8038,4.5566,3010.3709,Labridae
9DAC1-7,Coris,auricularis,4,68.5709,4.3479,3141.6393,Labridae
9DAC1-7,Coris,auricularis,5,86.7004,7.7912,3134.8629,Labridae
9DAC1-7,Coris,auricularis,6,76.7735,8.7675,3099.8034,Labridae
9DAC1-7,Coris,auricularis,7,94.5235,11.9127,3515.9101,Labridae
9DAC1-7,Coris,auricularis,8,69.4318,3.5525,3468.9862,Labridae
9DAC1-7,Coris,auricularis,9,42.7964,6.828,3462.1548,Labridae
9DAC1-7,Coris,auricularis,10,76.0676,6.6488,3564.3171,Labridae
9DAC1-7,Coris,auricularis,11,78.2285,11.1378,4130.2933,Labridae
9DAC1-7,Ophthalmolepis,lineolatus,1,218.6484,6.4136,3063.918,Labridae
9DAC1-7,Parma,mccullochi,1,114.8891,3.4865,3393.918,Pomacentridae
9DAC1-7,Parma,mccullochi,1,229.6298,11.7235,3173.1637,Pomacentridae
9DAC1-7,Parma,mccullochi,1,179.878,13.222,3741.5122,Pomacentridae
9DAC1-7,Upeneichthys,vlamingii,1,117.9406,6.674,2268.7919,Mullidae
9DAC1-9,Scorpis,georgiana,1,333.5245,10.3649,3177.4014,Scorpididae
9DAC2-1,Coris,auricularis,1,121.2813,6.4498,4264.1896,Labridae
9DAC2-1,Coris,auricularis,2,155.0287,12.2684,3991.6862,Labridae
9DAC2-1,Coris,auricularis,3,50.166,2.8733,4005.535,Labridae
9DAC2-1,Coris,auricularis,4,71.624,17.1648,4091.0063,Labridae
9DAC2-1,Coris,auricularis,5,64.0925,2.7326,3835.8594,Labridae
9DAC2-1,Coris,auricularis,1,67.8938,8.4044,3417.6929,Labridae
9DAC2-1,Coris,auricularis,1,99.5846,4.775,2505.9308,Labridae
9DAC2-1,Coris,auricularis,2,61.3235,5.4395,2258.8809,Labridae
9DAC2-1,Coris,auricularis,3,65.3423,3.6824,2089.9741,Labridae
9DAC2-1,Coris,auricularis,1,76.8378,2.7739,2026.5079,Labridae
9DAC2-1,Coris,auricularis,2,59.9466,2.4889,2103.3422,Labridae
9DAC2-1,Coris,auricularis,3,71.1021,2.1558,2103.9484,Labridae
9DAC2-1,Coris,auricularis,4,54.1946,2.8104,1971.848,Labridae
9DAC2-1,Coris,auricularis,5,87.6619,2.0076,2019.757,Labridae
9DAC2-1,Kyphosus,sydneyanus,1,281.9513,8.9609,3810.2232,Kyphosidae
9DAC2-1,Parma,mccullochi,1,292.1285,14.08,3228.0929,Pomacentridae
9DAC2-1,Parma,mccullochi,1,207.6343,17.9473,4184.9158,Pomacentridae
9DAC2-10,Chelmonops,curiosus,1,166.7104,2.3175,2067.9283,Chaetodontidae
9DAC2-10,Coris,auricularis,1,89.7541,5.7681,3026.3881,Labridae
9DAC2-10,Coris,auricularis,2,68.3014,2.2022,3053.0495,Labridae
9DAC2-10,Coris,auricularis,3,247.3701,12.0899,3263.6205,Labridae
9DAC2-10,Coris,auricularis,4,102.8774,14.0395,3487.4153,Labridae
9DAC2-11,Parupeneus,spilurus,1,185.9034,4.4269,3384.952,Mullidae
9DAC2-12,Meuschenia,flavolineata,1,257.1577,13.3803,5115.5163,Monacanthidae
9DAC2-12,Meuschenia,flavolineata,1,213.8443,7.893,4624.6131,Monacanthidae
9DAC2-2,Kyphosus,sydneyanus,1,751.4997,32.2796,5122.3181,Kyphosidae
9DAC2-2,Kyphosus,sydneyanus,2,511.6538,45.2023,7184.9652,Kyphosidae
9DAC2-2,Kyphosus,sydneyanus,3,446.6622,11.8576,7041.9744,Kyphosidae
9DAC2-2,Kyphosus,sydneyanus,4,368.8169,10.23,7943.0103,Kyphosidae
9DAC2-2,Kyphosus,sydneyanus,5,406.6906,29.8172,5800.2999,Kyphosidae
9DAC2-2,Kyphosus,sydneyanus,6,803.4261,72.6493,7558.0247,Kyphosidae
9DAC2-2,Kyphosus,sydneyanus,1,664.1033,18.5895,4596.4698,Kyphosidae
9DAC2-2,Notolabrus,parilus,1,155.8291,7.359,3432.7785,Labridae
9DAC2-2,Parma,mccullochi,1,102.8419,9.9298,3959.4686,Pomacentridae
9DAC2-3,Chromis,klunzingeri,1,58.4146,3.8731,2330.8007,Pomacentridae
9DAC2-3,Chromis,klunzingeri,2,75.2941,4.9911,2381.5978,Pomacentridae
9DAC2-3,Chromis,klunzingeri,3,87.7982,7.0982,2606.0343,Pomacentridae
9DAC2-3,Chromis,klunzingeri,4,84.9994,4.5983,2428.873,Pomacentridae
9DAC2-3,Chromis,klunzingeri,5,50.7818,4.216,2392.0817,Pomacentridae
9DAC2-3,Chromis,klunzingeri,6,77.3853,5.3756,2734.6321,Pomacentridae
9DAC2-3,Coris,auricularis,1,75.7297,2.9381,1742.4776,Labridae
9DAC2-3,Coris,auricularis,1,71.3421,3.2347,2094.9952,Labridae
9DAC2-3,Coris,auricularis,1,59.7796,3.9888,1855.1152,Labridae
9DAC2-3,Ophthalmolepis,lineolatus,1,85.037,2.6424,2169.6743,Labridae
9DAC2-3,Ophthalmolepis,lineolatus,1,64.6314,3.0991,1692.5777,Labridae
9DAC2-3,Ophthalmolepis,lineolatus,2,61.2999,4.3669,1888.8527,Labridae
9DAC2-3,Ophthalmolepis,lineolatus,1,114.3078,10.7568,3014.6005,Labridae
9DAC2-3,Parma,mccullochi,1,207.1493,5.5924,4932.9785,Pomacentridae
9DAC2-4,Pseudolabrus,biserialis,1,189.9462,3.6964,2464.6007,Labridae
9DAC2-5,Enoplosus,armatus,1,210.0872,4.7187,2130.9167,Enoplosidae
9DAC2-5,Enoplosus,armatus,1,134.876,2.4316,1950.8365,Enoplosidae
9DAC2-8,Epinephelides,armatus,1,367.4495,8.2094,2715.5297,Serranidae
9DAC2-9,Austrolabrus,maculatus,1,116.3828,2.3952,1963.7426,Labridae
9DAC2-9,Scorpis,georgiana,1,345.6236,2.5355,1820.6885,Scorpididae
9DAC3-10,Coris,auricularis,1,89.7207,3.9759,2011.5459,Labridae
9DAC3-10,Coris,auricularis,2,72.02,2.1539,1800.5166,Labridae
9DAC3-10,Coris,auricularis,3,82.0073,2.8131,2435.3279,Labridae
9DAC3-10,Ophthalmolepis,lineolatus,1,412.772,10.4324,3380.6217,Labridae
9DAC3-10,Ophthalmolepis,lineolatus,1,203.0605,10.1602,3266.9152,Labridae
9DAC3-11,Coris,auricularis,1,280.1382,11.8167,3501.673,Labridae
9DAC3-11,Kyphosus,sydneyanus,1,541.4594,37.3569,6230.3943,Kyphosidae
9DAC3-11,Parma,mccullochi,1,181.4355,12.3102,3409.0029,Pomacentridae
9DAC3-12,Parma,victoriae,1,139.4263,2.3474,1856.5802,Pomacentridae
9DAC3-2,Anampses,geographicus,1,115.6024,4.4554,2031.458,Labridae
9DAC3-2,Anampses,geographicus,1,91.8127,2.1584,2197.7574,Labridae
9DAC3-2,Coris,auricularis,1,111.9112,10.4281,3280.7405,Labridae
9DAC3-2,Coris,auricularis,2,97.4265,7.1992,3599.5628,Labridae
9DAC3-2,Coris,auricularis,1,178.166,10.7003,3201.4345,Labridae
9DAC3-2,Coris,auricularis,2,107.9309,5.7109,2947.6336,Labridae
9DAC3-2,Coris,auricularis,3,100.7471,4.2602,3705.0114,Labridae
9DAC3-2,Coris,auricularis,4,83.2202,10.5695,3528.1255,Labridae
9DAC3-2,Coris,auricularis,5,110.9268,6.0299,2425.6695,Labridae
9DAC3-2,Coris,auricularis,6,96.9065,2.3394,2686.8063,Labridae
9DAC3-2,Coris,auricularis,1,85.4496,2.2393,1977.9366,Labridae
9DAC3-2,Coris,auricularis,2,103.7293,1.7138,1836.8122,Labridae
9DAC3-2,Coris,auricularis,3,107.9226,5.4707,2507.0688,Labridae
9DAC3-2,Coris,auricularis,4,87.497,4.4848,2711.9432,Labridae
9DAC3-2,Kyphosus,sydneyanus,1,530.7169,19.4495,4328.0629,Kyphosidae
9DAC3-3,Parma,mccullochi,1,206.2411,16.8688,4074.5108,Pomacentridae
9DAC3-4,Parma,mccullochi,1,140.4645,3.5925,2057.2456,Pomacentridae
9DAC3-4,Parma,mccullochi,1,158.1336,12.6151,3579.5077,Pomacentridae
9DAC3-4,Parma,mccullochi,1,76.8692,8.2302,2937.8007,Pomacentridae
9DAC3-4,Parma,mccullochi,1,206.3838,9.8064,3350.4674,Pomacentridae
9DAC3-5,Coris,auricularis,1,168.3084,19.9683,6925.5011,Labridae
9DAC3-5,Coris,auricularis,1,201.0168,6.0352,2420.2968,Labridae
9DAC3-5,Kyphosus,sydneyanus,1,605.4244,9.5981,3198.653,Kyphosidae
9DAC3-5,Ophthalmolepis,lineolatus,1,144.4263,10.4024,3507.4257,Labridae
9DAC3-5,Ophthalmolepis,lineolatus,1,154.7041,6.7538,3386.43,Labridae
9DAC3-5,Parma,mccullochi,1,202.4761,2.4135,1858.6177,Pomacentridae
9DAC3-5,Parma,mccullochi,1,192.558,9.8583,3827.6954,Pomacentridae
9DAC3-6,Kyphosus,sydneyanus,1,814.0222,25.4194,5470.0748,Kyphosidae
9DAC3-6,Notolabrus,parilus,1,281.3945,3.4808,2139.1173,Labridae
9DAC3-6,Notolabrus,parilus,1,144.4604,4.5,3014.8532,Labridae
9DAC3-6,Ophthalmolepis,lineolatus,1,237.6795,5.8812,2754.2533,Labridae
9DAC3-6,Ophthalmolepis,lineolatus,1,187.3013,32.9457,5230.2589,Labridae
9DAC3-6,Parma,mccullochi,1,209.3321,2.4355,2107.7688,Pomacentridae
9DAC3-6,Pseudolabrus,biserialis,1,149.7949,4.209,3752.5138,Labridae
9DAC3-7,Chromis,klunzingeri,1,94.6519,12.2749,3095.9632,Pomacentridae
9DAC3-7,Chromis,klunzingeri,2,77.1696,16.6192,3919.3287,Pomacentridae
9DAC3-7,Chromis,klunzingeri,3,68.1937,14.2247,3671.6524,Pomacentridae
9DAC3-7,Chromis,klunzingeri,1,221.1734,2.952,1975.8195,Pomacentridae
9DAC3-7,Coris,auricularis,1,106.872,3.0114,3288.5333,Labridae
9DAC3-7,Notolabrus,parilus,1,234.849,3.2645,2288.6225,Labridae
9DAC3-7,Ophthalmolepis,lineolatus,1,260.6721,1.6024,1755.407,Labridae
9DAC3-7,Parma,mccullochi,1,111.2268,2.5232,2196.7374,Pomacentridae
9DAC3-7,Parma,mccullochi,1,222.7495,3.7772,4525.7199,Pomacentridae
9DAC3-8,Austrolabrus,maculatus,1,160.1061,4.2928,2210.7874,Labridae
9DAC3-8,Coris,auricularis,1,71.9526,2.0281,2388.3829,Labridae
9DAC3-8,Coris,auricularis,2,74.416,2.9214,2315.4729,Labridae
9DAC3-8,Coris,auricularis,3,73.7646,5.3438,2670.7781,Labridae
9DAC3-8,Coris,auricularis,4,65.5587,9.212,2905.3304,Labridae
9DAC3-8,Coris,auricularis,5,62.9853,3.9541,2848.0953,Labridae
9DAC3-8,Notolabrus,parilus,1,212.8557,3.233,2331.2291,Labridae
9DAC3-8,Notolabrus,parilus,1,145.8951,2.4174,2425.5641,Labridae
9DAC3-8,Ophthalmolepis,lineolatus,1,280.3304,8.8788,3217.5767,Labridae
9DAC3-9,Notolabrus,parilus,1,192.5467,5.2093,2884.201,Labridae
9DAC3-9,Ophthalmolepis,lineolatus,1,308.7814,6.6352,2475.9044,Labridae
9DAC4-1,Coris,auricularis,1,89.4223,5.0008,3018.6956,Labridae
9DAC4-1,Coris,auricularis,2,83.4783,4.4749,3078.4313,Labridae
9DAC4-1,Coris,auricularis,3,45.5898,2.7989,3096.7431,Labridae
9DAC4-1,Coris,auricularis,4,92.7701,8.6136,4435.1488,Labridae
9DAC4-1,Coris,auricularis,5,114.7128,16.3103,4552.4782,Labridae
9DAC4-1,Girella,zebra,1,323.7371,4.7612,6798.3481,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,1,656.9463,35.7937,5679.3411,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,1,284.506,4.5179,2973.5581,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,2,431.9655,7.4454,4232.4597,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,3,527.6496,16.4714,3965.51,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,1,285.6642,5.5601,3749.9057,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,2,291.8921,14.7362,3440.7198,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,1,404.677,19.9879,4636.2214,Kyphosidae
9DAC4-1,Kyphosus,sydneyanus,1,501.6342,19.3908,4770.1618,Kyphosidae
9DAC4-1,Parma,mccullochi,1,185.573,8.2264,3860.3823,Pomacentridae
9DAC4-1,Parma,mccullochi,1,144.3871,4.0223,3158.8241,Pomacentridae
9DAC4-1,Parma,mccullochi,1,181.3595,8.0112,2473.0152,Pomacentridae
9DAC4-10,Chromis,klunzingeri,1,77.132,1.8194,2647.3973,Pomacentridae
9DAC4-10,Chromis,klunzingeri,2,77.0391,2.5465,2487.7602,Pomacentridae
9DAC4-10,Coris,auricularis,1,144.2108,7.1888,2873.7382,Labridae
9DAC4-10,Notolabrus,parilus,1,141.1025,8.2985,3191.2284,Labridae
9DAC4-10,Ophthalmolepis,lineolatus,1,95.0341,4.181,2754.1393,Labridae
9DAC4-10,Ophthalmolepis,lineolatus,1,183.7939,5.3777,2216.4964,Labridae
9DAC4-10,Parma,mccullochi,1,129.9966,4.1153,4304.6458,Pomacentridae
9DAC4-10,Parma,mccullochi,1,185.944,3.0008,3784.4952,Pomacentridae
9DAC4-10,Parma,mccullochi,1,136.3126,6.4308,4008.2771,Pomacentridae
9DAC4-10,Pseudolabrus,biserialis,1,174.5123,3.0344,2349.8649,Labridae
9DAC4-11,Anampses,geographicus,1,215.0793,13.2465,3649.0541,Labridae
9DAC4-11,Anampses,geographicus,2,195.0045,14.7417,3664.1345,Labridae
9DAC4-11,Anampses,geographicus,3,137.5267,12.6153,3530.319,Labridae
9DAC4-11,Anampses,geographicus,4,121.6475,10.4583,3331.725,Labridae
9DAC4-11,Anampses,geographicus,1,108.4945,9.446,3294.7253,Labridae
9DAC4-11,Meuschenia,flavolineata,1,232.1294,2.5455,3272.669,Monacanthidae
9DAC4-11,Notolabrus,parilus,1,211.2157,3.217,3287.1952,Labridae
9DAC4-11,Notolabrus,parilus,1,130.0973,6.36,2726.1676,Labridae
9DAC4-11,Ophthalmolepis,lineolatus,1,238.3605,8.7296,2773.7311,Labridae
9DAC4-11,Pempheris,klunzingeri,1,93.5559,4.2366,3303.9413,Pempheridae
9DAC4-11,Pempheris,klunzingeri,2,76.1359,5.208,3074.9895,Pempheridae
9DAC4-12,Kyphosus,sydneyanus,1,434.8613,8.8191,2926.2883,Kyphosidae
9DAC4-2,Coris,auricularis,1,46.1048,5.0481,2373.3498,Labridae
9DAC4-2,Coris,auricularis,1,84.7739,4.0277,2352.2777,Labridae
9DAC4-2,Coris,auricularis,2,79.0115,4.1274,2394.517,Labridae
9DAC4-2,Coris,auricularis,3,62.3559,1.8991,2251.0543,Labridae
9DAC4-2,Coris,auricularis,4,82.3975,5.6316,2504.7917,Labridae
9DAC4-2,Coris,auricularis,5,81.9079,5.1118,2108.8052,Labridae
9DAC4-2,Coris,auricularis,6,64.726,9.8602,2945.1657,Labridae
9DAC4-2,Coris,auricularis,7,78.8588,3.7207,2106.8215,Labridae
9DAC4-2,Coris,auricularis,8,70.874,2.2421,2358.7584,Labridae
9DAC4-2,Coris,auricularis,9,58.0348,4.9918,2251.2288,Labridae
9DAC4-2,Coris,auricularis,1,96.957,6.8276,2627.7447,Labridae
9DAC4-2,Kyphosus,sydneyanus,1,491.8099,34.4318,6452.4368,Kyphosidae
9DAC4-2,Kyphosus,sydneyanus,1,526.5376,12.1948,4038.2886,Kyphosidae
9DAC4-2,Notolabrus,parilus,1,138.2066,1.6688,2449.8866,Labridae
9DAC4-2,Ophthalmolepis,lineolatus,1,199.203,8.3545,2668.3947,Labridae
9DAC4-2,Parma,mccullochi,1,248.6286,8.014,2501.7504,Pomacentridae
9DAC4-2,Parma,mccullochi,1,167.766,5.1498,3903.3813,Pomacentridae
9DAC4-2,Parma,mccullochi,1,163.308,6.8793,3102.2031,Pomacentridae
9DAC4-2,Parma,mccullochi,1,144.0474,5.0808,2318.5147,Pomacentridae
9DAC4-2,Parma,mccullochi,1,145.3221,5.3426,3205.664,Pomacentridae
9DAC4-3,Coris,auricularis,1,76.0559,5.2646,2844.7901,Labridae
9DAC4-3,Coris,auricularis,2,87.0829,10.4477,3174.7431,Labridae
9DAC4-3,Coris,auricularis,3,118.5314,8.0715,3175.5768,Labridae
9DAC4-3,Coris,auricularis,4,111.9737,8.7931,3199.116,Labridae
9DAC4-3,Kyphosus,sydneyanus,1,324.0217,18.503,3917.3323,Kyphosidae
9DAC4-3,Kyphosus,sydneyanus,1,339.887,21.399,4186.1002,Kyphosidae
9DAC4-3,Notolabrus,parilus,1,208.497,1.9188,2465.6261,Labridae
9DAC4-3,Notolabrus,parilus,2,104.8765,1.6547,2356.4119,Labridae
9DAC4-3,Notolabrus,parilus,1,136.8493,6.8999,4342.0762,Labridae
9DAC4-3,Parma,mccullochi,1,284.9715,18.2362,4007.6024,Pomacentridae
9DAC4-3,Parma,mccullochi,1,152.4741,8.2475,2843.5446,Pomacentridae
9DAC4-3,Parma,mccullochi,1,169.2426,19.8728,4274.5729,Pomacentridae
9DAC4-3,Parma,mccullochi,1,238.9291,28.2302,5032.5578,Pomacentridae
9DAC4-3,Parma,mccullochi,1,118.0029,11.6706,3214.4027,Pomacentridae
9DAC4-4,Notolabrus,parilus,1,159.5189,2.4408,2457.8912,Labridae
9DAC4-4,Notolabrus,parilus,1,136.8348,6.4956,3439.6675,Labridae
9DAC4-5,Anampses,geographicus,1,110.8978,16.6697,5743.7604,Labridae
