"campaignid","sample","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","number"
"2023-03_SwC_stereo-BRUVs","14","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,10
"2023-03_SwC_stereo-BRUVs","14","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","14","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",6
"2023-03_SwC_stereo-BRUVs","14","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",2
"2023-03_SwC_stereo-BRUVs","14","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","14","Biota","Sponges","Massive forms","Balls",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","14","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","14","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","15","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,8
"2023-03_SwC_stereo-BRUVs","15","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","15","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","15","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","15","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","15","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",2
"2023-03_SwC_stereo-BRUVs","15","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","15","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","15","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","16","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","16","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","16","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",13
"2023-03_SwC_stereo-BRUVs","16","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",18
"2023-03_SwC_stereo-BRUVs","17","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","17","Biota","Macroalgae","Erect coarse branching","Green",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","17","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,12
"2023-03_SwC_stereo-BRUVs","17","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,9
"2023-03_SwC_stereo-BRUVs","17","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",5
"2023-03_SwC_stereo-BRUVs","17","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","17","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","19","Biota","Bryozoa","Soft","Foliaceous",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","19","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","19","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","19","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"2023-03_SwC_stereo-BRUVs","19","Biota","Sponges","Cup-likes","Barrels",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","19","Biota","Sponges","Cup-likes","Cups","Incomplete cup / curled fan",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","19","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","19","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Gravel (2-10mm)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","19","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Erect fine branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,16
"2023-03_SwC_stereo-BRUVs","2","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",1
"2023-03_SwC_stereo-BRUVs","2","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",9
"2023-03_SwC_stereo-BRUVs","21","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,8
"2023-03_SwC_stereo-BRUVs","21","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","21","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",3
"2023-03_SwC_stereo-BRUVs","21","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","22","Biota","Bryozoa","Soft","Foliaceous",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","22","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","22","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","22","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","22","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"2023-03_SwC_stereo-BRUVs","22","Biota","Sponges","Cup-likes","Barrels",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","22","Biota","Sponges","Cup-likes","Cups","Incomplete cup / curled fan",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","22","Biota","Sponges","Erect forms","Branching",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","22","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","22","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","22","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","23","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","23","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","23","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",9
"2023-03_SwC_stereo-BRUVs","23","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",11
"2023-03_SwC_stereo-BRUVs","23","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","24","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","24","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","24","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","24","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",4
"2023-03_SwC_stereo-BRUVs","24","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",14
"2023-03_SwC_stereo-BRUVs","24","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","26","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",21
"2023-03_SwC_stereo-BRUVs","26","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",18
"2023-03_SwC_stereo-BRUVs","29","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","29","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","29","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",5
"2023-03_SwC_stereo-BRUVs","29","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",28
"2023-03_SwC_stereo-BRUVs","3","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","3","Biota","Macroalgae","Erect fine branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","3","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","3","Biota","Macroalgae","Filamentous / filiform","Green",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","3","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",1
"2023-03_SwC_stereo-BRUVs","3","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",1
"2023-03_SwC_stereo-BRUVs","3","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,11
"2023-03_SwC_stereo-BRUVs","31","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","31","Biota","Cnidaria","Corals","Stony corals","Solitary",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","31","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","31","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","31","Biota","Macroalgae","Erect coarse branching","Green",NA,NA,NA,NA,NA,NA,NA,8
"2023-03_SwC_stereo-BRUVs","31","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","31","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","31","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","31","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",1
"2023-03_SwC_stereo-BRUVs","31","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","31","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","31","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","32","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","32","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","32","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","32","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","32","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","32","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","32","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,13
"2023-03_SwC_stereo-BRUVs","34","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","34","Biota","Macroalgae","Erect coarse branching","Green",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","34","Biota","Macroalgae","Erect fine branching","Brown",NA,NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","34","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","34","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","34","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",5
"2023-03_SwC_stereo-BRUVs","34","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Gravel (2-10mm)",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","34","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","35","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","35","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","35","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","35","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","35","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",18
"2023-03_SwC_stereo-BRUVs","35","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",1
"2023-03_SwC_stereo-BRUVs","35","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","35","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","35","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Gravel (2-10mm)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","35","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Pebble (10-64mm)",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","35","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","36","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","36","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","36","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","36","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",1
"2023-03_SwC_stereo-BRUVs","36","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",6
"2023-03_SwC_stereo-BRUVs","37","Biota","Macroalgae","Erect fine branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","37","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",1
"2023-03_SwC_stereo-BRUVs","37","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,12
"2023-03_SwC_stereo-BRUVs","39","Biota","Bryozoa","Soft","Foliaceous",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","39","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","39","Biota","Macroalgae","Filamentous / filiform","Green",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","39","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"2023-03_SwC_stereo-BRUVs","39","Biota","Sponges","Cup-likes","Cups","Incomplete cup / curled fan",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","39","Biota","Sponges","Cup-likes","Tubes and chimneys",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","39","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","39","Biota","Sponges","Erect forms","Palmate",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","39","Biota","Sponges","Massive forms","Balls",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","39","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","39","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","4","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","4","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","4","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","4","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",9
"2023-03_SwC_stereo-BRUVs","4","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",6
"2023-03_SwC_stereo-BRUVs","4","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","40","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","40","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","40","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","40","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,8
"2023-03_SwC_stereo-BRUVs","40","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",1
"2023-03_SwC_stereo-BRUVs","40","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",6
"2023-03_SwC_stereo-BRUVs","40","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","40","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Pebble (10-64mm)",NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","40","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,8
"2023-03_SwC_stereo-BRUVs","44","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","44","Biota","Macroalgae","Erect coarse branching","Green",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","44","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,7
"2023-03_SwC_stereo-BRUVs","44","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","44","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",4
"2023-03_SwC_stereo-BRUVs","44","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",4
"2023-03_SwC_stereo-BRUVs","45","Biota","Bryozoa","Soft","Foliaceous",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","45","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","45","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","45","Biota","Sponges","Crusts","Encrusting",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","45","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","45","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Gravel (2-10mm)",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","46","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","46","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","46","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","46","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","46","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",11
