Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Exclude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Highlight Videos,FIsh images,Representative Videos,Analysis.notes,Area
3_3,20210905,09:38:00,,105,Freycinet AMP,3,IV,-42.20188046,148.4924762,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,No,Yes,No,Yes,Yes,left cam only,IUCN IV Shelf
3_4,20210905,09:18:00,,97,Freycinet AMP,3,IV,-42.19909684,148.4849012,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No,Yes,Yes,nadda,IUCN IV Shelf
3_5,20210905,09:34:00,,102,Freycinet AMP,3,IV,-42.20388008,148.4910697,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,No,Yes,No,Yes,Yes,right camera only,IUCN IV Shelf
3_6,20210905,09:27:00,,99,Freycinet AMP,3,IV,-42.20198076,148.4869643,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN IV Shelf
4_1,20210908,15:54:00,,96,Freycinet North,4,Fished,-41.72818383,148.4992272,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"Catsharkk, megalops",North Reference
4_2,20210908,15:41:00,,92,Freycinet North,4,Fished,-41.72615644,148.4929544,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"gummy shark, neosebastidae",North Reference
4_3,20210908,15:50:00,,96,Freycinet North,4,Fished,-41.73112043,148.4990813,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"seal. gurnard mulhalli, gummy shark(cool video gurnard seal )",North Reference
4_4,20210908,15:44:00,,90,Freycinet North,4,Fished,-41.72815606,148.491558,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,"megalops, neosebastidae",North Reference
4_5,20210908,15:37:00,,94,Freycinet North,4,Fished,-41.7251966,148.4975008,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"catshark, dogfishes, Gurnard Polyommata",North Reference
4_6,20210908,15:47:00,,92,Freycinet North,4,Fished,-41.73009946,148.4944886,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,neosebastidaes,North Reference
5_1,20210824,10:05:00,,113,Freycinet AMP,5,VI,-42.06305731,148.529588,0.000691922,,,,,,,,,,,NFH,,,Yes,,,No,Yes,Yes,Yes,Yes,"No right CAM, no measurements",IUCN VI Shelf
5_2,20210824,10:23:00,,115,Freycinet AMP,5,VI,-42.05991549,148.5355553,0.000691922,,,,,,,,,,,NFH,,,Yes,,,No,Yes,No,Yes,Yes,"No left CAM, no measurements - ID many flathead sp",IUCN VI Shelf
5_3,20210824,10:09:00,,114,Freycinet AMP,5,VI,-42.06499612,148.532777,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,unknown fish ID - long juvenile fish - multi pelagic,IUCN VI Shelf
5_4,20210824,10:17:00,,115,Freycinet AMP,5,VI,-42.06185414,148.5387444,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,many flatheads,IUCN VI Shelf
5_5,20210824,10:13:00,,116,Freycinet AMP,5,VI,-42.06516524,148.5374218,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,school of mackerel or pilchards??,IUCN VI Shelf
5_6,20210824,10:01:00,,115,Freycinet AMP,5,VI,-42.06106691,148.5302653,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,Draughtboard shark,IUCN VI Shelf
6_2,20210828,08:07:00,,56,Freycinet North,6,Fished,-41.70036703,148.3950113,0.00160957,,,,,,,,,,,NFH,,,Yes,,,No,Yes,No,Yes,Yes,"No right CAM, no measurements - macropterus and scaber galore",North Reference
6_3,20210828,08:00:00,,58,Freycinet North,6,Fished,-41.70075853,148.4008841,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"Smooth Stringray, School of mackerels",North Reference
6_5,20210828,08:11:00,,56,Freycinet North,6,Fished,-41.70183398,148.3928798,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"Melbourne Skate, Dogfishes",North Reference
6_6,20210828,08:03:00,,58,Freycinet North,6,Fished,-41.69887958,148.3988249,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"Macropterus galore, trumpeter, scaber, butterfly perch",North Reference
7_1,20210905,07:34:00,,99,Freycinet AMP,7,IV,-42.18870344,148.4667348,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,n.a,IUCN IV Shelf
7_2,20210905,07:48:00,,99,Freycinet AMP,7,IV,-42.19269898,148.4641628,0.0128306,,,,,,,,,,,NFH,,,Yes,,,No,Yes,Yes,Yes,Yes,"No right CAM, no measurements - gummy shark, catshark, dogfishes",IUCN IV Shelf
7_3,20210905,07:56:00,,101,Freycinet AMP,7,IV,-42.19499654,148.4700679,0.0128306,,,,,,,,,,,NFH,,,No,,,No,No,No,No,No,MISSING VIDEO,IUCN IV Shelf
7_4,20210905,07:38:00,,99,Freycinet AMP,7,IV,-42.19141685,148.4658287,0.0128306,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,"toothbrush leatherjacket? catshark, laticeps, degens",IUCN IV Shelf
7_5,20210905,07:52:00,,99,Freycinet AMP,7,IV,-42.19541092,148.4653979,0.0128306,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,Gummy shark,IUCN IV Shelf
7_6,20210905,07:43:00,,98,Freycinet AMP,7,IV,-42.19301269,148.4678033,0.0128306,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Octopus,IUCN IV Shelf
8_1,20210824,12:04:00,,116,Freycinet AMP,8,VI,-41.96971366,148.5592133,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Shelf
8_2,20210824,12:08:00,,114,Freycinet AMP,8,VI,-41.9666918,148.5562433,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Shelf
8_3,20210824,12:02:00,,116,Freycinet AMP,8,VI,-41.96726725,148.5500805,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,n.a,IUCN VI Shelf
8_4,20210824,12:03:00,,117,Freycinet AMP,8,VI,-41.96409623,148.5625029,0.000691922,,,,,,,,,,,NFH,,,Yes,,,No,Yes,No,Yes,Yes,"No Left CAM, no measurements, camera keeps moving (WEIRD)",IUCN VI Shelf
8_5,20210824,12:24:00,,116,Freycinet AMP,8,VI,-41.96274339,148.5551818,0.000691922,,,,,,,,,,,NFH,,,Yes,,,No,Yes,No,Yes,Yes,"No right CAM, no measurements",IUCN VI Shelf
8_6,20210824,12:14:00,,117,Freycinet AMP,8,VI,-41.9683451,148.5538698,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Shelf
9_1,20210905,11:13:00,,125,Freycinet AMP,9,IV,-42.19413604,148.5467943,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"CRAB ID, calamari",IUCN IV Shelf
9_2,20210905,11:25:00,,124,Freycinet AMP,9,IV,-42.1909932,148.5527729,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN IV Shelf
9_3,20210905,11:01:00,,124,Freycinet AMP,9,IV,-42.1961363,148.5453897,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,flatheads galore (ID - richardsoni or aurimaculatus),IUCN IV Shelf
9_4,20210905,11:17:00,,123,Freycinet AMP,9,IV,-42.19299353,148.5513686,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"catsharks, sevengill shark",IUCN IV Shelf
9_5,20210905,11:03:00,,126,Freycinet AMP,9,IV,-42.18997502,148.5481461,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,"catshark, draugtboards",IUCN IV Shelf
9_6,20210905,11:22:00,,123,Freycinet AMP,9,IV,-42.19493486,148.5543228,0.000885952,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,"catsharks,megalops",IUCN IV Shelf
10_1,20210828,11:18:00,,80,Freycinet North,10,Fished,-41.65398732,148.4598217,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,"school of mackerels,macropterus",North Reference
10_2,20210828,11:07:00,,78,Freycinet North,10,Fished,-41.65888924,148.4568097,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,seal,North Reference
10_3,20210828,11:22:00,,82,Freycinet North,10,Fished,-41.65593162,148.462748,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,macropterus galore,North Reference
10_4,20210828,11:11:00,,79,Freycinet North,10,Fished,-41.65623333,148.4574667,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"macropterus, callathias, percoides galore (cool video)",North Reference
10_5,20210828,11:15:00,,78,Freycinet North,10,Fished,-41.65495169,148.4547995,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,North Reference
10_6,20210828,11:27:00,,81,Freycinet North,10,Fished,-41.65867973,148.4611633,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"melbourne skate, gummy shark",North Reference
11_1,20210819,15:53:00,,76,Freycinet AMP,11,VI,-41.83265,148.45785,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"macropterus galore, seal",IUCN VI Patch reef
11_2,20210819,16:00:00,,73,Freycinet AMP,11,VI,-41.83094175,148.4549246,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,"cucumber fish, allporti galore",IUCN VI Patch reef
11_3,20210819,15:46:00,,76,Freycinet AMP,11,VI,-41.83590757,148.4610588,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,cucumber fish ,IUCN VI Patch reef
11_4,20210819,15:57:00,,74,Freycinet AMP,11,VI,-41.83294093,148.4535248,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Patch reef
11_5,20210819,16:05:00,,75,Freycinet AMP,11,VI,-41.8299833,148.459479,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,allporti galore,IUCN VI Patch reef
11_6,20210819,15:05:00,,75,Freycinet AMP,11,VI,-41.83488521,148.4564591,0.000691922,,,,,,,,,,,NFH,,,Yes,,,No,Yes,No,Yes,Yes,"No left camera - percoides, alllporti,macropterus",IUCN VI Patch reef
12_1,20210908,09:58:00,,128,Freycinet AMP,12,VI,-41.83684504,148.5909025,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Canyon
12_2,20210908,09:52:00,,145,Freycinet AMP,12,VI,-41.83721682,148.5924161,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"percoides galore, l.puchella, trumpeters, pregnant draughty, edwardsii",IUCN VI Canyon
12_3,20210908,09:55:00,,127,Freycinet AMP,12,VI,-41.83770021,148.5917153,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,some macropterus ,IUCN VI Canyon
12_4,20210908,10:06:00,,155,Freycinet AMP,12,VI,-41.83531717,148.5919304,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Canyon
12_6,20210908,09:48:00,,138,Freycinet AMP,12,VI,-41.83800053,148.5933582,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Canyon
13_1,20210824,08:11:00,,87,Freycinet AMP,13,VI,-42.00698428,148.4787337,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,No,n.a,IUCN VI Shelf
13_2,20210824,08:02:00,,87,Freycinet AMP,13,VI,-42.01206363,148.475953,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,cucumber fish,IUCN VI Shelf
13_3,20210824,08:31:00,,88,Freycinet AMP,13,VI,-42.01171161,148.484763,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,No,cucumber fish,IUCN VI Shelf
13_4,20210824,08:26:00,,88,Freycinet AMP,13,VI,-42.0136283,148.4803369,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,No,cucumber fishes,IUCN VI Shelf
13_5,20210824,08:16:00,,85,Freycinet AMP,13,VI,-42.01007265,148.4798004,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,No,n.a,IUCN VI Shelf
13_6,20210824,08:06:00,,85,Freycinet AMP,13,VI,-42.00764538,148.4833378,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN VI Shelf
14_1,20210904,08:18:00,,108,Freycinet AMP,14,IV,-42.12941821,148.5239245,0.0128306,,,,,,,,,,,SW,,,Yes,,,No,Yes,No ,Yes,No,"No left camera - not much, one grubfish",IUCN IV Shelf
14_2,20210904,08:38:00,,102,Freycinet AMP,14,IV,-42.13298037,148.5260033,0.0128306,,,,,,,,,,,SW,,,Yes,,,Yes,Yes,No ,Yes,Yes,"school of pilchards, macropterus",IUCN IV Shelf
14_3,20210904,08:33:00,,108,Freycinet AMP,14,IV,-42.13249837,148.5287844,0.0128306,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Melbourne skate - cool video @ 9mins - 12 mins,IUCN IV Shelf
14_4,20210904,08:24:00,,103,Freycinet AMP,14,IV,-42.13032977,148.5262127,0.0128306,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,"many macropterussssssss, catshark, trumpeter",IUCN IV Shelf
14_5,20210904,08:42:00,,104,Freycinet AMP,14,IV,-42.13376993,148.5240251,0.0128306,,,,,,,,,,,NFH,,,Yes,,,No,Yes,No,Yes,Yes,No right camera - no measurements - some macropterus,IUCN IV Shelf
14_6,20210904,08:28:00,,117,Freycinet AMP,14,IV,-42.12988436,148.5295012,0.0128306,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"allporti , school of pilchards ",IUCN IV Shelf
15_1,20210828,13:07:00,,113,Freycinet North,15,Fished,-41.65726891,148.5396423,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,"megalops, allporti, flathead",North Reference
15_2,20210828,13:12:00,,117,Freycinet North,15,Fished,-41.65877833,148.5455245,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes ,"Gummy shark, huge anemone on hermit crab ",North Reference
15_3,20210828,13:16:00,,117,Freycinet North,15,Fished,-41.66111529,148.5427416,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,No,cool hightligh video - angry dory and small octopus @ 44mins,North Reference
15_4,20210828,13:20:00,,118,Freycinet North,15,Fished,-41.66202781,148.5474426,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,flatheads,North Reference
15_5,20210828,13:03:00,,112,Freycinet North,15,Fished,-41.65909863,148.537524,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,No,"cuttlefish @ 40 mins, Calamari @ 51 mins - not much",North Reference
15_6,20210828,12:25:00,,117,Freycinet North,15,Fished,-41.66406035,148.5436477,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes ,"small cucumber fish, flathead - boringgggg",North Reference
16_6,20210819,08:12:00,,81,Freycinet AMP,16,VI,-41.89892317,148.4492339,0.345633,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Lots of macropterus and few Stripeys. About 4 min or so short bc pulled early but have marked as complete drops,Joes reef
17_1,20210828,14:58:00,,100,Freycinet North,17,Fished,-41.6897698,148.5119854,0.00160957,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Frame rate in left video makes it so the cameras don't progress the same. Hermit crabs. Seal,North Reference
17_2,20210828,15:01:00,,100,Freycinet North,17,Fished,-41.68793021,148.5096131,0.00160957,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,"Grubfish, shark",North Reference
17_3,20210828,15:05:00,,100,Freycinet North,17,Fished,-41.68993002,148.5082179,0.00160957,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Not much. ,North Reference
17_4,20210828,14:49:00,,101,Freycinet North,17,Fished,-41.68696975,148.5141565,0.00160957,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,One grubfish and some crabs,North Reference
17_5,20210828,15:09:00,,100,Freycinet North,17,Fished,-41.69187303,148.5111472,0.00160957,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Not much,North Reference
17_6,20210828,14:54:00,,101,Freycinet North,17,Fished,-41.6889126,148.5170859,0.00160957,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Not much. A few flathead,North Reference
18_1,20210819,10:04:00,,92,Freycinet AMP,18,VI,-41.92938491,148.5037152,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,"Seal. Lots of macropterus, whitleyi",IUCN VI Shelf
18_2,20210819,10:27:00,,91,Freycinet AMP,18,VI,-41.93716909,148.5007618,0.000691922,,,,,,,,,,,DS,,,Yes,,,No,Yes,No ,No,No,Left camera is actually 18_5 so no measurements/might show wrong camera ID. Some unknown fish and shark ID,IUCN VI Shelf
18_3,20210819,10:18:00,,92,Freycinet AMP,18,VI,-41.93402887,148.5067191,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Not much. Dark sandy site.,IUCN VI Shelf
18_4,20210819,10:09:00,,89,Freycinet AMP,18,VI,-41.93124557,148.4991756,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Not much. Dark sandy site.,IUCN VI Shelf
18_5,20210819,10:22:00,,91,Freycinet AMP,18,VI,-41.93602866,148.5053187,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Seven-gill shark but not much else,IUCN VI Shelf
18_6,20210819,10:13:00,,90,Freycinet AMP,18,VI,-41.93318539,148.502357,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Seal. ,IUCN VI Shelf
19_1,20210904,15:31:00,,101,Freycinet AMP,19,IV,-42.19120836,148.4820521,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,"Seal, scorpaenoides, macropterus",IUCN IV Shelf
19_2,20210904,15:42:00,,101,Freycinet AMP,19,IV,-42.19617184,148.4882239,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Several sharks,IUCN IV Shelf
19_3,20210904,15:35:00,,100,Freycinet AMP,19,IV,-42.19314838,148.4852463,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Catshark and some macropterus. Brittlestar at beginning. ,IUCN IV Shelf
19_4,20210904,15:05:00,,107,Freycinet AMP,19,IV,-42.19018876,148.4912323,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Sharks,IUCN IV Shelf
19_5,20210904,15:39:00,,99,Freycinet AMP,19,IV,-42.19515105,148.4835976,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Lots of percoides. Some crabs,IUCN IV Shelf
19_6,20210904,15:46:00,,102,Freycinet AMP,19,IV,-42.19219152,148.4895838,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,macropterus and morid cods,IUCN IV Shelf
20_1,20210908,11:53:00,,111,Freycinet AMP,20,VI,-41.80795463,148.5326522,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Flathead and macropterus. Squid ink,IUCN VI Shelf
20_2,20210908,11:58:00,,112,Freycinet AMP,20,VI,-41.80499299,148.5386003,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Flathead,IUCN VI Shelf
20_3,20210908,11:41:00,,112,Freycinet AMP,20,VI,-41.81259477,148.5358929,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,"Octopus!, big hermit crab, scaber, flathead",IUCN VI Shelf
20_5,20210908,11:37:00,,113,Freycinet AMP,20,VI,-41.81362248,148.5413682,0.000691922,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,Catfish,IUCN VI Shelf
21_1,20210904,10:23:00,,104,Freycinet AMP,21,IV,-42.13571728,148.5243175,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Giant melbourne skate,IUCN IV Shelf
21_2,20210904,10:12:00,,112,Freycinet AMP,21,IV,-42.13257565,148.5302919,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No ,Yes,Yes ,nadda,IUCN IV Shelf
21_3,20210904,10:28:00,,107,Freycinet AMP,21,IV,-42.13771728,148.5229135,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,Cool Lepidotrigla mulhalli ,IUCN IV Shelf
21_4,20210904,10:16:00,,109,Freycinet AMP,21,IV,-42.13457572,148.5288881,0.0128306,,,,,,,,,,,DS,,,Yes,,,No,Yes,Yes,Yes,Yes ,No left camera. cyttus australis.,IUCN IV Shelf
21_5,20210904,10:07:00,,105,Freycinet AMP,21,IV,-42.13155327,148.5259116,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,Yes,Yes,Yes ,macropterus. Not a whole lot else,IUCN IV Shelf
21_6,20210904,10:35:00,,103,Freycinet AMP,21,IV,-42.13630243,148.5209435,0.0128306,,,,,,,,,,,DS,,,Yes,,,Yes,Yes,No ,Yes,Yes ,BRUVs rocks at 26:53 and scares fish. BRUV getts dragged for the last minute or so,IUCN IV Shelf
22_5,20210908,07:52:00,,126,Freycinet AMP,22,VI,-41.91818345,148.6121597,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,just macropterus - more in Extra,IUCN VI Canyon
22_6,20210908,07:45:00,,146,Freycinet AMP,22,VI,-41.91996469,148.6140866,0.000691922,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,"some macropterus (more in extra), percoides, puchella, striped trumpeters",IUCN VI Canyon
23_1,20210908,13:59:00,,126,Freycinet North,23,Fished,-41.71300063,148.561166,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"flathead, 2 megalops- cool vid @ 52mins",North Reference
23_2,20210908,13:51:00,,129,Freycinet North,23,Fished,-41.70985756,148.5670998,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,Yes,Yes,Yes,"1 handfish (YIPPPEEE) ,flathead, sawtail shark",North Reference
23_3,20210908,13:55:00,,128,Freycinet North,23,Fished,-41.71207084,148.5633071,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,"ID two flatheads, huge sponge on hermit crab",North Reference
23_4,20210908,14:08:00,,130,Freycinet North,23,Fished,-41.70904876,148.5603492,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,"just a grubfish, flathead and hermits ",North Reference
23_5,20210908,13:47:00,,125,Freycinet North,23,Fished,-41.71400911,148.5664794,0.00160957,,,,,,,,,,,NFH,,,Yes,,,Yes,Yes,No ,Yes,Yes,"grubfish, hermits, flathead, a macropterus",North Reference
