"campaignid","opcode","family","genus","species","length_mm","number","range","rms","precision","code"
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Platycaranx","chrysophrys",450.76709,1,1710.05017,3.368,3.53545,37337011
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Seriola","dumerili",867.1672,1,1609.51603,4.54286,1.96734,37337025
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",310.63439,1,2059.55238,4.7517,5.9306,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",345.94073,1,2373.1475,4.39708,7.00959,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",317.11322,1,2270.43395,0.19881,6.21123,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",337.35314,1,2488.62455,2.07364,2.21738,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",363.05384,1,2775.51015,3.99181,8.6136,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",338.65047,1,2640.93765,0.74156,7.05184,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",337.35723,1,2603.55734,1.74059,8.7264,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",319.8924,1,2922.30611,3.83686,4.71348,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",311.29034,1,2984.99297,3.27004,7.84827,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",330.25832,1,2283.29124,1.87264,8.37799,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",312.48573,1,2396.51425,4.53326,7.34135,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",354.30768,1,2288.82908,2.55395,7.9325,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",345.18193,1,3052.44545,4.53382,4.31273,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",329.96435,1,3036.00541,6.67956,8.45489,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",332.28821,1,2834.80747,3.32,8.55942,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",331.69147,1,2895.78595,6.094,5.12292,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",346.02514,1,3350.09439,10.11685,6.91055,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",358.57457,1,2862.40712,7.11627,5.66292,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",293.14767,1,2958.17338,9.83123,6.79402,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",336.57453,1,2655.97398,2.12538,10.43277,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",320.75694,1,2176.41045,3.26943,6.92635,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",337.24159,1,2722.82228,4.48467,8.78917,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",335.65701,1,2841.5469,8.70039,2.30922,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Turrum","gymnostethus",313.50934,1,2490.84638,6.94726,4.04794,37337022
"2022-05_PtCloates_stereo-BRUVS",15,"Echeneidae","Echeneis","naucrates",685.39263,1,4512.72352,12.9273,9.76644,37336001
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Gymnocranius","euanus",382.17457,1,1474.46863,2.10572,1.50662,37351022
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Gymnocranius","sp1",351.23587,1,2271.84658,6.31506,7.33451,NA
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Gymnocranius","sp1",454.09667,1,1602.00897,3.09116,3.81955,NA
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Gymnocranius","sp1",389.52608,1,2783.16593,9.36428,8.03133,NA
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Lethrinus","miniatus",503.32318,1,1371.90433,3.18075,1.35255,37351009
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Lethrinus","miniatus",413.71352,1,1167.76259,4.73145,1.15238,37351009
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Lethrinus","miniatus",469.70417,1,1411.64012,3.46108,1.83999,37351009
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Lethrinus","rubrioperculatus",306.12431,1,1284.93197,2.46988,1.34929,37351012
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Lethrinus","rubrioperculatus",368.20292,1,1355.67123,0.54678,1.9206,37351012
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Lethrinus","rubrioperculatus",344.31898,1,1673.20173,6.99324,3.6539,37351012
"2022-05_PtCloates_stereo-BRUVS",15,"Lutjanidae","Aphareus","rutilans",NA,1,6923.48642,5.62141,NA,37346001
"2022-05_PtCloates_stereo-BRUVS",15,"Lutjanidae","Pristipomoides","sp1",403.63216,1,3785.1139,8.87936,6.12832,NA
"2022-05_PtCloates_stereo-BRUVS",15,"Monacanthidae","Unknown","spp",32.95594,1,1105.0656,1.99507,1.42903,NA
"2022-05_PtCloates_stereo-BRUVS",15,"Pinguipedidae","Parapercis","nebulosa",52.82646,1,1381.72719,2.0136,1.27407,37390005
"2022-05_PtCloates_stereo-BRUVS",15,"Pinguipedidae","Parapercis","nebulosa",43.60194,1,1332.23118,1.6446,1.44518,37390005
"2022-05_PtCloates_stereo-BRUVS",15,"Pinguipedidae","Parapercis","nebulosa",81.97516,1,1239.54409,1.24989,1.08389,37390005
"2022-05_PtCloates_stereo-BRUVS",15,"Pinguipedidae","Parapercis","nebulosa",72.8243,1,1217.36741,4.64507,2.26207,37390005
"2022-05_PtCloates_stereo-BRUVS",16,"Balistidae","Abalistes","filamentosus",342.02778,1,1503.36761,1.94656,1.59613,37465089
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",272.24207,1,3606.38761,11.00739,14.09158,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",235.27214,1,4079.905,3.96938,22.20912,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",277.32704,1,4188.50728,7.41674,12.72046,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",259.5894,1,4324.9925,14.41081,21.65163,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",207.41515,1,3671.84806,9.24011,4.64417,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",NA,1,6279.63746,15.53567,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",NA,1,2844.72931,14.72725,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",NA,1,6855.08191,10.71879,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",NA,1,4719.48012,2.35138,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",NA,1,6004.71863,13.40295,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Decapterus","spp",NA,1,6603.50885,15.73724,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Platycaranx","chrysophrys",405.47913,1,2006.92148,0.46554,4.40567,37337011
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Turrum","fulvoguttatum",1189.53236,1,4438.15775,8.99017,23.88491,37337037
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Turrum","fulvoguttatum",1160.91765,1,6286.87558,17.96803,63.28594,37337037
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Turrum","gymnostethus",523.7565,1,4457.83866,8.54689,26.06725,37337022
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Turrum","gymnostethus",428.09558,1,3424.737,12.71488,9.33047,37337022
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Turrum","gymnostethus",592.78064,1,3513.84632,6.45509,7.94514,37337022
"2022-05_PtCloates_stereo-BRUVS",16,"Carangidae","Turrum","gymnostethus",621.14135,1,4861.91799,16.57129,16.81293,37337022
"2022-05_PtCloates_stereo-BRUVS",16,"Echeneidae","Echeneis","naucrates",480.49756,1,3633.87423,3.65545,19.02238,37336001
"2022-05_PtCloates_stereo-BRUVS",16,"Echeneidae","Echeneis","naucrates",574.5747,1,4093.2163,11.77322,22.00153,37336001
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Gymnocranius","sp1",329.46051,1,4059.85905,9.15976,6.29271,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Gymnocranius","sp1",329.36769,1,2146.22333,4.089,2.88499,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Gymnocranius","sp1",NA,1,980.96133,2.66111,NA,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Lethrinus","rubrioperculatus",340.86129,1,1142.49515,6.22536,0.94255,37351012
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Lethrinus","rubrioperculatus",327.13508,1,1448.14288,4.05051,1.69419,37351012
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Lethrinus","rubrioperculatus",338.26637,1,2080.15934,5.23621,2.65487,37351012
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",531.14466,1,1985.9166,4.2456,2.86098,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",487.48256,1,2073.5863,8.29754,2.90461,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",441.54517,1,2008.19696,7.11541,3.74329,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",478.49534,1,2383.10647,8.10781,6.15504,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",491.3101,1,2081.28912,6.3427,5.09433,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",509.17102,1,2148.44371,1.24273,2.18308,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1",461.73703,1,2378.59336,12.2957,3.9971,NA
"2022-05_PtCloates_stereo-BRUVS",16,"Rhinidae","Rhynchobatus","laevis",1219.10756,1,2197.80182,16.32314,5.20294,37026003
"2022-05_PtCloates_stereo-BRUVS",16,"Sparidae","Argyrops","spinifer",311.69411,1,1469.35225,5.8501,1.81924,37353006
"2022-05_PtCloates_stereo-BRUVS",16,"Sparidae","Argyrops","spinifer",319.20377,1,2043.83121,6.12257,2.14518,37353006
"2022-05_PtCloates_stereo-BRUVS",16,"Triakidae","Mustelus","stevensi",809.10779,1,3683.90348,13.16483,5.09548,37017012
"2022-05_PtCloates_stereo-BRUVS",17,"Acanthuridae","Naso","fageni",NA,1,7486.95835,6.35706,NA,37437027
