"","australian_source","caab","class","order","family","subfamily","genus","species","scientific_name","australian_common_name","global_region","marine_region","global_source","fb_code","fb_length_at_maturity_cm","fb_length_weight_measure","fb_a","fb_b","fb_a_ll","fb_b_ll","fb_length_weight_source","fb_vulnerability","fb_countries","fb_status","length_max_cm","length_max_type","length_max_source","fb_trophic_level","fb_trophic_level_se","fb_trophic_level_source","foa_min_depth","foa_max_depth","rls_trophic_group","rls_water_column","rls_substrate_type","rls_thermal_niche","local_source","epbc_threat_status","iucn_ranking","fishing_mortality","fishing_type","min_legal_nt","max_legal_nt","min_legal_wa","max_legal_wa","min_legal_qld","max_legal_qld","min_legal_nsw","max_legal_nsw","min_legal_vic","max_legal_vic","min_legal_sa","max_legal_sa","min_legal_tas","max_legal_tas"
"11","CAAB","37113001","Actinopterygii","Stomiiformes","Idiacanthidae","Idiacanthinae","Idiacanthus","fasciola","Idiacanthus fasciola","Serpent Black Dragonfish","Australia","Christmas Island, NW, SE, TE","FishBase","11828",25,NA,0.00389,3.12,NA,NA,"Based on all LWR estimates for this body shape.",43.86,"Argentina, Australia, Canada, Cape Verde, China, Chinese Taipei, Cuba, Japan, Mexico, Morocco, New Caledonia, New Zealand, Papua New Guinea, Portugal, Madeira Is., Azores Is., South Africa, Canary Is., West Sahara, Hawaii, Uruguay","native",48.9000015258789,NA,"Fishbase","3.9","0.67","based on food items","300","3500",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CAAB","37113002","Actinopterygii","Stomiiformes","Idiacanthidae","Idiacanthinae","Idiacanthus","atlanticus","Idiacanthus atlanticus","Common Black Dragonfish","Australia","SW, TE","FishBase","6970",NA,NA,0.00389,3.12,NA,NA,"Based on all LWR estimates for this body shape.",45.86,"Argentina, Australia, Brazil, Chile, Juan Fernández, Crozet Is., Kerguelen Is., Namibia, New Zealand, South Africa, Uruguay","native",53,"TL","Fishbase","4.0","0.7","based on size and trophs of closest relative","500","3500",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CAAB","37114008","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Rouleina","attrita","Rouleina attrita","Softskin Slickhead","Australia","Christmas Island, SW, SE, TE, Lord Howe","FishBase","6964",NA,"TL",0.00286,3.33,0,1.04388999938965,"Species specific",43.42,"Australia, Cape Verde, France, Kerguelen Is., Greenland, Ireland, Madagascar, Morocco, Mozambique, New Zealand, Azores Is., Canary Is., UK, UK Scotland","native",48,NA,"Fishbase","3.6","0.5","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CAAB","37114012","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Talismania","longifilis","Talismania longifilis","Longtail Slickhead","Australia","SW, NW, Christmas Island, SE, TE, CS","FishBase","5061",NA,NA,0.00339,3.19,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",42.6,"Angola, Australia, Cameroon, Congo, Congo Dem Rp, Benin, Eq Guinea, Gabon, Gambia, Ghana, Guinea, Ivory Coast, Liberia, Mauritania, Morocco, Mozambique, New Zealand, Nigeria, Guinea-Bissau, Sao Tome Princ., Senegal, Sierra Leone, West Sahara, Togo","native",46.2999992370605,NA,"Fishbase","3.6","0.5","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CAAB","37114014","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Alepocephalus","australis","Alepocephalus australis","Smallscale Slickhead","Australia","SE, TE, SW","FishBase","9172",NA,"SL",0.00252,3.39,NA,NA,"Species specific",53.67,"Angola, Australia, Belize, Cameroon, Congo, Congo Dem Rp, Costa Rica, Benin, Eq Guinea, Gabon, Guatemala, Honduras, Ireland, Japan, Mexico, Morocco, Namibia, New Zealand, Nicaragua, Nigeria, Sao Tome Princ., South Africa, Canary Is., USA","native",69,"SL","Fishbase","3.8","0.39","based on food items","690","2600",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CAAB","37114016","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Narcetes","lloydi","Narcetes lloydi","Lloyd's Slickhead","Australia","NW, SW","FishBase","15811",NA,"TL",0.0044,3.2028,0,1.09142994880676,"Species specific",44.4,"Australia, China, Philippines","native",50,NA,"Fishbase","3.6","0.5","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CAAB","37114026","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Narcetes","stomias","Narcetes stomias","Blackhead Slickhead","Australia","Christmas Island, NW, SW, TE, Lord Howe","FishBase","6963",NA,NA,0.00339,3.19,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",48.06,"Australia, Bahamas, France, Kerguelen Is., Ireland, Mexico, Morocco, Nicaragua, Panama, Spain, West Sahara, UK, USA","native",57.5,NA,"Fishbase","3.6","0.5","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CAAB","37114043","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Alepocephalus","longirostris","Alepocephalus longirostris","Longsnout Slickhead","Australia","TE","FishBase","22693",NA,NA,0.00339,3.19,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",40.01,"Australia, China, Ryukyu Is.","native",41,NA,"Fishbase","3.6","0.2","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CAAB","37114044","Actinopterygii","Osmeriformes","Alepocephalidae",NA,"Alepocephalus","productus","Alepocephalus productus","Smalleye Slickhead","Australia","NW","FishBase","10000",NA,NA,0.00339,3.19,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",40.01,"Argentina, France, Ireland, Morocco, USA",NA,41,NA,"Fishbase","3.6","0.2","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CAAB","37117001","Actinopterygii","Aulopiformes","Aulopidae",NA,"Latropiscis","purpurissatus","Latropiscis purpurissatus","Sergeant Baker","Australia","NW, SE, SW, TE","FishBase","14021",NA,"TL",0.00606,3.0837,-0.0662499964237213,1.10281753540039,"Species specific",44,"Australia, New Zealand","native",60,"TL","Fishbase","4.0","0.66","based on food items","15","250","higher carnivore","benthic","Hard bottom",19.40772,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CAAB","37118001","Actinopterygii","Aulopiformes","Synodontidae","Harpadontinae","Saurida","undosquamis","Saurida undosquamis","Largescale Saury","Australia","NW, SW, N, TE, CS","FishBase","1055",19.8100002288818,"FL",0.0116,2.933,0,1,"Species specific",27.83,"Albania, Australia, Bahrain, Myanmar, China, Chinese Taipei, Christmas I., Cyprus, Djibouti, Greece, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Jordan, Kenya, Korea (North), Korea (South), Kuwait, Lebanon, Libya, Malaysia, Maldives, Mozambique, Oman, New Caledonia, Papua New Guinea, Philippines, Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Syria, Thailand, Tonga, United Arab Em., Turkey, Egypt, Tanzania, Yemen, Andaman Is., Ogasawara Is.","native",50,"SL","Fishbase","4.5","0.4","based on diet studies","1","200",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CAAB","37118008","Actinopterygii","Aulopiformes","Synodontidae","Harpadontinae","Saurida","elongata","Saurida elongata","Slender Saury","Australia","CS","FishBase","4764",NA,"TL",0.00414,3.13,0,1.07427000999451,"Species specific",23,"Australia, China, Chinese Taipei, Hong Kong, Indonesia, Japan, Korea (South), Malaysia, Papua New Guinea, Viet Nam, Thailand","native",50,NA,"Fishbase","4.5","0.8","based on diet studies",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CAAB","37118016","Actinopterygii","Aulopiformes","Synodontidae","Harpadontinae","Saurida","grandisquamis","Saurida grandisquamis","Grey Saury","Australia","N, NW","FishBase","1055",19.8100002288818,"FL",0.0116,2.933,0,1,"Species specific",27.83,"Albania, Australia, Bahrain, Myanmar, China, Chinese Taipei, Christmas I., Cyprus, Djibouti, Greece, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Jordan, Kenya, Korea (North), Korea (South), Kuwait, Lebanon, Libya, Malaysia, Maldives, Mozambique, Oman, New Caledonia, Papua New Guinea, Philippines, Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Syria, Thailand, Tonga, United Arab Em., Turkey, Egypt, Tanzania, Yemen, Andaman Is., Ogasawara Is.","native",50,NA,"Fishbase","4.5","0.4","based on diet studies",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CAAB","37118019","Actinopterygii","Aulopiformes","Bathysauridae",NA,"Bathysaurus","ferox","Bathysaurus ferox","Deepsea Lizardfish","Australia","SE, TE, SW","FishBase","11841",NA,"SL",0.00109,3.47,NA,NA,"Species specific",51.23,"Australia, Brazil, Canada, Cape Verde, Dominican Rp, France, Gambia, Greenland, Guinea, Iceland, Ireland, Mauritania, Morocco, New Zealand, Madeira Is., Azores Is., Guinea-Bissau, Senegal, South Africa, Spain, Canary Is., West Sahara, UK, UK Engld Wal, UK No Ireld, USA","native",70,NA,"Fishes of Australia","4.3","0.69","based on food items","600","3500",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CAAB","37118028","Actinopterygii","Aulopiformes","Synodontidae","Harpadontinae","Saurida","tumbil","Saurida tumbil","Common Saury","Australia","NW, N, TE, CS","FishBase","6479",26.875,"TL",0.002,3.34,0,1.08961498737335,"Species specific",38.43,"Australia, Bahrain, Myanmar, Sri Lanka, China, Chinese Taipei, Djibouti, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Jordan, Kuwait, Madagascar, Malaysia, Maldives, Mozambique, Oman, New Caledonia, Pakistan, Papua New Guinea, Philippines, Qatar, Saudi Arabia, Viet Nam, Somalia, South Africa, Sudan, Thailand, United Arab Em., Egypt, Tanzania, Yemen, Eritrea, Andaman Is., Ogasawara Is.","native",60,NA,"Fishbase","4.4","0.3","based on diet studies",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CAAB","37118029","Actinopterygii","Aulopiformes","Synodontidae","Harpadontinae","Saurida","wanieso","Saurida wanieso","Wanieso Saury","Australia","NW, N","FishBase","10411",NA,"TL",0.00535,3,NA,NA,"Species specific",51.72,"Australia, China, Hong Kong, India, Indonesia, Japan, Korea (South)","native",65,"SL","Fishbase","4.0","0.65","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CAAB","37119001","Actinopterygii","Aulopiformes","Harpadontidae","Harpadontinae","Harpadon","translucens","Harpadon translucens","Glassy Bombay Duck","Australia","NW, N, CS","FishBase","10735",NA,NA,0.00468,3.12,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",48,"Australia, India, Papua New Guinea","native",70,NA,"Fishbase","4.2","0.8","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CAAB","37123007","Actinopterygii","Aulopiformes","Ipnopidae","Ipnopinae","Bathypterois","grallator","Bathypterois grallator","Tripod Spiderfish","Australia","SE, NW","FishBase","9136",NA,"SL",0.00434,3,NA,NA,"Species specific",33.4,"Algeria, Australia, Bahamas, Brazil, Cameroon, Benin, Eq Guinea, Gabon, Gambia, Ghana, Gibraltar, Greece, Guinea, Ivory Coast, Liberia, Madagascar, Mauritania, Mexico, Morocco, Mozambique, Nigeria, Azores Is., Guinea-Bissau, Sao Tome Princ., Senegal, Sierra Leone, Spain, Togo, Trinidad Tobago, USA, Hawaii","native",43.4000015258789,"SL","Fishbase","3.1","0.30","based on food items","900","4720",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CAAB","37125004","Actinopterygii","Aulopiformes","Notosudidae",NA,"Scopelosaurus","hamiltoni","Scopelosaurus hamiltoni","Smallscale Waryfish","Australia","TE","FishBase","6976",NA,NA,0.00295,3.18,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",40,"Argentina, Australia, S. Georg. Sandw., Kerguelen Is., New Zealand, Macquarie Is.","native",50,NA,"Fishbase","3.4","0.40","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CAAB","37126001","Actinopterygii","Aulopiformes","Paralepididae",NA,"Macroparalepis","macrogeneion","Macroparalepis macrogeneion","Longfin Barracudina","Australia","TE","FishBase","16722",NA,NA,0.00224,3.08,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",32,"Argentina, Australia, Chile, Kerguelen Is., New Zealand, South Africa, Uruguay","native",42,NA,"Fishbase","4.4","0.6","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CAAB","37126004","Actinopterygii","Aulopiformes","Paralepididae",NA,"Magnisudis","prionosa","Magnisudis prionosa","Duckbill Barracudina","Australia","TE","FishBase","6978",NA,NA,0.00224,3.14,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",42,"Argentina, Australia, Kerguelen Is., New Zealand, Uruguay, Antarctica","native",55,NA,"Fishbase","4.5","0.80","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CAAB","37126012","Actinopterygii","Aulopiformes","Paralepididae",NA,"Sudis","hyalina","Sudis hyalina","a barracudina","Australia","TE","FishBase","2047",NA,"TL",0.00128,2.928,NA,NA,"Species specific",60,"Australia, Brazil, Cape Verde, France, Greece, Ireland, Israel, Italy, Lebanon, Malta, Monaco, Namibia, Madeira Is., South Africa, Spain, Syria, Tunisia, Turkey, Egypt, USA","native",100,"TL","Fishbase","4.2","0.7","based on size and trophs of closest relative","300","1500",NA,NA,NA,NA,"Harvey et al 2020",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CAAB","37128001","Actinopterygii","Aulopiformes","Alepisauridae",NA,"Alepisaurus","ferox","Alepisaurus ferox","Longnose Lancetfish","Australia","TE","FishBase","99",NA,"TL",0.00465,3,0,1.10241997241974,"Species specific",90,"Australia, Brazil, Canada, Cape Verde, Chile, Juan Fernández, China, Chinese Taipei, Colombia, Mayotte, Costa Rica, Cuba, Ecuador, El Salvador, Faeroe Is., France, French Guiana, Greenland, Guatemala, Guyana, Honduras, Iceland, India, Indonesia, Ireland, Italy, Jamaica, Japan, Maldives, Mauritius, Mexico, Namibia, Curaçao I., Aruba, New Caledonia, New Zealand, Kermadec Is., Nicaragua, Panama, Peru, Philippines, Portugal, Madeira Is., Azores Is., Puerto Rico, La Reunion Is., Russia, St Helena, Seychelles, South Africa, Spain, Canary Is., Suriname, Thailand, Trinidad Tobago, Kuril Is., UK, USA, Alaska, Hawaii, Venezuela","native",215,"TL","Fishbase","4.0","0.2","based on diet studies","0","1830",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CAAB","37128002","Actinopterygii","Aulopiformes","Alepisauridae",NA,"Alepisaurus","brevirostris","Alepisaurus brevirostris","Shortnose Lancetfish","Australia","SW, SE","FishBase","2728",NA,NA,0.00389,3.12,NA,NA,"Based on all LWR estimates for this body shape.",58.4,"Argentina, Australia, Brazil, Canada, Chile, Juan Fernández, Colombia, French Guiana, Crozet Is., Kerguelen Is., Greenland, Guyana, Iceland, Curaçao I., Aruba, New Caledonia, New Zealand, Kermadec Is., South Africa, Suriname, Trinidad Tobago, USA, Venezuela, Antarctica","native",96,"TL","Fishbase","3.8","0.61","based on food items","200","1590",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
