"caab_code","caab_scientific","fb_trophic_level"
37427036,"Calliurichthys ogilbyi",NA
37427037,"Pseudocalliurichthys delicatulus",NA
37427040,"Repomucenus filamentosus",NA
37427043,"Foetorepus grandoculis",NA
37427046,"Repomucenus keeleyi",NA
37428072,"Boleophthalmus birdsongi",NA
37428073,"Boleophthalmus caeruleomaculatus",NA
37428094,"Cryptocentroides argulus",NA
37428118,"Eviota cometa",NA
37428137,"Eviota zebrina",NA
37428166,"Gobiopsis liolepis",NA
37428182,"Dotsugobius bleekeri",NA
37428202,"Hazeus diacanthus",NA
37428265,"Trimma emeryi",NA
37428266,"Trimma hoesei",NA
37428267,"Trimma unisquame",NA
37428268,"Trimma macrophthalmus",NA
37428269,"Trimma necopinum",NA
37428270,"Trimma okinawae",NA
37428271,"Trimma striatum",NA
37428273,"Trimma hollemani",NA
37428331,"Trimma benjamini",NA
37428336,"Trimma anaima",NA
37428345,"Trimma milta",NA
37428346,"Trimma stobbsi",NA
37428380,"Trimma caesiura",NA
37428383,"Trimma lantana",NA
37428390,"Trimma nasa",NA
37428396,"Trimma flavatrum",NA
37428398,"Trimma annosum",NA
37428399,"Trimma fangi",NA
37428404,"Trimma maiandros",NA
37429007,"Ophiocara ophicephalus",NA
37429010,"Giuris aporocephalus",NA
37429066,"Tempestichthys bettyae",NA
37435025,"Aioliops novaeguineaensis",NA
37437015,"Acanthurus nigros",NA
37437023,"Ctenochaetus cyanocheilus",NA
37437042,"Ctenochaetus tominiensis",NA
37438014,"Siganus trispilos",NA
37444005,"Istiophorus platypterus",NA
37446016,"Psenes hillii",NA
37462008,"Brachirus setifer",NA
37462012,"Aseraggodes melanospilos",NA
37462030,"Pardachirus rautheri",NA
37465005,"Meuschenia scabra",NA
37466024,"Acanthostracion bucephalus",NA
37015036,"Parmaturus bigus",NA
37015041,"Apristurus ovicorrugatus",NA
37086026,"Encrasicholina pseudoheteroloba",NA
37100751,"Neosalanx brevirostris",NA
37109041,"Photonectes waitii",NA
37126016,"Stemonosudis retrodorsalis",NA
37132750,"Gyrinomimus grahami",NA
37228126,"Paraphyonus rassi",NA
37228129,"Sciadonus longiventralis",NA
37228130,"Barathronus algrahami",NA
37232136,"Coelorinchus okamurai",NA
37245013,"Melanotaenia inornata",NA
37245015,"Melanotaenia tatei",NA
37245026,"Melanotaenia rubrostriata",NA
37245027,"Cairnsichthys bitaeniatus",NA
37245028,"Melanotaenia sahulensis",NA
37245029,"Melanotaenia wilsoni",NA
37251011,"Melamphaes uniformis",NA
37268003,"Lampris megalopsis",NA
37296061,"Platycephalus angustus",NA
37296063,"Leviprora semermis",NA
37297009,"Hoplichthys mimaseanus",NA
37311192,"Odontanthias grahami",NA
37311225,"Grammatonotus sp",NA
37321028,"Syncomistes butleri",NA
37321031,"Syncomistes trigonicus",NA
37321036,"Syncomistes bonapartensis",NA
37321037,"Syncomistes carcharus",NA
37321038,"Syncomistes dilliensis",NA
37321039,"Syncomistes holsworthi",NA
37321040,"Syncomistes moranensis",NA
37321041,"Syncomistes versicolor",NA
37321042,"Syncomistes wunambal",NA
37321043,"Hannia wintoni",NA
37327189,"Verulux solcomaculata",NA
37361025,"Kyphosus gladius",NA
37381023,"Moolgarda perusii",NA
37386032,"Scarus xanthopleura",NA
37386041,"Chlorurus capistratoides",NA
37386043,"Chlorurus troschelii",NA
37388020,"Opistognathus vigilax",NA
37390033,"Parapercis imamurai",NA
37407796,"Cryodraco hamatus",NA
37407797,"Cryodraco myersi",NA
37427041,"Bathycallionymus kailolae",NA
37428358,"Stiphodon semoni",NA
37428405,"Stiphodon pelewensis",NA
37428406,"Stiphodon rutilaureus",NA
37428414,"Egglestonichthys ulbubunitj",NA
37428416,"Grallenia arenicola",NA
37428425,"Trimma capostriatum",NA
37428426,"Trimma insularum",NA
37428427,"Trimma kitrinum",NA
37428428,"Trimma meristum",NA
37428429,"Trimma nomurai",NA
37428430,"Trimma pentherum",NA
37428431,"Trimma hamartium",NA
37428432,"Trimma readerae",NA
37428433,"Trimma xanthum",NA
37428436,"Nesogobius tigrinus",NA
37428442,"Trimma caudomaculatum",NA
37428443,"Trimma fasciatum",NA
37428460,"Sicyopus discordipinnis",NA
37428461,"Smilosicyopus fehlmanni",NA
37428462,"Trimma yanoi",NA
37428464,"Sicyopterus cyanocephalus",NA
37428465,"Smilosicyopus leprurus",NA
37428466,"Stiphodon surrufus",NA
37428469,"Cabillus nigromarginatus",NA
37429030,"Hypseleotris hutchinsi",NA
37429031,"Hypseleotris notata",NA
37429049,"Hypseleotris bucephala",NA
37429050,"Hypseleotris gymnocephala",NA
37429057,"Hypseleotris acropinna",NA
37429067,"Hypseleotris moolooboolaensis",NA
37437055,"Ctenochaetus truncatus",NA
37437056,"Zebrasoma desjardinii",NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
